cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	overall	ALL	18647	p_class_change	0.328182	0.291088	0.363336	0.015118	0.298552	0.357813	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	p_downgrade	0.235863	0.203458	0.268349	0.0133508	0.209696	0.26203	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	p_upgrade	0.0923196	0.0741607	0.112563	0.0105706	0.0716017	0.113038	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	p_HQ_checkm2	0.313457	0.277646	0.348533	0.0150292	0.284	0.342913	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	p_HQ_magicc	0.236617	0.206194	0.267744	0.0146141	0.207974	0.26526	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	HQ_downgrade_rate	0.539648	0.469744	0.606469	0.0300888	0.480675	0.598621	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	HQ_to_MQ_rate	0.435692	0.366648	0.506207	0.0290778	0.378701	0.492684	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	HQ_to_LQ_rate	0.103956	0.0677632	0.143295	0.0184445	0.067805	0.140106	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	MQ_to_HQ_rate	0.134758	0.109461	0.162765	0.0148386	0.105675	0.163841	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	MQ_to_LQ_rate	0.0973741	0.071647	0.127095	0.0112988	0.0752288	0.119519	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	LQ_to_higher_rate	0.00199422	0	1	0.00218586	-0.00228999	0.00627843	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cont5_disagreement_rate	0.139274	0.110579	0.169769	0.0117819	0.116182	0.162366	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	floor_rate	0.00585889	0.00288205	0.0105011	0.00105166	0.00379766	0.00792011	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	mean_d_comp	-2.12128	-3.05026	-1.18959	0.368181	-2.8429	-1.39966	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	mean_d_cont	0.982918	0.301371	1.78065	0.304789	0.385544	1.58029	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	mean_comp_checkm2	79.7092	78.5351	80.8495	0.463385	78.801	80.6174	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	mean_comp_magicc	77.5879	76.2887	78.8724	0.487603	76.6322	78.5436	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	mean_cont_checkm2	2.60123	2.43632	2.78409	0.0805876	2.44328	2.75917	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	mean_cont_magicc	3.58414	2.92189	4.34764	0.305281	2.9858	4.18248	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_HQ_to_HQ	0.1443	0.117382	0.173429	0.0122705	0.120251	0.16835	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_HQ_to_MQ	0.136571	0.11013	0.164141	0.0106092	0.115777	0.157364	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_HQ_to_LQ	0.0325856	0.0211619	0.0454445	0.00599676	0.0208321	0.044339	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_MQ_to_HQ	0.0923166	0.0741525	0.112563	0.0105706	0.0715987	0.113035	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_MQ_to_MQ	0.52603	0.489667	0.565355	0.0155413	0.49557	0.556491	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_MQ_to_LQ	0.0667064	0.0487285	0.0874633	0.00790462	0.0512137	0.0821992	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_LQ_to_HQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_LQ_to_MQ	2.97156e-06	0	1.08063e-05	2.50374e-06	-1.93567e-06	7.8788e-06	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	cell_LQ_to_LQ	0.00148712	0	0.00464977	0.00104767	-0.000566285	0.00354052	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	slope_d_comp_per_log10Mbp	8.38013	5.05703	11.7578				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	overall	ALL	18647	slope_d_cont_per_log10Mbp	-0.882972	-3.75453	1.98274				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	p_class_change	0.183678	0.155611	0.216807	0.0025393	0.178701	0.188655	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	p_downgrade	0.167429	0.1408	0.197824	0.00245661	0.162615	0.172244	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	p_upgrade	0.0162483	0.0114779	0.0218558	0.000804369	0.0146718	0.0178249	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	p_HQ_checkm2	0.160364	0.131813	0.19153	0.00245156	0.155559	0.165169	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	p_HQ_magicc	0.0649897	0.0478597	0.084101	0.00163601	0.0617832	0.0681962	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	HQ_downgrade_rate	0.695695	0.645867	0.750969	0.00775311	0.680499	0.710891	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	HQ_to_MQ_rate	0.564574	0.519057	0.613396	0.00835467	0.5482	0.580949	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	HQ_to_LQ_rate	0.131121	0.102795	0.163686	0.00568757	0.119973	0.142268	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	MQ_to_HQ_rate	0.0192837	0.0132955	0.0267961	0.000954682	0.0174126	0.0211549	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	MQ_to_LQ_rate	0.0665395	0.0499189	0.0877829	0.00173013	0.0631485	0.0699305	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	LQ_to_higher_rate	1	1	1	0	1	1	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cont5_disagreement_rate	0.138371	0.110338	0.172651	0.00230889	0.133845	0.142896	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	floor_rate	0.0809972	0.0550569	0.11712	0.0017371	0.0775925	0.0844018	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_d_comp	-8.2056	-9.21455	-7.27627	0.0687976	-8.34044	-8.07076	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_d_cont	1.17621	0.765051	1.66998	0.0347595	1.10808	1.24434	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_comp_checkm2	71.1609	69.2218	73.2504	0.101473	70.962	71.3598	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_comp_magicc	62.9553	61.2082	64.7899	0.0916079	62.7757	63.1348	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_cont_checkm2	1.34539	1.18769	1.53473	0.0119362	1.322	1.36879	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	mean_cont_magicc	2.5216	2.07346	3.05384	0.0346781	2.45364	2.58957	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_HQ_to_HQ	0.0487995	0.0354815	0.0636722	0.00144996	0.0459576	0.0516414	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_HQ_to_MQ	0.0905373	0.0746233	0.109362	0.00192632	0.0867617	0.0943128	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_HQ_to_LQ	0.021027	0.0155733	0.0275289	0.000967068	0.0191316	0.0229224	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_MQ_to_HQ	0.0161902	0.0114207	0.0218545	0.000802924	0.0146165	0.0177639	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	<1Mb	17201	cell_MQ_to_MQ	0.767523	0.726182	0.804362	0.00277297	0.762088	0.772958	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
