cohort	clustering_unit	checkm2_class	magicc_class	n_genomes	weighted_proportion_of_cohort	ci95_lo	ci95_hi	row_conditional_rate	row_ci95_lo	row_ci95_hi	row_denominator_n
catalogue_weighted	family	HQ	HQ	1187	0.1443	0.117382	0.173429	nan	nan	nan	3582
catalogue_weighted	family	HQ	MQ	1914	0.136571	0.11013	0.164141	0.435692	0.366648	0.506207	3582
catalogue_weighted	family	HQ	LQ	481	0.0325856	0.0211619	0.0454445	0.103956	0.0677632	0.143295	3582
catalogue_weighted	family	MQ	HQ	468	0.0923166	0.0741525	0.112563	0.134758	0.109461	0.162765	15063
catalogue_weighted	family	MQ	MQ	13519	0.52603	0.489667	0.565355	nan	nan	nan	15063
catalogue_weighted	family	MQ	LQ	1076	0.0667064	0.0487285	0.0874633	0.0973741	0.071647	0.127095	15063
catalogue_weighted	family	LQ	HQ	0	0	0	0	nan	nan	nan	2
catalogue_weighted	family	LQ	MQ	1	2.97156e-06	0	1.08063e-05	nan	nan	nan	2
catalogue_weighted	family	LQ	LQ	1	0.00148712	0	0.00464977	nan	nan	nan	2
catalogue_weighted	spire_cluster	HQ	HQ	1187	0.1443	0.119083	0.168666	nan	nan	nan	3582
catalogue_weighted	spire_cluster	HQ	MQ	1914	0.136571	0.110911	0.164371	0.435692	0.372183	0.501934	3582
catalogue_weighted	spire_cluster	HQ	LQ	481	0.0325856	0.0204504	0.0454373	0.103956	0.0677556	0.144288	3582
catalogue_weighted	spire_cluster	MQ	HQ	468	0.0923166	0.0747646	0.110307	0.134758	0.10988	0.160922	15063
catalogue_weighted	spire_cluster	MQ	MQ	13519	0.52603	0.491009	0.560575	nan	nan	nan	15063
catalogue_weighted	spire_cluster	MQ	LQ	1076	0.0667064	0.04984	0.0850307	0.0973741	0.0729764	0.123292	15063
catalogue_weighted	spire_cluster	LQ	HQ	0	0	0	0	nan	nan	nan	2
catalogue_weighted	spire_cluster	LQ	MQ	1	2.97156e-06	0	9.27806e-06	nan	nan	nan	2
catalogue_weighted	spire_cluster	LQ	LQ	1	0.00148712	0	0.0047392	nan	nan	nan	2
catalogue_weighted_no_nr_adjustment	family	HQ	HQ	1187	0.182225	0.154272	0.210942	nan	nan	nan	3582
catalogue_weighted_no_nr_adjustment	family	HQ	MQ	1914	0.130735	0.110798	0.151	0.372545	0.324025	0.427453	3582
catalogue_weighted_no_nr_adjustment	family	HQ	LQ	481	0.0379639	0.0258098	0.0509206	0.108183	0.072882	0.146457	3582
catalogue_weighted_no_nr_adjustment	family	MQ	HQ	468	0.125386	0.105666	0.146638	0.19349	0.16405	0.224674	15063
catalogue_weighted_no_nr_adjustment	family	MQ	MQ	13519	0.454151	0.422817	0.485501	nan	nan	nan	15063
catalogue_weighted_no_nr_adjustment	family	MQ	LQ	1076	0.0684865	0.0505648	0.0872878	0.105685	0.0789891	0.134521	15063
catalogue_weighted_no_nr_adjustment	family	LQ	HQ	0	0	0	0	nan	nan	nan	2
catalogue_weighted_no_nr_adjustment	family	LQ	MQ	1	2.97574e-06	0	9.78158e-06	nan	nan	nan	2
catalogue_weighted_no_nr_adjustment	family	LQ	LQ	1	0.00104958	0	0.00334392	nan	nan	nan	2
catalogue_weighted_no_nr_adjustment	spire_cluster	HQ	HQ	1187	0.182225	0.157595	0.206278	nan	nan	nan	3582
catalogue_weighted_no_nr_adjustment	spire_cluster	HQ	MQ	1914	0.130735	0.109729	0.150652	0.372545	0.321357	0.425152	3582
catalogue_weighted_no_nr_adjustment	spire_cluster	HQ	LQ	481	0.0379639	0.0267678	0.0506009	0.108183	0.0782634	0.143066	3582
catalogue_weighted_no_nr_adjustment	spire_cluster	MQ	HQ	468	0.125386	0.10496	0.146024	0.19349	0.163889	0.223881	15063
catalogue_weighted_no_nr_adjustment	spire_cluster	MQ	MQ	13519	0.454151	0.423174	0.484452	nan	nan	nan	15063
catalogue_weighted_no_nr_adjustment	spire_cluster	MQ	LQ	1076	0.0684865	0.0539534	0.0850686	0.105685	0.0832298	0.130875	15063
catalogue_weighted_no_nr_adjustment	spire_cluster	LQ	HQ	0	0	0	0	nan	nan	nan	2
catalogue_weighted_no_nr_adjustment	spire_cluster	LQ	MQ	1	2.97574e-06	0	9.23352e-06	nan	nan	nan	2
catalogue_weighted_no_nr_adjustment	spire_cluster	LQ	LQ	1	0.00104958	0	0.00328329	nan	nan	nan	2
S3_srs_unweighted	family	HQ	HQ	169	0.189462	0.160408	0.220384	nan	nan	nan	321
S3_srs_unweighted	family	HQ	MQ	118	0.132287	0.110559	0.154606	0.367601	0.315951	0.421349	321
S3_srs_unweighted	family	HQ	LQ	34	0.0381166	0.0254759	0.0518072	0.105919	0.0709188	0.144264	321
S3_srs_unweighted	family	MQ	HQ	117	0.131166	0.109691	0.155611	0.205263	0.173173	0.241441	570
S3_srs_unweighted	family	MQ	MQ	392	0.439462	0.405224	0.47205	nan	nan	nan	570
S3_srs_unweighted	family	MQ	LQ	61	0.0683857	0.049884	0.0877062	0.107018	0.0785122	0.136298	570
S3_srs_unweighted	family	LQ	HQ	0	0	0	0	nan	nan	nan	1
S3_srs_unweighted	family	LQ	MQ	0	0	0	0	nan	nan	nan	1
S3_srs_unweighted	family	LQ	LQ	1	0.00112108	0	0.00360188	nan	nan	nan	1
S3_srs_unweighted	spire_cluster	HQ	HQ	169	0.189462	0.163677	0.215247	nan	nan	nan	321
S3_srs_unweighted	spire_cluster	HQ	MQ	118	0.132287	0.112108	0.154737	0.367601	0.319016	0.422755	321
S3_srs_unweighted	spire_cluster	HQ	LQ	34	0.0381166	0.0257848	0.0515695	0.105919	0.0738193	0.142857	321
S3_srs_unweighted	spire_cluster	MQ	HQ	117	0.131166	0.109865	0.153587	0.205263	0.173136	0.238684	570
S3_srs_unweighted	spire_cluster	MQ	MQ	392	0.439462	0.408072	0.471973	nan	nan	nan	570
S3_srs_unweighted	spire_cluster	MQ	LQ	61	0.0683857	0.0515695	0.0852018	0.107018	0.0810226	0.132855	570
