cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	overall	ALL	18647	completeness_MAGICC_minus_CheckM2	-0.8935	-1.9852	-0.2104	-2.1213	-3.0503	-1.1896
catalogue_weighted	family	overall	ALL	18647	contamination_MAGICC_minus_CheckM2	-0.6559	-0.8226	-0.4229	0.9829	0.3014	1.7807
catalogue_weighted	family	size_bin	<1Mb	17201	completeness_MAGICC_minus_CheckM2	-6.3074	-7.5545	-5.1124	-8.2056	-9.2145	-7.2763
catalogue_weighted	family	size_bin	<1Mb	17201	contamination_MAGICC_minus_CheckM2	-0.0277	-0.0688	0.0078	1.1762	0.7651	1.6700
catalogue_weighted	family	size_bin	1-2Mb	428	completeness_MAGICC_minus_CheckM2	-1.2172	-2.4998	-0.0759	-1.6945	-3.4609	-0.1208
catalogue_weighted	family	size_bin	1-2Mb	428	contamination_MAGICC_minus_CheckM2	-0.5455	-0.7671	-0.2718	1.5946	0.4178	2.9994
catalogue_weighted	family	size_bin	2-3Mb	418	completeness_MAGICC_minus_CheckM2	-1.5115	-5.0136	-0.0142	-3.3481	-4.9160	-1.7002
catalogue_weighted	family	size_bin	2-3Mb	418	contamination_MAGICC_minus_CheckM2	-0.8226	-1.3380	-0.3866	0.2815	-0.6660	1.2893
catalogue_weighted	family	size_bin	3-5Mb	464	completeness_MAGICC_minus_CheckM2	0.7056	-0.0048	1.8362	1.0037	-0.3232	2.3753
catalogue_weighted	family	size_bin	3-5Mb	464	contamination_MAGICC_minus_CheckM2	-1.1242	-1.6410	-0.7591	0.1374	-0.7513	1.0812
catalogue_weighted	family	size_bin	>5Mb	136	completeness_MAGICC_minus_CheckM2	2.0762	0.1472	4.6270	2.9689	0.9706	5.0102
catalogue_weighted	family	size_bin	>5Mb	136	contamination_MAGICC_minus_CheckM2	-0.4885	-1.6556	0.3296	6.1901	2.1733	10.9490
