genome_id	status	bytes
spire_mag_00000429	ok	188578
spire_mag_00000142	ok	153571
spire_mag_00000225	ok	183573
spire_mag_00000116	ok	183972
spire_mag_00000376	ok	188579
spire_mag_00000096	ok	290659
spire_mag_00000363	ok	188208
spire_mag_00000213	ok	253626
spire_mag_00000349	ok	278395
spire_mag_00000045	ok	284162
spire_mag_00000048	ok	213267
spire_mag_00000212	ok	276862
spire_mag_00000039	ok	279256
spire_mag_00000164	ok	243822
spire_mag_00000246	ok	286310
spire_mag_00000118	ok	273605
spire_mag_00000503	ok	214890
spire_mag_00000497	ok	281036
spire_mag_00000517	ok	275134
spire_mag_00000519	ok	306682
spire_mag_00000537	ok	294978
spire_mag_00000555	ok	272158
spire_mag_00000574	ok	290508
spire_mag_00000545	ok	283758
spire_mag_00000577	ok	287317
spire_mag_00000569	ok	277999
spire_mag_00000588	ok	302382
spire_mag_00001844	ok	286529
spire_mag_00000818	ok	287366
spire_mag_00001112	ok	221483
spire_mag_00001174	ok	250465
spire_mag_00001917	ok	272789
spire_mag_00001932	ok	225853
spire_mag_00002016	ok	297711
spire_mag_00002738	ok	202257
spire_mag_00002029	ok	259968
spire_mag_00002165	ok	297373
spire_mag_00002578	ok	213614
spire_mag_00003387	ok	229496
spire_mag_00002524	ok	259722
spire_mag_00002357	ok	217387
spire_mag_00002705	ok	292930
spire_mag_00002800	ok	291893
spire_mag_00002836	ok	283710
spire_mag_00003348	ok	173565
spire_mag_00003398	ok	233533
spire_mag_00002319	ok	275029
spire_mag_00003443	ok	209005
spire_mag_00003445	ok	248225
spire_mag_00003446	ok	222894
spire_mag_00003448	ok	306363
spire_mag_00003633	ok	251057
spire_mag_00003481	ok	250424
spire_mag_00003529	ok	284972
spire_mag_00003740	ok	252298
spire_mag_00003811	ok	299088
spire_mag_00003591	ok	303762
spire_mag_00003939	ok	273358
spire_mag_00003857	ok	279326
spire_mag_00004020	ok	307551
spire_mag_00003905	ok	313047
spire_mag_00003717	ok	275887
spire_mag_00004126	ok	135939
spire_mag_00004119	ok	294928
spire_mag_00004549	ok	277765
spire_mag_00004573	ok	261391
spire_mag_00004927	ok	173984
spire_mag_00004868	ok	249316
spire_mag_00004612	ok	211394
spire_mag_00005419	ok	284390
spire_mag_00004919	ok	304684
spire_mag_00004990	ok	286434
spire_mag_00005245	ok	287858
spire_mag_00005404	ok	241323
spire_mag_00005446	ok	290159
spire_mag_00005630	ok	230480
spire_mag_00006015	ok	307978
spire_mag_00005964	ok	292170
spire_mag_00005641	ok	209333
spire_mag_00006123	ok	308408
spire_mag_00006125	ok	280894
spire_mag_00006161	ok	215714
spire_mag_00006160	ok	268167
spire_mag_00006519	ok	180690
spire_mag_00006279	ok	280679
spire_mag_00006332	ok	200415
spire_mag_00006850	ok	154886
spire_mag_00007140	ok	177515
spire_mag_00006737	ok	264167
spire_mag_00007228	ok	137397
spire_mag_00006817	ok	300912
spire_mag_00007205	ok	195524
spire_mag_00006836	ok	307448
spire_mag_00007231	ok	275524
spire_mag_00007485	ok	294622
spire_mag_00007519	ok	212623
spire_mag_00007565	ok	187880
spire_mag_00007653	ok	260748
spire_mag_00007824	ok	142982
spire_mag_00007738	ok	269342
spire_mag_00007846	ok	164719
spire_mag_00007915	ok	293892
spire_mag_00007924	ok	249104
spire_mag_00007961	ok	281773
spire_mag_00007851	ok	283313
spire_mag_00008062	ok	215575
spire_mag_00008122	ok	222925
spire_mag_00008329	ok	156067
spire_mag_00008249	ok	272449
spire_mag_00008301	ok	218615
spire_mag_00008401	ok	263901
spire_mag_00008264	ok	272417
spire_mag_00008423	ok	309185
spire_mag_00008431	ok	117797
spire_mag_00008540	ok	258724
spire_mag_00008817	ok	305595
spire_mag_00009114	ok	200686
spire_mag_00009235	ok	135711
spire_mag_00009335	ok	170951
spire_mag_00008790	ok	252503
spire_mag_00008958	ok	216569
spire_mag_00009251	ok	259852
spire_mag_00009217	ok	262962
spire_mag_00009320	ok	273594
spire_mag_00009390	ok	299249
spire_mag_00009624	ok	275602
spire_mag_00009418	ok	226634
spire_mag_00009763	ok	231077
spire_mag_00009773	ok	181528
spire_mag_00009848	ok	309460
spire_mag_00009983	ok	266073
spire_mag_00009928	ok	256101
spire_mag_00010186	ok	289125
spire_mag_00010018	ok	249199
spire_mag_00009951	ok	248509
spire_mag_00010607	ok	185115
spire_mag_00010443	ok	281027
spire_mag_00010595	ok	258895
spire_mag_00010272	ok	227223
spire_mag_00010563	ok	252837
spire_mag_00010449	ok	275641
spire_mag_00010571	ok	268805
spire_mag_00010600	ok	265373
spire_mag_00010612	ok	181059
spire_mag_00010624	ok	222103
spire_mag_00010626	ok	209935
spire_mag_00010635	ok	299183
spire_mag_00010668	ok	217832
spire_mag_00010790	ok	155653
spire_mag_00010733	ok	270336
spire_mag_00010701	ok	266461
spire_mag_00010754	ok	239156
spire_mag_00010783	ok	198680
spire_mag_00010780	ok	262262
spire_mag_00010805	ok	227757
spire_mag_00010810	ok	270397
spire_mag_00010837	ok	305480
spire_mag_00010846	ok	294666
spire_mag_00010855	ok	312676
spire_mag_00010864	ok	271161
spire_mag_00010883	ok	250476
spire_mag_00010884	ok	221790
spire_mag_00010885	ok	300490
spire_mag_00010887	ok	176193
spire_mag_00010918	ok	211096
spire_mag_00010913	ok	267415
spire_mag_00010911	ok	285761
spire_mag_00010980	ok	183353
spire_mag_00010920	ok	238099
spire_mag_00010989	ok	293163
spire_mag_00010926	ok	239981
spire_mag_00010939	ok	209961
spire_mag_00010996	ok	261958
spire_mag_00011031	ok	306405
spire_mag_00011057	ok	263956
spire_mag_00011058	ok	197253
spire_mag_00011064	ok	297985
spire_mag_00011117	ok	297250
spire_mag_00011114	ok	252667
spire_mag_00011121	ok	284871
spire_mag_00011094	ok	261748
spire_mag_00011129	ok	248494
spire_mag_00011170	ok	227544
spire_mag_00011148	ok	290618
spire_mag_00011204	ok	248232
spire_mag_00011206	ok	270697
spire_mag_00011246	ok	217983
spire_mag_00011266	ok	263054
spire_mag_00011289	ok	227117
spire_mag_00011281	ok	269193
spire_mag_00011300	ok	216710
spire_mag_00011302	ok	260460
spire_mag_00011310	ok	225163
spire_mag_00011317	ok	251976
spire_mag_00011351	ok	305690
spire_mag_00011395	ok	137604
spire_mag_00011426	ok	295019
spire_mag_00011369	ok	197207
spire_mag_00011423	ok	211850
spire_mag_00011428	ok	302510
spire_mag_00011432	ok	238293
spire_mag_00011439	ok	270047
spire_mag_00011452	ok	246412
spire_mag_00011460	ok	274325
spire_mag_00011457	ok	293247
spire_mag_00011508	ok	224572
spire_mag_00011520	ok	253379
spire_mag_00011498	ok	302931
spire_mag_00011536	ok	209309
spire_mag_00011541	ok	269570
spire_mag_00011572	ok	303526
spire_mag_00011619	ok	265962
spire_mag_00011589	ok	201710
spire_mag_00011575	ok	232424
spire_mag_00011623	ok	284025
spire_mag_00011600	ok	283939
spire_mag_00011639	ok	259571
spire_mag_00011667	ok	283355
spire_mag_00011675	ok	295435
spire_mag_00011715	ok	309060
spire_mag_00011688	ok	273176
spire_mag_00011684	ok	268934
spire_mag_00011704	ok	271439
spire_mag_00011764	ok	294066
spire_mag_00011778	ok	309838
spire_mag_00011792	ok	306462
spire_mag_00011801	ok	208418
spire_mag_00011809	ok	276166
spire_mag_00011807	ok	263956
spire_mag_00011814	ok	257705
spire_mag_00011825	ok	272294
spire_mag_00011829	ok	239885
spire_mag_00011831	ok	286706
spire_mag_00011867	ok	307992
spire_mag_00011862	ok	254161
spire_mag_00011845	ok	310985
spire_mag_00011897	ok	268180
spire_mag_00011900	ok	216046
spire_mag_00011962	ok	292326
spire_mag_00011918	ok	215132
spire_mag_00011963	ok	271862
spire_mag_00011966	ok	261315
spire_mag_00011968	ok	309841
spire_mag_00011977	ok	274172
spire_mag_00012033	ok	296496
spire_mag_00012018	ok	271719
spire_mag_00012063	ok	235560
spire_mag_00012059	ok	214532
spire_mag_00012045	ok	248941
