cohort	grouping	stratum	n_genomes	n_at_floor_le_50.5	n_at_floor_le_50.0	rate_le_50.5	ci95_lo	ci95_hi	min_magicc_completeness	note
catalogue_weighted	overall	ALL	18647	1368	0	0.00585889	0.00288205	0.0105011	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	<1Mb	17201	1366	0	0.0809972	0.0550569	0.11712	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	1-2Mb	428	2	0	0.00416341	0	0.0147656	50.3102	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	2-3Mb	418	0	0	0	0	0	52.3001	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	3-5Mb	464	0	0	0	0	0	53.1826	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	size_bin	>5Mb	136	0	0	0	0	0	71.0204	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Actinobacteriota	973	28	0	0.00084198	0.000194963	0.0021202	50.0280	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Bacteroidota	363	24	0	0.000620943	0.000235337	0.00109754	50.0211	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes	1884	95	0	0.0504382	0.00376371	0.208187	50.0227	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes_A	2487	427	0	0.0206635	0.00340866	0.063173	50.0210	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Firmicutes_C	412	77	0	0.0173739	0.000809714	0.0724218	50.0429	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Nanoarchaeota	670	45	0	0.0192548	0.00696995	0.115683	50.0138	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Patescibacteria	7343	240	0	0.0125532	0.00899539	0.0173971	50.0100	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Proteobacteria	1621	107	0	0.00146575	0.000533421	0.00280524	50.0068	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Thermoplasmatota	282	68	0	0.0131424	0.00256268	0.320859	50.0117	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	Thermoproteota	361	55	0	0.00410617	0.00236136	0.00785501	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted	phylum	other (<200 in cohort)	2251	202	0	0.00195861	0.00121494	0.00286295	50.0037	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	overall	ALL	18647	1368	0	0.00513717	0.00283805	0.00848295	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	<1Mb	17201	1366	0	0.079414	0.0539641	0.115496	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	1-2Mb	428	2	0	0.00396347	0	0.0131123	50.3102	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	2-3Mb	418	0	0	0	0	0	52.3001	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	3-5Mb	464	0	0	0	0	0	53.1826	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	size_bin	>5Mb	136	0	0	0	0	0	71.0204	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Actinobacteriota	973	28	0	0.00098569	0.000233896	0.00264661	50.0280	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Bacteroidota	363	24	0	0.000509115	0.000182189	0.000992609	50.0211	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes	1884	95	0	0.0418395	0.00468304	0.132225	50.0227	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes_A	2487	427	0	0.0252556	0.00432258	0.0724084	50.0210	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Firmicutes_C	412	77	0	0.0267921	0.0013848	0.0998937	50.0429	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Nanoarchaeota	670	45	0	0.0260849	0.0106163	0.107705	50.0138	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Patescibacteria	7343	240	0	0.0148738	0.0105254	0.0201333	50.0100	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Proteobacteria	1621	107	0	0.00134847	0.000499243	0.00247004	50.0068	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Thermoplasmatota	282	68	0	0.019725	0.00388869	0.32709	50.0117	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	Thermoproteota	361	55	0	0.00578612	0.00326203	0.0111351	50.0018	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
catalogue_weighted_no_nr_adjustment	phylum	other (<200 in cohort)	2251	202	0	0.00174035	0.00105784	0.00251047	50.0037	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	overall	ALL	892	1	0	0.00112108	0	0.00375963	50.3102	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	1-2Mb	254	1	0	0.00393701	0	0.0138249	50.3102	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	2-3Mb	241	0	0	0	0	0	52.3001	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	3-5Mb	306	0	0	0	0	0	53.2814	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	size_bin	>5Mb	91	0	0	0	0	0	71.0204	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	Proteobacteria	221	0	0	0	0	0	50.7682	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
S3_srs_unweighted	phylum	other (<200 in cohort)	671	1	0	0.00149031	0	0.00505093	50.3102	MAGICC cannot express completeness <50, so deltas at the floor are a lower bound on the disagreement
