grouping	level	n_sampled	n_retrieved	n_http404	response_rate	postratification_factor	note
overall	ALL	19128	17201	1927	0.89926	1.11203	HTTP 404 is persistent server-side absence, verified by slow single retries; it is clustered by originating study
stratum	S1_small	19128	17201	1927	0.89926	1.11203	
size_bin	<1Mb	19128	17201	1927	0.89926	1.11203	
checkm2_class	HQ	3185	3043	142	0.95542	1.04666	
checkm2_class	LQ	1	1	0	1.00000	1.00000	
checkm2_class	MQ	15942	14157	1785	0.88803	1.12609	
recovery	HTTP404_recovered_from_representatives_tar	970	171	799	0.17629		genomes the per-genome endpoint 404s on but which are present in the representatives tarball
phylum	Patescibacteria	7547	7318	229	0.96966	1.03129	
phylum	Firmicutes_A	3075	2446	629	0.79545	1.25715	
phylum	Firmicutes	2326	1859	467	0.79923	1.25121	
phylum	Proteobacteria	1580	1400	180	0.88608	1.12857	
phylum	Actinobacteriota	943	895	48	0.94910	1.05363	
phylum	Nanoarchaeota	689	667	22	0.96807	1.03298	
phylum	Firmicutes_C	522	405	117	0.77586	1.28889	
phylum	Thermoproteota	338	335	3	0.99112	1.00896	
phylum	Thermoplasmatota	296	273	23	0.92230	1.08425	
phylum	Campylobacterota	272	155	117	0.56985	1.75484	
phylum	Bacteroidota	269	230	39	0.85502	1.16957	
phylum	Aenigmatarchaeota	138	132	6	0.95652	1.04545	
phylum	Omnitrophota	111	106	5	0.95495	1.04717	
phylum	Methanobacteriota	88	84	4	0.95455	1.04762	
phylum	Iainarchaeota	86	86	0	1.00000	1.00000	
phylum	unclassified	76	72	4	0.94737	1.05556	
phylum	Chloroflexota	68	68	0	1.00000	1.00000	
phylum	Micrarchaeota	66	63	3	0.95455	1.04762	
phylum	Chlamydiota	57	56	1	0.98246	1.01786	
phylum	Marinisomatota	49	49	0	1.00000	1.00000	
phylum	Acidobacteriota	48	48	0	1.00000	1.00000	
phylum	Huberarchaeota	39	39	0	1.00000	1.00000	
phylum	Halobacteriota	37	36	1	0.97297	1.02778	
phylum	Verrucomicrobiota	31	23	8	0.74194	1.34783	
phylum	Dependentiae	31	31	0	1.00000	1.00000	
phylum	Spirochaetota	31	25	6	0.80645	1.24000	
phylum	Cyanobacteria	30	29	1	0.96667	1.03448	
phylum	Fusobacteriota	26	23	3	0.88462	1.13043	
phylum	Nanohaloarchaeota	25	25	0	1.00000	1.00000	
phylum	Elusimicrobiota	23	18	5	0.78261	1.27778	
phylum	Firmicutes_B	20	20	0	1.00000	1.00000	
phylum	Ratteibacteria	17	17	0	1.00000	1.00000	
phylum	Hadarchaeota	14	14	0	1.00000	1.00000	
phylum	Desulfobacterota	14	14	0	1.00000	1.00000	
phylum	Caldisericota	13	13	0	1.00000	1.00000	
phylum	Deinococcota	12	12	0	1.00000	1.00000	
phylum	Bipolaricaulota	12	12	0	1.00000	1.00000	
phylum	Nitrospirota	11	11	0	1.00000	1.00000	
phylum	Aquificota	11	10	1	0.90909	1.10000	
phylum	Coprothermobacterota	9	9	0	1.00000	1.00000	
