cohort	clustering_unit	subset	n_genomes	n_clusters	metric	slope_pp_per_log10Mbp	ci95_lo	ci95_hi	note
catalogue_weighted	family	overall:ALL	18647	1381	completeness_MAGICC_minus_CheckM2	8.3801	5.0570	11.7578	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	overall:ALL	18647	1381	contamination_MAGICC_minus_CheckM2	-0.8830	-3.7545	1.9827	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:<1Mb	17201	1381	completeness_MAGICC_minus_CheckM2	21.0112	16.1683	25.4556	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:1-2Mb	428	1381	completeness_MAGICC_minus_CheckM2	12.7935	-2.8692	28.5934	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:2-3Mb	418	1381	completeness_MAGICC_minus_CheckM2	14.1758	-12.8015	43.1792	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:3-5Mb	464	1381	completeness_MAGICC_minus_CheckM2	30.3033	10.6463	50.0924	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:>5Mb	136	1381	completeness_MAGICC_minus_CheckM2	-2.7451	-19.6172	13.0811	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:<1Mb	17201	1381	contamination_MAGICC_minus_CheckM2	2.1669	0.4480	4.3523	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:1-2Mb	428	1381	contamination_MAGICC_minus_CheckM2	-7.6058	-22.1630	5.8345	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:2-3Mb	418	1381	contamination_MAGICC_minus_CheckM2	-7.2275	-26.6749	12.7979	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:3-5Mb	464	1381	contamination_MAGICC_minus_CheckM2	14.6594	3.2186	27.4985	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	size_bin:>5Mb	136	1381	contamination_MAGICC_minus_CheckM2	69.7466	20.2223	112.1012	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:<-1 (>=2x reduced)	6405	1381	completeness_MAGICC_minus_CheckM2	30.7487	6.1921	47.4567	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-1 to -0.5	4082	1381	completeness_MAGICC_minus_CheckM2	14.4575	6.5138	23.4506	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.5 to -0.25	1766	1381	completeness_MAGICC_minus_CheckM2	5.3361	-7.4799	19.0887	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.25 to +0.25 (typical)	4150	1381	completeness_MAGICC_minus_CheckM2	11.3224	2.7942	20.2388	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:>+0.25 (larger than lineage)	2244	1381	completeness_MAGICC_minus_CheckM2	-0.0295	-7.0994	7.3089	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:<-1 (>=2x reduced)	6405	1381	contamination_MAGICC_minus_CheckM2	-2.6838	-8.9661	0.8129	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-1 to -0.5	4082	1381	contamination_MAGICC_minus_CheckM2	-2.6166	-6.1493	1.2625	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.5 to -0.25	1766	1381	contamination_MAGICC_minus_CheckM2	-2.1957	-10.3472	3.8598	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:-0.25 to +0.25 (typical)	4150	1381	contamination_MAGICC_minus_CheckM2	-1.8162	-5.5573	1.5959	weighted OLS on log10(assembly Mbp)
catalogue_weighted	family	lineage_reduction:>+0.25 (larger than lineage)	2244	1381	contamination_MAGICC_minus_CheckM2	-11.5719	-19.8920	-3.9644	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	overall:ALL	18647	1381	completeness_MAGICC_minus_CheckM2	10.2334	7.5025	12.8459	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	overall:ALL	18647	1381	contamination_MAGICC_minus_CheckM2	2.4271	-1.2660	6.2657	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:<1Mb	17201	1381	completeness_MAGICC_minus_CheckM2	21.2855	16.1373	25.9981	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:1-2Mb	428	1381	completeness_MAGICC_minus_CheckM2	13.3297	-1.2081	29.2243	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:2-3Mb	418	1381	completeness_MAGICC_minus_CheckM2	14.8050	-12.6726	42.1831	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:3-5Mb	464	1381	completeness_MAGICC_minus_CheckM2	30.5150	12.5089	49.2847	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:>5Mb	136	1381	completeness_MAGICC_minus_CheckM2	-4.0269	-21.0348	13.9797	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:<1Mb	17201	1381	contamination_MAGICC_minus_CheckM2	2.2954	0.5621	4.4610	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:1-2Mb	428	1381	contamination_MAGICC_minus_CheckM2	-7.0007	-21.3258	7.7084	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:2-3Mb	418	1381	contamination_MAGICC_minus_CheckM2	-6.6950	-23.5477	10.2222	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:3-5Mb	464	1381	contamination_MAGICC_minus_CheckM2	14.4335	3.1112	28.4740	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	size_bin:>5Mb	136	1381	contamination_MAGICC_minus_CheckM2	68.1410	21.5401	116.9146	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:<-1 (>=2x reduced)	6405	1381	completeness_MAGICC_minus_CheckM2	27.0205	6.2001	41.9258	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-1 to -0.5	4082	1381	completeness_MAGICC_minus_CheckM2	16.2223	9.3227	23.0709	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.5 to -0.25	1766	1381	completeness_MAGICC_minus_CheckM2	12.5599	2.9577	22.6970	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.25 to +0.25 (typical)	4150	1381	completeness_MAGICC_minus_CheckM2	17.9938	10.6649	25.2751	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:>+0.25 (larger than lineage)	2244	1381	completeness_MAGICC_minus_CheckM2	3.1778	-2.1963	8.6786	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:<-1 (>=2x reduced)	6405	1381	contamination_MAGICC_minus_CheckM2	-2.3576	-7.3819	0.6610	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-1 to -0.5	4082	1381	contamination_MAGICC_minus_CheckM2	-2.3473	-4.8008	0.4337	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.5 to -0.25	1766	1381	contamination_MAGICC_minus_CheckM2	-1.8190	-7.5206	2.9053	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:-0.25 to +0.25 (typical)	4150	1381	contamination_MAGICC_minus_CheckM2	-1.0233	-4.9021	3.1159	weighted OLS on log10(assembly Mbp)
catalogue_weighted_no_nr_adjustment	family	lineage_reduction:>+0.25 (larger than lineage)	2244	1381	contamination_MAGICC_minus_CheckM2	-1.1429	-9.4599	7.0579	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	overall:ALL	892	448	completeness_MAGICC_minus_CheckM2	8.7095	5.0820	12.6653	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	overall:ALL	892	448	contamination_MAGICC_minus_CheckM2	3.2096	-1.5014	8.3942	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:1-2Mb	254	448	completeness_MAGICC_minus_CheckM2	12.7848	-2.1864	28.5547	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:2-3Mb	241	448	completeness_MAGICC_minus_CheckM2	14.3945	-14.4066	43.3372	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:3-5Mb	306	448	completeness_MAGICC_minus_CheckM2	31.0256	10.7544	51.0014	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:>5Mb	91	448	completeness_MAGICC_minus_CheckM2	-4.4775	-21.8614	12.8458	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:1-2Mb	254	448	contamination_MAGICC_minus_CheckM2	-6.7954	-21.3605	6.8626	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:2-3Mb	241	448	contamination_MAGICC_minus_CheckM2	-6.8742	-24.2868	10.7648	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:3-5Mb	306	448	contamination_MAGICC_minus_CheckM2	14.3492	3.1204	28.1895	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	size_bin:>5Mb	91	448	contamination_MAGICC_minus_CheckM2	67.1350	21.4084	115.3384	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:-1 to -0.5	75	448	completeness_MAGICC_minus_CheckM2	18.3626	-0.1737	35.8702	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:-0.5 to -0.25	92	448	completeness_MAGICC_minus_CheckM2	1.5412	-18.5766	20.8515	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:-0.25 to +0.25 (typical)	262	448	completeness_MAGICC_minus_CheckM2	17.6673	5.7234	28.8857	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:>+0.25 (larger than lineage)	449	448	completeness_MAGICC_minus_CheckM2	2.3613	-3.3905	8.3543	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:-1 to -0.5	75	448	contamination_MAGICC_minus_CheckM2	-3.2211	-11.4511	3.9561	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:-0.5 to -0.25	92	448	contamination_MAGICC_minus_CheckM2	-0.6344	-14.2095	9.4591	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:-0.25 to +0.25 (typical)	262	448	contamination_MAGICC_minus_CheckM2	0.9389	-4.6665	7.3932	weighted OLS on log10(assembly Mbp)
S3_srs_unweighted	family	lineage_reduction:>+0.25 (larger than lineage)	449	448	contamination_MAGICC_minus_CheckM2	-1.2247	-10.0032	7.9661	weighted OLS on log10(assembly Mbp)
S1_small_census	family	overall:ALL	17201	913	completeness_MAGICC_minus_CheckM2	21.2855	16.1243	26.1388	weighted OLS on log10(assembly Mbp)
S1_small_census	family	overall:ALL	17201	913	contamination_MAGICC_minus_CheckM2	2.2954	0.4349	4.4486	weighted OLS on log10(assembly Mbp)
S1_small_census	family	size_bin:<1Mb	17201	913	completeness_MAGICC_minus_CheckM2	21.2855	16.0300	25.8054	weighted OLS on log10(assembly Mbp)
S1_small_census	family	size_bin:<1Mb	17201	913	contamination_MAGICC_minus_CheckM2	2.2954	0.4340	4.5728	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:<-1 (>=2x reduced)	6388	913	completeness_MAGICC_minus_CheckM2	7.9885	3.9260	11.7156	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-1 to -0.5	3955	913	completeness_MAGICC_minus_CheckM2	23.7211	14.9590	31.8098	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.5 to -0.25	1590	913	completeness_MAGICC_minus_CheckM2	19.4843	4.3790	30.2676	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.25 to +0.25 (typical)	3654	913	completeness_MAGICC_minus_CheckM2	16.5016	0.6534	30.9898	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:>+0.25 (larger than lineage)	1614	913	completeness_MAGICC_minus_CheckM2	48.7698	13.2595	83.0261	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:<-1 (>=2x reduced)	6388	913	contamination_MAGICC_minus_CheckM2	-0.5864	-1.6259	0.5869	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-1 to -0.5	3955	913	contamination_MAGICC_minus_CheckM2	0.1580	-1.7069	2.6198	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.5 to -0.25	1590	913	contamination_MAGICC_minus_CheckM2	1.4521	-3.7033	9.9129	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:-0.25 to +0.25 (typical)	3654	913	contamination_MAGICC_minus_CheckM2	19.5510	11.3022	29.7453	weighted OLS on log10(assembly Mbp)
S1_small_census	family	lineage_reduction:>+0.25 (larger than lineage)	1614	913	contamination_MAGICC_minus_CheckM2	44.1440	16.1513	74.6046	weighted OLS on log10(assembly Mbp)
