quantity	cohort	n	estimate	ci95_lo	ci95_hi	note
size_slope_completeness_pp_per_log10Mbp	WS3.10 750-MAG GTDB size-stratified	750	15.31	12.31	18.31	family-clustered bootstrap; published in WS3.10
size_slope_completeness_pp_per_log10Mbp	SPIRE catalogue, 150-per-size-bin design re-drawn (n=750 x 500 replicates)	750	21.2206	7.81265	36.9664	spread ACROSS replicate designs, i.e. the sampling distribution of the 750-genome design applied to SPIRE
size_slope_completeness_pp_per_log10Mbp	SPIRE catalogue_weighted	17147	13.8323	12.1326	15.5275	design-weighted OLS, family-clustered bootstrap
median_delta_completeness[<1Mb]	WS3.10 750-MAG GTDB size-stratified	150	-12.6	nan	nan	published in WS3.10
median_delta_completeness[<1Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	-6.3069	-8.58237	-4.60276	across-replicate spread
mean_delta_completeness[<1Mb]	SPIRE catalogue_weighted	15701	-8.04712	-9.0571	-7.10435	design+non-response weighted mean, family-clustered bootstrap
HQ_downgrade_rate[<1Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.2733	nan	nan	published in WS3.10
HQ_downgrade_rate[<1Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	0.694444	0.523913	0.883541	across-replicate spread
HQ_downgrade_rate[<1Mb]	SPIRE catalogue_weighted	15701	0.678862	0.623056	0.738483	denominator = genomes SPIRE publishes as HQ in this size bin
median_delta_completeness[1-2Mb]	WS3.10 750-MAG GTDB size-stratified	150	-2.42	nan	nan	published in WS3.10
median_delta_completeness[1-2Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
mean_delta_completeness[1-2Mb]	SPIRE catalogue_weighted	428	-2.30578	-3.88234	-0.954021	design+non-response weighted mean, family-clustered bootstrap
HQ_downgrade_rate[1-2Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.1933	nan	nan	published in WS3.10
HQ_downgrade_rate[1-2Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
HQ_downgrade_rate[1-2Mb]	SPIRE catalogue_weighted	428	0.46119	0.329809	0.60161	denominator = genomes SPIRE publishes as HQ in this size bin
median_delta_completeness[2-3Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.28	nan	nan	published in WS3.10
median_delta_completeness[2-3Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
mean_delta_completeness[2-3Mb]	SPIRE catalogue_weighted	418	-2.3606	-3.76963	-0.983742	design+non-response weighted mean, family-clustered bootstrap
HQ_downgrade_rate[2-3Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.1067	nan	nan	published in WS3.10
HQ_downgrade_rate[2-3Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
HQ_downgrade_rate[2-3Mb]	SPIRE catalogue_weighted	418	0.628136	0.530913	0.727832	denominator = genomes SPIRE publishes as HQ in this size bin
median_delta_completeness[3-5Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.65	nan	nan	published in WS3.10
median_delta_completeness[3-5Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
mean_delta_completeness[3-5Mb]	SPIRE catalogue_weighted	464	1.34901	0.15423	2.6028	design+non-response weighted mean, family-clustered bootstrap
HQ_downgrade_rate[3-5Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.2067	nan	nan	published in WS3.10
HQ_downgrade_rate[3-5Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
HQ_downgrade_rate[3-5Mb]	SPIRE catalogue_weighted	464	0.460647	0.380752	0.537708	denominator = genomes SPIRE publishes as HQ in this size bin
median_delta_completeness[>5Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.64	nan	nan	published in WS3.10
median_delta_completeness[>5Mb]	SPIRE catalogue, 150-per-bin design re-drawn	150	nan	nan	nan	across-replicate spread
mean_delta_completeness[>5Mb]	SPIRE catalogue_weighted	136	3.02917	0.998006	5.08793	design+non-response weighted mean, family-clustered bootstrap
HQ_downgrade_rate[>5Mb]	WS3.10 750-MAG GTDB size-stratified	150	0.24	nan	nan	published in WS3.10
