accession	description	study_accession
GCA_902509555	AG-313-A10 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902509565	AG-313-A02 assembly for uncultured prokaryote	PRJEB33281
GCA_902509575	AG-313-A17 assembly for uncultured prokaryote	PRJEB33281
GCA_902509585	AG-313-A03 assembly for uncultured prokaryote	PRJEB33281
GCA_902509595	AG-313-A16 assembly for uncultured prokaryote	PRJEB33281
GCA_902509605	AG-313-B04 assembly for uncultured prokaryote	PRJEB33281
GCA_902509615	AG-313-A22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902509625	AG-313-A07 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902509645	AG-313-A08 assembly for uncultured prokaryote	PRJEB33281
GCA_902509695	AG-313-A14 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902509705	AG-313-B02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902509715	AG-313-A18 assembly for uncultured prokaryote	PRJEB33281
GCA_902509725	AG-313-A11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902509795	AG-313-B16 assembly for uncultured prokaryote	PRJEB33281
GCA_902509805	AG-313-B22 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902509815	AG-313-C02 assembly for uncultured prokaryote	PRJEB33281
GCA_902509835	AG-313-C08 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902509895	AG-313-B09 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902509905	AG-313-C04 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902509915	AG-313-B18 assembly for uncultured prokaryote	PRJEB33281
GCA_902509925	AG-313-B11 assembly for uncultured prokaryote	PRJEB33281
GCA_902510045	AG-313-D10 assembly for uncultured prokaryote	PRJEB33281
GCA_902510105	AG-313-D19 assembly for uncultured prokaryote	PRJEB33281
