bin,stage,method,1_completeness_arc,1_contamination_arc,1_completeness_bac,1_contamination_bac,2_completeness,2_contamination,2_num_markers,3_completeness,3_contamination,coding_density,knn_score,taxonomy,taxonomy_level,notes
s2__Otu205.1__X__Otu24.0__c60__k20__phylum,3,markers + neural network,0.3768116,0.2173913,0.6666667,0.24074075,0.7234586557947603,0.1962907145794173,665.0,0.655472265659923,0.19851053467868787,0.0013009659052081967,0.34234643,Micromonosporaceae,family,
s5__Otu119.1__X__Otu119.0__c90__k15__species,2,markers,0.5072464,0.23188406,0.9814815,0.3425926,0.9755430341265691,0.4475982793704236,1195.0,0.962319263713642,0.2816659048942028,0.0016013849632140393,0.438903,Alteromonas,genus,
s8__Otu648.0__X__Otu76.0__c60__k10__order,2,markers,0.42028984,0.2753623,0.8888889,0.4537037,0.8929837383801424,0.4956751183618473,790.0,0.8388366977454222,0.25742242155127737,0.001958617079920486,0.34090364,Flavobacteriaceae,family,
s0__Otu185.0__X__Otu108.1__c90__k5__order,3,markers + neural network,0.46376812,0.18115942,0.9444444,0.11111111,0.9375873209635417,0.146977783203125,750.0,0.9412817720366411,0.12153240248889619,0.0012407615509108473,0.49660885,Colwelliaceae,family,
s2__Otu336__X__Otu1620__c60__k5__phylum,3,markers + neural network,0.4347826,0.2173913,0.75,0.22222222,0.7709597240236888,0.27674818591261463,777.0,0.6673690257197253,0.2539821452947459,0.0022281150681383766,0.40745157,Brucellaceae,family,
s4__Otu220.0__X__Otu297.0__c75__k20__genus,2,markers,0.42753622,0.35507247,0.8981481,0.49074075,0.8817034700315457,0.4476002593897871,634.0,0.8180766338548751,0.25266951939166626,0.0016600991941440966,0.32375783,Sphingomonadaceae,family,
s7__Otu10__X__Otu536__c90__k5__genus,3,markers + neural network,0.4710145,0.1521739,0.9166667,0.083333336,0.9363842569135722,0.11257254628456786,1434.0,0.9246291899285535,0.09832826134890019,0.001257910285364109,0.6196046,Vibrio,genus,
s8__Otu185.0__X__Otu1998__c90__k15__class,3,markers + neural network,0.5,0.19565217,1.0,0.2685185,0.9329387958233173,0.2687270937586677,676.0,0.9296678365523283,0.22171836307412301,0.0013829506597007716,0.40150633,Alteromonadales,order,
s5__Otu459__X__Otu1084__c75__k2__family,3,markers + neural network,0.49275362,0.10869565,0.8888889,0.22222222,0.8783565097384982,0.2556713104248047,720.0,0.8417549073185391,0.24205529872149684,0.0019400414543051397,0.48379058,Streptococcus,genus,
s8__Otu11__X__Otu499__c90__k20__class,3,markers + neural network,0.9710145,0.23188406,0.5,0.14814815,1.0,0.27380952380952384,231.0,1.0,0.24310520986224812,0.001153612386238224,0.4556866,Thermoprotei,class,
s2__Otu2.0__X__Otu1420.0__c90__k10__phylum,3,markers + neural network,0.5,0.18115942,1.0,0.11111111,1.0,0.14107289419713126,407.0,1.0,0.14380382556680762,0.0013437510569328564,0.46875617,Gammaproteobacteria,class,
s4__Otu352.1__X__Otu2411__c90__k10__order,3,markers + neural network,0.442029,0.19565217,0.8611111,0.18518518,0.9401448921535326,0.20869565217391303,575.0,0.936330542621713,0.21738962980706142,0.0013562078871130498,0.47064358,Gammaproteobacteria,class,
s2__Otu22__X__Otu1084__c60__k10__class,3,markers + neural network,0.48550725,0.26811594,0.8703704,0.3611111,0.7481953834200273,0.1962296552094212,778.0,0.6535794435137852,0.2344647045422536,0.0014560528839675658,0.4281757,Planococcus,genus,
s0__Otu137.0__X__Otu570.0__c90__k15__family,2,markers,0.48550725,0.2173913,0.962963,0.2777778,0.9523431370946652,0.38796751908178606,1195.0,0.9339650584992256,0.28576737012058484,0.001520327148590812,0.46181372,Alteromonas,genus,
s3__Otu110.0__X__Otu76.0__c75__k10__order,2,markers,0.42753622,0.23913044,0.9074074,0.35185185,0.8653455594690834,0.38224087691888575,656.0,0.7913767679516757,0.27375862261964434,0.0014745480451129353,0.41871032,Flavobacteriaceae,family,
s5__Otu119.1__X__Otu1240.0__c60__k2__order,3,markers + neural network,0.39130434,0.0942029,0.7592593,0.12037037,0.7376617559329236,0.16288106112300602,1195.0,0.6619111977105632,0.22146299628683985,0.0016592486375085211,0.4720225,Alteromonas,genus,
s9__Otu104__X__Otu873.0__c75__k10__phylum,2,markers,0.442029,0.28985506,0.8888889,0.3611111,0.9231819410002633,0.5042394859513987,1068.0,0.8934512141292688,0.26174204434627296,0.0021394152478695604,0.36108166,Vibrio,genus,
s8__Otu67.0__X__Otu4.0__c60__k10__order,2,markers,0.5,0.5507246,1.0,0.8703704,1.0,0.6675257731958762,388.0,0.9163245112318742,0.2862149231272281,0.0012974921901045848,0.30335966,Gammaproteobacteria,class,
s7__Otu450.0__X__Otu24.0__c90__k2__phylum,3,markers + neural network,0.46376812,0.08695652,0.9444444,0.074074075,0.9466802085318217,0.1288956587876731,492.0,0.9541460462673298,0.09245263040077084,0.0013004173622408086,0.5195686,Micrococcales,order,
s1__Otu47.0__X__Otu40.0__c60__k15__species,3,markers + neural network,0.49275362,0.14492753,0.962963,0.25,0.9945945945945946,0.17972972972972973,370.0,1.0,0.19909204336760566,0.0008238859361697377,0.52843076,Alphaproteobacteria,class,
s4__RNODE_150_length_1379_cov_3.97642__X__RNODE_343_length_2376_cov_8.77188__c60__k20__species,1,rejected,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.6061761791390682,0.0,0.0013532763532763533,0.027984483,-,-,
s4__Otu37.0__X__Otu677__c60__k5__order,3,markers + neural network,0.5072464,0.1521739,0.9814815,0.12037037,0.9974226804123711,0.1134020618556701,388.0,1.0,0.09232933707594777,0.000818407568444358,0.4784235,Bacteroidota,phylum,
s6__Otu254__X__Otu1321__c75__k20__class,2,markers,0.45652175,0.57246375,0.8981481,0.75,0.923369724913884,0.7291554334502235,1007.0,0.9123514927859395,0.2503141444580436,0.0018097329905098927,0.2937195,Shewanella,genus,
s3__Otu23__X__Otu1010__c60__k10__species,3,markers + neural network,0.2173913,0.14492753,0.42592594,0.10185185,0.6875000690442944,0.138122170219594,884.0,0.643535238708649,0.19798360425857747,0.0014052938193809626,0.42553908,Vibrio,genus,
s3__Otu289__X__Otu220.0__c60__k20__phylum,2,markers,0.41304347,0.17391305,0.8425926,0.25925925,0.8024316193748489,0.34002254641033003,1034.0,0.7186624564583471,0.27284484309633766,0.001851114183283736,0.3638322,Vibrionaceae,family,
s8__Otu220.0__X__Otu799.0__c60__k20__family,2,markers,0.42028984,0.35507247,0.7592593,0.4351852,0.7774836628581769,0.3927050215748552,626.0,0.7036135060521487,0.2756549732468899,0.0015229964726904425,0.32536224,Sphingomonadaceae,family,
s7__Otu252__X__Otu1853__c75__k15__genus,2,markers,0.47826087,0.4057971,0.9351852,0.4722222,0.9282187164145171,0.6548711221684854,945.0,0.9081959758083377,0.2858569159473317,0.0020785638471079826,0.37599486,Synechococcales,order,
s1__Otu833__X__Otu2403__c90__k20__genus,3,markers + neural network,0.9202899,0.20289855,0.5092593,0.1574074,0.924401705820381,0.25376534002674855,571.0,0.9054513986078909,0.27452327296937046,0.0011693483686812123,0.52555215,Nitrosopumilaceae,family,
s2__Otu1334__X__Otu1498__c60__k10__family,2,markers,0.44927537,0.23913044,0.75,0.2777778,0.8008589866561805,0.346496106785317,899.0,0.7087528948378347,0.2646566307565513,0.0018507058604644523,0.35719922,Vibrionaceae,family,
s8__RNODE_60_length_1811_cov_3.41811__X__RNODE_291_length_2033_cov_2.59025__c90__k2__species,1,rejected,0.0,0.0,0.0,0.0,0.003105590062111801,0.0,322.0,0.606874510925776,0.0,0.0012338393862990182,0.013696353,Pseudomonadota,phylum,
s3__Otu581__X__Otu2259__c60__k2__genus,3,markers + neural network,0.39855072,0.17391305,0.712963,0.17592593,0.7667900303862291,0.20812766855584433,1013.0,0.681178306588655,0.20942767483680944,0.001971935674562862,0.4270823,Vibrionaceae,family,
s4__Otu150.0__X__Otu199.0__c75__k15__order,3,markers + neural network,0.46376812,0.23188406,0.8703704,0.24074075,0.7516573125665839,0.12565272504633124,704.0,0.7043148260190043,0.19339313082413634,0.0010254547393538668,0.45467138,Flavobacteriaceae,family,
s9__Otu149__X__Otu393.0__c60__k10__class,3,markers + neural network,0.3115942,0.04347826,0.49074075,0.018518519,0.6066395829363567,0.038211382113821135,615.0,0.6475816970504658,0.06346379694218002,0.0015923815959480302,0.43912634,Betaproteobacteria,class,
s5__Otu71__X__Otu24.0__c90__k10__phylum,3,markers + neural network,0.4710145,0.057971016,0.9351852,0.11111111,0.9243722123972951,0.1274002954209749,677.0,0.920815066260742,0.14665552593524034,0.001082593501656707,0.5756418,Corynebacterium,genus,
s2__Otu226__X__Otu1515__c60__k20__family,2,markers,0.42028984,0.28985506,0.8055556,0.42592594,0.8110076035788764,0.42091916190045386,1019.0,0.7267156641972865,0.28658610760542963,0.001943594741376372,0.3589976,Vibrionaceae,family,
s1__Otu450.0__X__Otu222.1__c90__k5__class,3,markers + neural network,0.49275362,0.10869565,0.962963,0.18518518,0.9662027833001988,0.15414181476084896,503.0,0.9780856086707805,0.11502839209111845,0.0013803935495668037,0.49800435,Micrococcales,order,
s9__Otu46__X__Otu833__c90__k20__family,3,markers + neural network,0.9710145,0.26086956,0.5092593,0.1388889,0.9600760456273765,0.26194548516219107,526.0,0.9482030896973733,0.25635783238507,0.0011675778513089861,0.5401734,Nitrososphaerota,phylum,
s3__Otu3.1__X__Otu3.0__c90__k10__genus,3,markers + neural network,0.51449275,0.22463769,0.9814815,0.16666667,1.0,0.13974926535007173,452.0,1.0,0.12606449454203536,0.0012110372654366474,0.48405284,Desulfuromonadia,class,
s0__Otu438__X__Otu2487__c90__k10__family,2,markers,0.47826087,0.2826087,0.9722222,0.46296296,0.9415374282718629,0.3583010000775951,1032.0,0.9270339212639276,0.2685827802851295,0.0014600384641780598,0.4056209,Vibrio,genus,
