raw_path	rows	schema	role	n_stage1	n_stage2	n_stage3	quantitative_rows_changed	rejected_rows_previously_assigned_stage3	max_selected_vs_historical_completeness_difference_pp	max_selected_vs_historical_contamination_difference_pp	raw_sha256
data/benchmarks/motivating/set_A/cocopye_raw_output.csv	600	full_all_stage_estimates	accuracy	0	117	483	117	0	18.568162749696043	28.245709843379874	15462b06fa8a43294373f7899dc615f7ff4138d8fdc300bad3273405cf71b543
data/benchmarks/motivating/set_B/cocopye_raw_output.csv	1100	full_all_stage_estimates	accuracy	0	410	690	410	0	22.790804638530375	147.38673637476427	cfe77828c17ddca9e94e2b820b4eb76978c4885996dbbf1455c6999b6687a1da
data/benchmarks/motivating_v2/set_A/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	198	802	198	0	25.82466509476226	36.92313426556392	e7c30a6619afbee9ba391ebbd8b1bb5ad1be0b37aa8978925ed31b940a57e660
data/benchmarks/motivating_v2/set_B/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	480	520	480	0	20.17040294811457	149.22835493563352	e2284fcc5688ffc9e271dcf19159804d16e19e977e2c2bc89ddaa9ae414942c8
data/benchmarks/motivating_v2/set_C/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	471	529	471	0	23.86444060637652	162.30030372320357	f440eddeb34bb428eb764853221e49355edc3956759ccdb2bbf39fff60edd611
data/benchmarks/set_A/cocopye_raw_output.csv	600	full_all_stage_estimates	accuracy	0	100	500	100	0	20.216817420711962	10.026262696360362	f2e0fb2a8a44da4cb6bc4b7b85749a85da5c81482f5c2b1dca87788ee308f6d4
data/benchmarks/set_A_v2/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	199	801	199	0	32.697990262298084	36.99782180431383	13c0d47e1a731a23fc5979ffb5be10a376b990edb7626bfdc6d51fe9b52177dd
data/benchmarks/set_B/cocopye_raw_output.csv	600	full_all_stage_estimates	accuracy	0	241	359	241	0	18.755468920351476	96.72181169244726	0587d6944858ffb26d5d97183d86f73e6dc67630f5c9308d89043a395f5aa5a5
data/benchmarks/set_B_v2/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	473	527	473	0	22.000838919150908	164.69923440127855	967cd9aa8c6d59b872714765e8b0fb7b9fb5ea2427345aedc2c7be26dfa021d6
data/benchmarks/set_C/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	303	697	303	0	36.09983492016189	47.29538832282897	3d5c46b2f27ec6b0f3f0133887c888727e631b26bf08a9d4f810b7fcb5a36891
data/benchmarks/set_C_clean/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	277	723	277	0	38.65582949066354	26.58748600633926	80a76f2c73f3c331ef48462e7898eda01121264bee6aa2a5d573946488553e42
data/benchmarks/set_D/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	327	673	327	0	32.56573340424077	187.25589300909368	120072ce58c2f1155ad02b44940117c82668ea2ec182d6c95068b19cdd3c1232
data/benchmarks/set_D_clean/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	268	732	268	0	34.801464035107244	104.71306717384809	246b20b025e7636d33843057d638f90b0b7390a38987aff0c1b3fd7a30051f41
data/benchmarks/set_E/cocopye_raw_output.csv	1000	full_all_stage_estimates	accuracy	0	485	515	485	0	30.919886270529037	153.06612201903513	6f2fb7cf4c3d12cfd847b7644ac384aa728d5753b32257b32be977b35c649a62
data/benchmarks/set_F/cocopye_raw_output.csv	1900	full_all_stage_estimates	accuracy	0	144	1756	144	0	12.83204217336251	64.53784692383667	f34302e54f6cf1da7366f53255a8f7626c8185dd754cbd679a3cf91e1a0d1791
data/benchmarks/set_G/cocopye_raw_output.csv	1920	full_all_stage_estimates	accuracy	0	731	1189	731	0	33.37922451059021	280.887876329345	1616b418b4fda5a366485f5a4b3a2283cd1085010479785ad6861c86135915df
