set	set_label	tool	tool_label	criterion	threshold	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi
set_A_v2	Set A (completeness gradient, 0% contamination)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0				1.0	1.0	1.0	1.0	1.0	1.0
set_A_v2	Set A (completeness gradient, 0% contamination)	checkm2	CheckM2 1.0.1	completeness	50.0	1000	798	1000	0	0	22				0.022	0.0132248219735503	0.0310636835920837				0.978	0.9689363164079162	0.9867751780264497	0.978	0.9689363164079162	0.9867751780264497
set_A_v2	Set A (completeness gradient, 0% contamination)	cocopye	CoCoPyE 0.5.0	completeness	50.0	1000	798	1000	0	0	52				0.052	0.039038063063063	0.0654773905529953				0.948	0.9345226094470046	0.9609619369369368	0.948	0.9345226094470046	0.9609619369369368
set_A_v2	Set A (completeness gradient, 0% contamination)	deepcheck	DeepCheck	completeness	50.0	1000	798	1000	0	0	27				0.027	0.0177501701837985	0.0373657178361554				0.973	0.9626342821638444	0.9822498298162016	0.973	0.9626342821638444	0.9822498298162016
set_A_v2	Set A (completeness gradient, 0% contamination)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	90.0	1000	798	276	724	17	20	0.0234806629834254	0.0136607362512021	0.035063728746832	0.072463768115942	0.0431647623078008	0.1060686653771759	0.9765193370165746	0.964936271253168	0.986339263748798	0.927536231884058	0.893931334622824	0.9568352376921992	0.9520277844503162	0.9344091729056048	0.9680932240834704
set_A_v2	Set A (completeness gradient, 0% contamination)	checkm2	CheckM2 1.0.1	completeness	90.0	1000	798	276	724	29	6	0.0400552486187845	0.0269867249871233	0.0546247938427707	0.0217391304347826	0.0069686411149825	0.0405417871746284	0.9599447513812156	0.9453752061572293	0.9730132750128766	0.9782608695652174	0.9594582128253716	0.9930313588850174	0.9691028104732164	0.9566469740004088	0.9795933870402528
set_A_v2	Set A (completeness gradient, 0% contamination)	cocopye	CoCoPyE 0.5.0	completeness	90.0	1000	798	276	724	26	14	0.0359116022099447	0.0228494623655914	0.0497926707359979	0.0507246376811594	0.0227251286449399	0.0817155240455848	0.9640883977900552	0.950207329264002	0.9771505376344086	0.9492753623188406	0.9182844759544152	0.97727487135506	0.956681880054448	0.9402770624164556	0.9720410109088864
set_A_v2	Set A (completeness gradient, 0% contamination)	deepcheck	DeepCheck	completeness	90.0	1000	798	276	724	31	6	0.042817679558011	0.0293693820172486	0.0579101402688486	0.0217391304347826	0.0070404132109731	0.0398586956521738	0.9571823204419888	0.9420898597311512	0.9706306179827512	0.9782608695652174	0.9601413043478262	0.9929595867890268	0.9677215950036032	0.9564064564850928	0.9780741262115916
set_A_v2	Set A (completeness gradient, 0% contamination)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5.0	1000	798	1000	0	0	21				0.021	0.0110998990918264	0.0319385253516989				0.979	0.9680614746483012	0.9889001009081736	0.979	0.9680614746483012	0.9889001009081736
set_A_v2	Set A (completeness gradient, 0% contamination)	checkm2	CheckM2 1.0.1	contamination	5.0	1000	798	1000	0	0	0				0.0	0.0	0.0				1.0	1.0	1.0	1.0	1.0	1.0
