set	tool	criterion	threshold	n_true_pass	n_true_fail	balanced_accuracy	source
set_A_v2	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v4	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v3	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_A_v2	checkm2	completeness	50.0	1000	0	0.978	ws5.2_threshold_analysis.tsv
set_A_v2	cocopye	completeness	50.0	1000	0	0.948	ws5.2_threshold_analysis.tsv
set_A_v2	deepcheck	completeness	50.0	1000	0	0.973	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v5	contamination	5.0	1000	0	0.979	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v4	contamination	5.0	1000	0	0.938	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v3	contamination	5.0	1000	0	0.982	ws5.2_threshold_analysis.tsv
set_A_v2	checkm2	contamination	5.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_A_v2	cocopye	contamination	5.0	1000	0	0.968	ws5.2_threshold_analysis.tsv
set_A_v2	deepcheck	contamination	5.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v5	contamination	10.0	1000	0	0.989	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v4	contamination	10.0	1000	0	0.978	ws5.2_threshold_analysis.tsv
set_A_v2	magicc_v3	contamination	10.0	1000	0	0.993	ws5.2_threshold_analysis.tsv
set_A_v2	checkm2	contamination	10.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_A_v2	cocopye	contamination	10.0	1000	0	0.981	ws5.2_threshold_analysis.tsv
set_A_v2	deepcheck	contamination	10.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	magicc_v4	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	magicc_v3	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	checkm2	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	cocopye	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	deepcheck	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_B_v2	magicc_v5	completeness	90.0	1000	0	0.896	ws5.2_threshold_analysis.tsv
set_B_v2	magicc_v4	completeness	90.0	1000	0	0.9	ws5.2_threshold_analysis.tsv
set_B_v2	magicc_v3	completeness	90.0	1000	0	0.977	ws5.2_threshold_analysis.tsv
set_B_v2	checkm2	completeness	90.0	1000	0	0.99	ws5.2_threshold_analysis.tsv
set_B_v2	cocopye	completeness	90.0	1000	0	0.986	ws5.2_threshold_analysis.tsv
set_B_v2	deepcheck	completeness	90.0	1000	0	0.986	ws5.2_threshold_analysis.tsv
set_C	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_C	magicc_v4	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_C	magicc_v3	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_C	checkm2	completeness	50.0	1000	0	0.949	ws5.2_threshold_analysis.tsv
set_C	cocopye	completeness	50.0	1000	0	0.879	ws5.2_threshold_analysis.tsv
set_C	deepcheck	completeness	50.0	1000	0	0.857	ws5.2_threshold_analysis.tsv
set_D	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_D	magicc_v4	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_D	magicc_v3	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_D	checkm2	completeness	50.0	1000	0	0.991	ws5.2_threshold_analysis.tsv
set_D	cocopye	completeness	50.0	1000	0	0.958	ws5.2_threshold_analysis.tsv
set_D	deepcheck	completeness	50.0	1000	0	0.974	ws5.2_threshold_analysis.tsv
set_E	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_E	magicc_v4	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_E	magicc_v3	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
set_E	checkm2	completeness	50.0	1000	0	0.995	ws5.2_threshold_analysis.tsv
set_E	cocopye	completeness	50.0	1000	0	0.989	ws5.2_threshold_analysis.tsv
set_E	deepcheck	completeness	50.0	1000	0	0.994	ws5.2_threshold_analysis.tsv
