dataset	tool	distance_rank	quantity	absolute_difference	n	n_clusters
marine	MAGICC_V5	species	cont_bias	0.0	147	85
marine	MAGICC_V5	species	cont_mae	0.0	147	85
marine	MAGICC_V5	species	slope	0.0	147	85
marine	MAGICC_V5	genus	cont_bias	0.0	143	74
marine	MAGICC_V5	genus	cont_mae	0.0	143	74
marine	MAGICC_V5	genus	slope	5.551115123125783e-17	143	74
marine	MAGICC_V5	family	cont_bias	0.0	165	85
marine	MAGICC_V5	family	cont_mae	0.0	165	85
marine	MAGICC_V5	family	slope	0.0	165	85
marine	MAGICC_V5	order	cont_bias	0.0	137	69
marine	MAGICC_V5	order	cont_mae	8.881784197001252e-16	137	69
marine	MAGICC_V5	order	slope	0.0	137	69
marine	MAGICC_V5	class	cont_bias	0.0	155	89
marine	MAGICC_V5	class	cont_mae	0.0	155	89
marine	MAGICC_V5	class	slope	0.0	155	89
marine	MAGICC_V5	phylum	cont_bias	1.734723475976807e-17	164	95
marine	MAGICC_V5	phylum	cont_mae	0.0	164	95
marine	MAGICC_V5	phylum	slope	0.0	164	95
marine	CheckM2	species	cont_bias	1.7763568394002505e-15	147	85
marine	CheckM2	species	cont_mae	1.7763568394002505e-15	147	85
marine	CheckM2	species	slope	7.28583859910259e-17	147	85
marine	CheckM2	genus	cont_bias	0.0	143	74
marine	CheckM2	genus	cont_mae	0.0	143	74
marine	CheckM2	genus	slope	0.0	143	74
marine	CheckM2	family	cont_bias	0.0	165	85
marine	CheckM2	family	cont_mae	0.0	165	85
marine	CheckM2	family	slope	0.0	165	85
marine	CheckM2	order	cont_bias	0.0	137	69
marine	CheckM2	order	cont_mae	0.0	137	69
marine	CheckM2	order	slope	0.0	137	69
marine	CheckM2	class	cont_bias	0.0	155	89
marine	CheckM2	class	cont_mae	0.0	155	89
marine	CheckM2	class	slope	0.0	155	89
marine	CheckM2	phylum	cont_bias	0.0	164	95
marine	CheckM2	phylum	cont_mae	0.0	164	95
marine	CheckM2	phylum	slope	0.0	164	95
marine	CoCoPyE	species	cont_bias	0.0	147	85
marine	CoCoPyE	species	cont_mae	0.0	147	85
marine	CoCoPyE	species	slope	5.551115123125783e-17	147	85
marine	CoCoPyE	genus	cont_bias	0.0	143	74
marine	CoCoPyE	genus	cont_mae	0.0	143	74
marine	CoCoPyE	genus	slope	0.0	143	74
marine	CoCoPyE	family	cont_bias	0.0	165	85
marine	CoCoPyE	family	cont_mae	0.0	165	85
marine	CoCoPyE	family	slope	0.0	165	85
marine	CoCoPyE	order	cont_bias	1.7763568394002505e-15	137	69
marine	CoCoPyE	order	cont_mae	1.7763568394002505e-15	137	69
marine	CoCoPyE	order	slope	0.0	137	69
marine	CoCoPyE	class	cont_bias	0.0	155	89
marine	CoCoPyE	class	cont_mae	1.7763568394002505e-15	155	89
