dataset	binset	cohort	tool	n_attempted	n_scored	n_unscored	original_common_n	corrected_common_n
marine	gold	all_attempted	CheckM2	800	800	0	722	651
marine	gold	all_attempted	CoCoPyE	722	651	71	722	651
marine	gold	all_attempted	DeepCheck	800	800	0	722	651
marine	gold	all_attempted	MAGICC_V5	4497	4497	0	722	651
marine	gold	primary_in_domain_scoreable_training_overlap_screened	CheckM2	487	487	0	409	339
marine	gold	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	409	339	70	409	339
marine	gold	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	487	487	0	409	339
marine	gold	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	2247	2247	0	409	339
marine	mixed	all_attempted	CheckM2	2201	2201	0	2117	1995
marine	mixed	all_attempted	CoCoPyE	2117	1995	122	2117	1995
marine	mixed	all_attempted	DeepCheck	2201	2201	0	2117	1995
marine	mixed	all_attempted	MAGICC_V5	2201	2201	0	2117	1995
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	CheckM2	1070	1070	0	986	864
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	986	864	122	986	864
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	1070	1070	0	986	864
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	1070	1070	0	986	864
strain_madness	gold	all_attempted	CheckM2	800	800	0	800	800
strain_madness	gold	all_attempted	CoCoPyE	800	800	0	800	800
strain_madness	gold	all_attempted	DeepCheck	800	800	0	800	800
strain_madness	gold	all_attempted	MAGICC_V5	1564	1564	0	800	800
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	CheckM2	700	700	0	700	700
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	700	700	0	700	700
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	700	700	0	700	700
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	1107	1107	0	700	700
strain_madness	mixed	all_attempted	CheckM2	2250	2250	0	2250	2250
strain_madness	mixed	all_attempted	CoCoPyE	2250	2250	0	2250	2250
strain_madness	mixed	all_attempted	DeepCheck	2250	2250	0	2250	2250
strain_madness	mixed	all_attempted	MAGICC_V5	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	CheckM2	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	2250	2250	0	2250	2250
