dataset	binset	cohort	metric	n	n_references	mean_mae_difference_magicc_minus_checkm2	ci_lo	ci_hi	seed	n_bootstrap
marine	gold	pairwise_all_scored	completeness	487	266	-20.132933405173034	-22.776190134943214	-17.34733809561498	1343261534	2000
marine	gold	pairwise_all_scored	contamination	487	266	-0.9192367934141835	-1.366704955437024	-0.3279010582060112	1343261534	2000
marine	gold	four_tool_common	completeness	339	196	-9.47417079150226	-11.097509759011034	-7.809119599366589	2793905639	2000
marine	gold	four_tool_common	contamination	339	196	-1.319582385431563	-1.9392916733254022	-0.4807373577453484	2793905639	2000
marine	gold	pairwise_only_excluded_from_four_tool	completeness	148	70	-44.5472612837838	-45.00260731202639	-44.158358656067456	1175551055	2000
marine	gold	pairwise_only_excluded_from_four_tool	contamination	148	70	-0.002228984671671622	-0.004038910544125971	-0.0008200340815289536	1175551055	2000
marine	mixed	pairwise_all_scored	completeness	1070	264	-8.614098584082322	-11.34072035734945	-6.361085468239323	3840471543	2000
marine	mixed	pairwise_all_scored	contamination	1070	264	0.4433921388071278	-0.04754005211729574	0.8986788786205883	3840471543	2000
marine	mixed	four_tool_common	completeness	864	193	-0.007079293944537213	-0.9850263028220239	0.8986183482152187	3796872505	2000
marine	mixed	four_tool_common	contamination	864	193	0.5487967858665046	-0.04245045951368689	1.1058436225551114	3796872505	2000
marine	mixed	pairwise_only_excluded_from_four_tool	completeness	206	71	-44.71344162621359	-45.1205031419089	-44.35655399926356	251059929	2000
marine	mixed	pairwise_only_excluded_from_four_tool	contamination	206	71	0.001306628810528565	0.0003867900407582781	0.0025178915961284075	251059929	2000
strain_madness	gold	pairwise_all_scored	completeness	700	330	-12.662531261110148	-13.432696806170727	-11.916116032234573	594394673	2000
strain_madness	gold	pairwise_all_scored	contamination	700	330	-2.5124735524642854	-2.7084281302226785	-2.311918003770365	594394673	2000
strain_madness	gold	four_tool_common	completeness	700	330	-12.662531261110148	-13.452897418017143	-11.95342047052795	318353714	2000
strain_madness	gold	four_tool_common	contamination	700	330	-2.5124735524642854	-2.6915878312713635	-2.3209091619940234	318353714	2000
strain_madness	mixed	pairwise_all_scored	completeness	2250	335	-2.9377887956599427	-3.444495210012794	-2.4783200776059937	1553446749	2000
strain_madness	mixed	pairwise_all_scored	contamination	2250	335	-1.4772660046766681	-1.7522062303249912	-1.2061268405437202	1553446749	2000
strain_madness	mixed	four_tool_common	completeness	2250	335	-2.9377887956599427	-3.3991159692570205	-2.4707605525857206	1437861100	2000
strain_madness	mixed	four_tool_common	contamination	2250	335	-1.4772660046766681	-1.7481085424142973	-1.1802449225196017	1437861100	2000
