dataset	binset	bin_id	cluster	four_tool_common	cocopye_stage	cocopye_has_row	cocopye_scored
marine	gold	s0__Otu1040	Otu1040	True	2.0	True	True
marine	gold	s0__Otu1209	Otu1209	True	2.0	True	True
marine	gold	s0__Otu1737	Otu1737	True	3.0	True	True
marine	gold	s0__Otu20	Otu20	True	3.0	True	True
marine	gold	s0__Otu2117	Otu2117	True	3.0	True	True
marine	gold	s0__Otu2119.0	Otu2119.0	True	3.0	True	True
marine	gold	s0__Otu226	Otu226	True	3.0	True	True
marine	gold	s0__Otu2290.0	Otu2290.0	True	3.0	True	True
marine	gold	s0__Otu255	Otu255	True	2.0	True	True
marine	gold	s0__Otu829.0	Otu829.0	True	3.0	True	True
marine	gold	s0__Otu88.0	Otu88.0	True	3.0	True	True
marine	gold	s0__Otu895.0	Otu895.0	True	3.0	True	True
marine	gold	s1__Otu1153	Otu1153	True	2.0	True	True
marine	gold	s1__Otu1548.1	Otu1548.1	True	3.0	True	True
marine	gold	s1__Otu1585	Otu1585	True	2.0	True	True
marine	gold	s1__Otu255	Otu255	True	3.0	True	True
marine	gold	s1__Otu4.0	Otu4.0	True	3.0	True	True
marine	gold	s1__Otu53.0	Otu53.0	True	3.0	True	True
marine	gold	s1__Otu73	Otu73	True	3.0	True	True
marine	gold	s1__Otu75.0	Otu75.0	True	3.0	True	True
marine	gold	s1__Otu924	Otu924	True	2.0	True	True
marine	gold	s2__Otu1089	Otu1089	True	2.0	True	True
marine	gold	s2__Otu136	Otu136	True	3.0	True	True
marine	gold	s2__Otu1391	Otu1391	True	2.0	True	True
marine	gold	s2__Otu157.0	Otu157.0	True	3.0	True	True
marine	gold	s2__Otu159	Otu159	True	2.0	True	True
marine	gold	s2__Otu1894	Otu1894	True	2.0	True	True
marine	gold	s2__Otu2016.0	Otu2016.0	True	2.0	True	True
marine	gold	s2__Otu384.0	Otu384.0	True	3.0	True	True
marine	gold	s2__Otu595.0	Otu595.0	True	3.0	True	True
marine	gold	s2__Otu634.0	Otu634.0	True	2.0	True	True
marine	gold	s2__Otu638.0	Otu638.0	True	2.0	True	True
marine	gold	s2__Otu90.0	Otu90.0	True	3.0	True	True
marine	gold	s3__Otu149	Otu149	True	2.0	True	True
marine	gold	s3__Otu157.0	Otu157.0	True	3.0	True	True
marine	gold	s3__Otu185.0	Otu185.0	True	3.0	True	True
marine	gold	s3__Otu24.0	Otu24.0	True	3.0	True	True
marine	gold	s3__Otu292.0	Otu292.0	True	3.0	True	True
marine	gold	s3__Otu473	Otu473	True	2.0	True	True
marine	gold	s3__Otu754	Otu754	True	2.0	True	True
marine	gold	s4__Otu123.0	Otu123.0	True	3.0	True	True
marine	gold	s4__Otu241.0	Otu241.0	True	2.0	True	True
marine	gold	s4__Otu595.0	Otu595.0	True	3.0	True	True
marine	gold	s4__Otu67.0	Otu67.0	True	2.0	True	True
