dataset	binset	cohort	tool	metric	n	n_references	mae	mae_ci_lo	mae_ci_hi	signed_bias	bias_ci_lo	bias_ci_hi	seed	n_bootstrap
marine	gold	pairwise_all_scored	MAGICC_V5	completeness	339	196	3.9796218313935077	3.2224838211687357	4.892480004331651	-0.5082616465820252	-1.6122640745850365	0.5254661464300142	1343261534	2000
marine	gold	pairwise_all_scored	CheckM2	completeness	339	196	13.453792622895769	12.053135943150242	14.794521445046309	-13.327163705579077	-14.69308144435753	-11.919296789806278	1343261534	2000
marine	gold	pairwise_all_scored	MAGICC_V5	contamination	339	196	1.2655208594061949	0.718844953406468	2.021539799128868	1.2655208594061949	0.718844953406468	2.021539799128868	1343261534	2000
marine	gold	pairwise_all_scored	CheckM2	contamination	339	196	2.5851032448377578	2.3380659785238955	2.837146776018099	2.5851032448377578	2.3380659785238955	2.837146776018099	1343261534	2000
marine	gold	four_tool_common	MAGICC_V5	completeness	339	196	3.9796218313935077	3.247472497711885	4.845418378208062	-0.5082616465820252	-1.6394516136160246	0.49757344061225434	2793905639	2000
marine	gold	four_tool_common	CheckM2	completeness	339	196	13.453792622895769	12.080447704016041	14.91115665518862	-13.327163705579077	-14.814667325546733	-11.935941726609379	2793905639	2000
marine	gold	four_tool_common	MAGICC_V5	contamination	339	196	1.2655208594061949	0.736599965176725	2.0246418439801017	1.2655208594061949	0.736599965176725	2.0246418439801017	2793905639	2000
marine	gold	four_tool_common	CheckM2	contamination	339	196	2.5851032448377578	2.340906972751744	2.8399762147435266	2.5851032448377578	2.340906972751744	2.8399762147435266	2793905639	2000
marine	mixed	pairwise_all_scored	MAGICC_V5	completeness	864	193	7.197416594138362	6.551973649639635	7.863705715545024	4.199178393684489	3.0384398829253523	5.32831809274123	3840471543	2000
marine	mixed	pairwise_all_scored	CheckM2	completeness	864	193	7.204495888082899	6.497382979025882	7.98187317693492	-3.6146773910377332	-4.74241981042327	-2.667129677131505	3840471543	2000
marine	mixed	pairwise_all_scored	MAGICC_V5	contamination	864	193	6.453107090559517	5.936462221829667	6.986726933358231	-4.193091933383189	-5.064944607591146	-3.3102849208791096	3840471543	2000
marine	mixed	pairwise_all_scored	CheckM2	contamination	864	193	5.904310304693013	5.539685328812726	6.257523075628008	-4.935696987087586	-5.37733278137523	-4.502017541651832	3840471543	2000
marine	mixed	four_tool_common	MAGICC_V5	completeness	864	193	7.197416594138362	6.545542048767423	7.851776982065259	4.199178393684489	3.020608539756211	5.310025866856127	3796872505	2000
marine	mixed	four_tool_common	CheckM2	completeness	864	193	7.204495888082899	6.479405647954037	7.990135020206677	-3.6146773910377332	-4.677117595114286	-2.6332593831011617	3796872505	2000
marine	mixed	four_tool_common	MAGICC_V5	contamination	864	193	6.453107090559517	5.908734029318786	6.960128294298096	-4.193091933383189	-5.005817119088976	-3.329494652373986	3796872505	2000
marine	mixed	four_tool_common	CheckM2	contamination	864	193	5.904310304693013	5.545927774812882	6.261253834260874	-4.935696987087586	-5.372768052436101	-4.5091743495801095	3796872505	2000
strain_madness	gold	pairwise_all_scored	MAGICC_V5	completeness	700	330	1.295451803806848	1.1591829906193647	1.4580390758975132	-0.05194461199956641	-0.21565183210108543	0.10324753443002906	594394673	2000
strain_madness	gold	pairwise_all_scored	CheckM2	completeness	700	330	13.957983064916997	13.242503679779999	14.727531898836736	-13.845170344856712	-14.627202484798278	-13.115077534289146	594394673	2000
strain_madness	gold	pairwise_all_scored	MAGICC_V5	contamination	700	330	0.5027835903928571	0.40092139821314976	0.6666364192515631	0.5027835903928571	0.40092139821314976	0.6666364192515631	594394673	2000
strain_madness	gold	pairwise_all_scored	CheckM2	contamination	700	330	3.0152571428571426	2.8502226922306764	3.1831239677349306	3.0152571428571426	2.8502226922306764	3.1831239677349306	594394673	2000
strain_madness	gold	four_tool_common	MAGICC_V5	completeness	700	330	1.295451803806848	1.1570291998688156	1.4751114083525891	-0.05194461199956641	-0.21373392068859426	0.10783829100811208	318353714	2000
strain_madness	gold	four_tool_common	CheckM2	completeness	700	330	13.957983064916997	13.249044757177787	14.735023256216524	-13.845170344856712	-14.635861190960476	-13.123953876600625	318353714	2000
strain_madness	gold	four_tool_common	MAGICC_V5	contamination	700	330	0.5027835903928571	0.40266533502091134	0.6765338663627802	0.5027835903928571	0.40266533502091134	0.6765338663627802	318353714	2000
strain_madness	gold	four_tool_common	CheckM2	contamination	700	330	3.0152571428571426	2.8482021321828777	3.1818829335982297	3.0152571428571426	2.8482021321828777	3.1818829335982297	318353714	2000
strain_madness	mixed	pairwise_all_scored	MAGICC_V5	completeness	2250	335	4.217788726608258	3.991493321960336	4.447069826984419	2.700268280365734	2.404082367407198	3.008534915273896	1553446749	2000
strain_madness	mixed	pairwise_all_scored	CheckM2	completeness	2250	335	7.1555775222682	6.753416932849215	7.592478663091041	-4.178436528967599	-4.780101554275081	-3.5928414722730215	1553446749	2000
strain_madness	mixed	pairwise_all_scored	MAGICC_V5	contamination	2250	335	4.441146184320198	4.210764533472593	4.664680860318805	-3.6539228857935435	-3.9326130360804927	-3.357169032054606	1553446749	2000
strain_madness	mixed	pairwise_all_scored	CheckM2	contamination	2250	335	5.918412188996866	5.711865633572858	6.1243173859991815	-5.246805094007322	-5.504461815097486	-4.998304476167113	1553446749	2000
strain_madness	mixed	four_tool_common	MAGICC_V5	completeness	2250	335	4.217788726608258	3.9992500783599807	4.454576128242826	2.700268280365734	2.4044341700219336	3.0011422124729195	1437861100	2000
strain_madness	mixed	four_tool_common	CheckM2	completeness	2250	335	7.1555775222682	6.763495471250744	7.574826112921226	-4.178436528967599	-4.77046039760735	-3.5950290104579934	1437861100	2000
strain_madness	mixed	four_tool_common	MAGICC_V5	contamination	2250	335	4.441146184320198	4.228625379694703	4.667711396513287	-3.6539228857935435	-3.9408691651480208	-3.3690594701269347	1437861100	2000
strain_madness	mixed	four_tool_common	CheckM2	contamination	2250	335	5.918412188996866	5.712408944631403	6.1196446818269195	-5.246805094007322	-5.502121132136222	-4.99173593977281	1437861100	2000
