dataset	binset	cohort	metric	n	n_references	mean_mae_difference_magicc_minus_checkm2	ci_lo	ci_hi	seed	n_bootstrap
marine	gold	pairwise_all_scored	completeness	339	196	-9.47417079150226	-10.97373288846275	-7.751216464686164	1343261534	2000
marine	gold	pairwise_all_scored	contamination	339	196	-1.319582385431563	-1.9730010727010439	-0.4958578260284157	1343261534	2000
marine	gold	four_tool_common	completeness	339	196	-9.47417079150226	-11.097509759011034	-7.809119599366589	2793905639	2000
marine	gold	four_tool_common	contamination	339	196	-1.319582385431563	-1.9392916733254022	-0.4807373577453484	2793905639	2000
marine	mixed	pairwise_all_scored	completeness	864	193	-0.007079293944537213	-0.9947874299059458	0.8849205537648808	3840471543	2000
marine	mixed	pairwise_all_scored	contamination	864	193	0.5487967858665046	-0.05798570129679661	1.1058029689807978	3840471543	2000
marine	mixed	four_tool_common	completeness	864	193	-0.007079293944537213	-0.9850263028220239	0.8986183482152187	3796872505	2000
marine	mixed	four_tool_common	contamination	864	193	0.5487967858665046	-0.04245045951368689	1.1058436225551114	3796872505	2000
strain_madness	gold	pairwise_all_scored	completeness	700	330	-12.662531261110148	-13.432696806170727	-11.916116032234573	594394673	2000
strain_madness	gold	pairwise_all_scored	contamination	700	330	-2.5124735524642854	-2.7084281302226785	-2.311918003770365	594394673	2000
strain_madness	gold	four_tool_common	completeness	700	330	-12.662531261110148	-13.452897418017143	-11.95342047052795	318353714	2000
strain_madness	gold	four_tool_common	contamination	700	330	-2.5124735524642854	-2.6915878312713635	-2.3209091619940234	318353714	2000
strain_madness	mixed	pairwise_all_scored	completeness	2250	335	-2.9377887956599427	-3.444495210012794	-2.4783200776059937	1553446749	2000
strain_madness	mixed	pairwise_all_scored	contamination	2250	335	-1.4772660046766681	-1.7522062303249912	-1.2061268405437202	1553446749	2000
strain_madness	mixed	four_tool_common	completeness	2250	335	-2.9377887956599427	-3.3991159692570205	-2.4707605525857206	1437861100	2000
strain_madness	mixed	four_tool_common	contamination	2250	335	-1.4772660046766681	-1.7481085424142973	-1.1802449225196017	1437861100	2000
