metric	reference_tool	comparison_tool	n_pairs	n_clusters	mae_reference	mae_comparison	mean_paired_difference	mean_diff_ci_lo	mean_diff_ci_hi	median_paired_difference	median_diff_ci_lo	median_diff_ci_hi	hodges_lehmann_diff	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_delta_ci_lo	cliffs_delta_ci_hi	cliffs_delta_magnitude	rank_biserial_paired	wilcoxon_statistic_naive	p_wilcoxon_two_sided_naive	wilcoxon_statistic_cluster_mean	n_clusters_used_cluster_mean	p_wilcoxon_two_sided_cluster_mean	p_cluster_bootstrap_median	p_cluster_bootstrap_mean	favours	boot_clustered	boot_n_iter	boot_n_iter_slow	set	q_bh_wilcoxon_cluster_mean	q_bh_cluster_bootstrap_mean	bh_family	significant_bh_primary	q_bh_wilcoxon_naive	significant_all_three_bh
completeness	magicc_v5	checkm2	1000	798	2.1766318366134065	2.5423106509718054	-0.3656788143583991	-0.6592023917445008	-0.0771203010598792	-0.0458170000000066	-0.2368698503264426	0.0238400000000069	-0.5009606115103526	-0.6669734107709538	-0.3311123521850354	-0.075286	-0.116415961229474	-0.0349840096840843	negligible	-0.229062937062937	192927.0	3.5027708840170587e-10	116380.0	798	3.982951133174877e-11	0.432783608195902	0.0139930034982508	reference	True	2000	1000	set_A_v2	6.827916228299789e-11	0.0179910044977511	all 36 secondary set/output/comparator contrasts	True	5.482597905418004e-10	True
contamination	magicc_v5	checkm2	1000	798	0.8285294344272	0.27387	0.5546594344272	0.363042502711438	0.7773568682581269	0.10656701	0.0864074999999999	0.1325458827499999	0.1454165999999999	0.1185116379562499	0.1786752131124999	0.294536	0.248626503016318	0.3421974615056855	small	0.4224535464535464	144531.0	5.696389127492721e-31	92041.0	798	4.580451757296324e-25	0.000999500249875	0.000999500249875	comparison	True	2000	1000	set_A_v2	2.355660903752395e-24	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.7089167382478162e-30	True
completeness	magicc_v5	cocopye	1000	798	2.1766318366134065	3.6395110323866655	-1.4628791957732594	-1.8141088808885149	-1.1033218630738004	-0.4024933969090654	-0.623489663899818	-0.2374625525030325	-1.096079785866003	-1.3164364258983956	-0.8858537558745286	-0.18813	-0.2286455803294967	-0.1473837935969293	small	-0.4063576423576424	148559.0	8.82952557807764e-29	89367.0	798	5.8069769369738e-27	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_A_v2	3.4841861621842797e-26	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	2.2704494343628215e-28	True
contamination	magicc_v5	cocopye	1000	798	0.8285294344272	0.9766124183707464	-0.1480829839435467	-0.5207182682953049	0.2163378264998679	0.160109995	0.135177075375	0.1847148	0.1762657912359524	0.1455875656967288	0.2076811364	0.517302	0.4667932548971901	0.5649820834332575	large	0.3721718281718281	157114.0	2.0897706108176977e-24	100516.0	798	1.5634727867627396e-19	0.000999500249875	0.4457771114442778	reference	True	2000	1000	set_A_v2	4.69041836028822e-19	0.4585136003426858	all 36 secondary set/output/comparator contrasts	True	4.70198387433982e-24	False
completeness	magicc_v5	deepcheck	1000	798	2.1766318366134065	4.255472477276518	-2.078840640663111	-2.4293089249635336	-1.6925294228929642	-1.1046854595947266	-1.3121697766113272	-0.9540216083984384	-1.719625036077293	-1.9838828337677	-1.4689153788402245	-0.403948	-0.4440895671275331	-0.361842205338426	medium	-0.5975144855144855	100722.0	3.252949228367438e-60	59406.0	798	3.454077624870616e-53	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_A_v2	4.14489314984474e-52	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	3.9035390740409255e-59	True
contamination	magicc_v5	deepcheck	1000	798	0.8285294344272	0.404035914644599	0.4244935197826011	0.2277213349866681	0.6538908229858965	0.0489462175095291	0.0256858810233307	0.0829897820226288	0.0691241603796749	0.0375164239241366	0.1037271269601812	0.118072	0.0619563064370874	0.1770904959319526	negligible	0.168071928071928	208190.0	4.1447374258073605e-06	136648.0	798	0.0004774989966956	0.000999500249875	0.000999500249875	comparison	True	2000	1000	set_A_v2	0.0006139272814658	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	5.145191287209137e-06	True
completeness	magicc_v5	checkm2	424	391	1.535822226415094	0.238915094339623	1.296907132075471	0.8880728887760382	1.7731424602612424	0.2114979999999988	0.1799900000000036	0.2454378750000027	0.2919674999999984	0.2433161125000026	0.3587416249999975	0.7970696867212531	0.7469590396643543	0.8438459822982077	large	0.7904994450610433	9438.0	3.5417046621461947e-45	7910.0	391	4.104523063533794e-42	0.000999500249875	0.000999500249875	comparison	True	2000	1000	set_B_v2	3.6940707571804137e-41	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.8214481119609001e-44	True
contamination	magicc_v5	checkm2	424	391	2.376202083282513	4.978460860836954	-2.6022587775544403	-3.229287741153569	-1.9485348971141927	-0.09207303	-0.2958365896250001	0.0588850141249999	-1.738389336288475	-2.539036018066381	-0.9915995745651538	-0.0699203453186187	-0.1347860054939046	-0.0039295786004956	negligible	-0.3186237513873474	30696.0	1.306438770812286e-08	24776.0	391	1.3966567988577052e-09	0.3058470764617691	0.000999500249875	reference	True	2000	1000	set_B_v2	2.28543839813079e-09	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.808915221124704e-08	True
completeness	magicc_v5	cocopye	424	391	1.535822226415094	0.3978639326793587	1.137958293735735	0.7360673006282608	1.6016124488158558	0.1621035080789781	0.120911999999997	0.2087549999999964	0.2323452500000016	0.1798429052250099	0.2981354500000005	0.5761169455322178	0.5105125062162955	0.6398313011877679	large	0.5639067702552719	19646.0	8.147904272242566e-24	16437.0	391	1.3060506590845069e-22	0.000999500249875	0.000999500249875	comparison	True	2000	1000	set_B_v2	5.877227965880281e-22	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.725438551769014e-23	True
contamination	magicc_v5	cocopye	424	391	2.376202083282513	2.7896351910189887	-0.4134331077364752	-1.0017282058731345	0.1262071732848454	0.228485465	0.13670027	0.33739894339908	-0.1020832017409223	-0.3520717920466381	0.1729926071771275	0.1111605553577785	0.048662478622982	0.1790778032432153	negligible	-0.0366703662597114	43398.0	0.5129112625824594	37057.0	391	0.572816605346919	0.000999500249875	0.1379310344827586	reference	True	2000	1000	set_B_v2	0.5891827940711167	0.1551724137931034	all 36 secondary set/output/comparator contrasts	False	0.5275658700848155	False
completeness	magicc_v5	deepcheck	424	391	1.535822226415094	1.6782367094507755	-0.1424144830356816	-0.6125013355444812	0.3626608990805874	-0.6325671252441367	-0.6979230249023445	-0.5576724388732903	-0.6299008951416027	-0.7277626622375492	-0.5349642974121196	-0.534687611249555	-0.6059220720410714	-0.4617264467893552	large	-0.5217536071032186	21545.0	1.2822104568363391e-20	18238.0	391	2.7175061479596743e-19	0.000999500249875	0.55872063968016	reference	True	2000	1000	set_B_v2	6.987872951896307e-19	0.55872063968016	all 36 secondary set/output/comparator contrasts	True	2.30797882230541e-20	False
contamination	magicc_v5	deepcheck	424	391	2.376202083282513	7.279934729452049	-4.903732646169535	-5.561135004723198	-4.232910271533717	-2.5032851227416995	-4.268735632694412	-0.4648881817412427	-4.836665680869292	-5.39652582875524	-4.201403696159173	-0.1835728907084371	-0.2531137114499119	-0.112095927900572	small	-0.5763817980022198	19084.0	8.28468272364659e-25	14215.0	391	4.342045562635074e-27	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_B_v2	3.1262728050972527e-26	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.9883238536751816e-24	True
completeness	magicc_v5	checkm2	388	100	6.730880922680413	5.763680144329897	0.9672007783505157	-0.5045624001688822	2.476377866409415	-0.7442050000000009	-1.4055759999999964	0.1124049999999954	0.1657337500000029	-1.0747154374999983	1.7907993999999987	-0.0593182059730045	-0.1893754531535273	0.0685900821524334	negligible	0.0213341107253597	36928.0	0.7157334705772376	2461.0	100	0.8258300417006286	0.0769615192403798	0.208895552223888	comparison	True	2000	1000	set_C_clean	0.8258300417006286	0.2278860569715142	all 36 secondary set/output/comparator contrasts	False	0.7157334705772376	False
contamination	magicc_v5	checkm2	388	100	6.772632596958763	15.48535687371134	-8.712724276752578	-10.062695981325918	-7.329214793175183	-8.876036999999998	-9.858166	-6.932716000000001	-8.950865425	-10.173518825	-7.588862600000001	-0.5525560633436072	-0.6411317653489351	-0.4653183251429275	large	-0.747965971430843	9510.0	2.488597371967238e-37	212.0	100	1.822758080253685e-15	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_C_clean	3.64551616050737e-15	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	8.958950539082058e-37	True
completeness	magicc_v5	cocopye	388	100	6.730880922680413	16.357603924712663	-9.626723002032248	-11.25436836471594	-8.056975701253425	-10.771950426165844	-12.92889598412698	-7.637224448902344	-9.758082745262548	-11.516959884311746	-7.981387700464485	-0.6238973323413752	-0.7180927607443611	-0.5287482162048497	large	-0.7763496143958869	8439.0	4.390337066520386e-40	329.0	100	4.3338616695425933e-14	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_C_clean	8.211527373870175e-14	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.7561348266081544e-39	True
contamination	magicc_v5	cocopye	388	100	6.772632596958763	9.93201262733183	-3.1593800303730672	-4.530774579441437	-1.7520589343729849	-2.5910628284073094	-3.8596659605538335	-1.3706077091205875	-3.204965419544254	-4.391776205124816	-1.856504497883246	-0.2853783611435859	-0.3948635425099714	-0.1756072240883075	small	-0.3882543132006466	23083.0	3.416901490227768e-11	940.0	100	5.044212630400929e-08	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_C_clean	6.984294411324364e-08	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	5.591293347645438e-11	True
completeness	magicc_v5	deepcheck	388	100	6.730880922680413	14.809679915715485	-8.07879899303507	-9.833750995156656	-6.219552145591735	-7.816933657348628	-11.253163332519534	-5.20716812402344	-8.186719002197265	-10.009747297424322	-6.334052266154479	-0.5409182697417366	-0.6415283278614899	-0.4335745386139549	large	-0.6739723849150611	12302.0	1.2520760244538532e-30	500.0	100	3.340307909367934e-12	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_C_clean	6.0125542368622796e-12	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	3.467287452333747e-30	True
contamination	magicc_v5	deepcheck	388	100	6.772632596958763	16.816545445453162	-10.0439128484944	-11.410439380915545	-8.680790296667459	-10.064456166437626	-12.04399582153511	-8.59708233368778	-10.328003639677762	-11.490655537269689	-8.911388701283068	-0.5974598788394091	-0.6831942353849577	-0.5156605693350517	large	-0.7944239790104153	7757.0	6.859556907321905e-42	176.0	100	6.658387362535723e-16	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_C_clean	1.4100114414781533e-15	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	3.0868006082948573e-41	True
completeness	magicc_v5	checkm2	362	99	4.442788422651934	5.475922143646408	-1.0331337209944749	-2.0901078212596205	-0.0168800068591017	-0.4932299999999969	-0.9599270000000076	-0.0302949999999952	-1.049900499999989	-1.8499894499999996	-0.1985009000000064	-0.0898324226977198	-0.1815099766694204	-0.0022644922487876	negligible	-0.1990320076708826	26313.0	0.001031604550972	1694.0	99	0.0064123253495468	0.0379810094952523	0.0499750124937531	reference	True	2000	1000	set_D_clean	0.0076947904194561	0.0620379465439693	all 36 secondary set/output/comparator contrasts	True	0.0011979923817739353	False
contamination	magicc_v5	checkm2	362	99	3.3981578443370166	12.82410190883978	-9.425944064502762	-10.372121660492176	-8.408511737967602	-8.609084	-9.99790701875	-6.871140293750002	-9.2815665	-10.19711145375	-8.343441525	-0.6705381398614206	-0.7284636580978132	-0.6106725259268152	large	-0.924143494208788	2492.0	1.9829493859119702e-52	19.0	99	1.0156917523803149e-17	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_D_clean	2.2853064428557087e-17	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.4277235578566187e-51	True
completeness	magicc_v5	cocopye	362	99	4.442788422651934	5.042416364200665	-0.5996279415487318	-1.9129335348242955	0.5655658707166693	-0.2211287417189389	-0.9610459353455472	0.1239104318235817	-0.4670222338990051	-1.3066275620292347	0.1945379785756966	-0.0908702420561032	-0.1955404088954077	0.0124961845300033	negligible	-0.1079859367152184	29304.0	0.0749878374108911	2004.0	99	0.1001913885312117	0.3108445777111444	0.3668165917041479	reference	True	2000	1000	set_D_clean	0.1060849996212829	0.3883940382749801	all 36 secondary set/output/comparator contrasts	False	0.07939888667035529	False
contamination	magicc_v5	cocopye	362	99	3.3981578443370166	5.5199328089370425	-2.1217749646000263	-2.9206969437189807	-1.2926574382814593	-1.29497872723891	-1.9752624	-0.78591814643198	-1.8568355658191076	-2.5863508288283485	-1.257750381711715	-0.3064314276120997	-0.3904791691610184	-0.2207628910496508	small	-0.4530234540279744	17969.0	8.035946273470878e-14	989.0	99	2.1420183171472095e-07	0.000999500249875	0.000999500249875	reference	True	2000	1000	set_D_clean	2.856024422862947e-07	0.0013839234229039	all 36 secondary set/output/comparator contrasts	True	1.377590789737865e-13	True
completeness	magicc_v5	deepcheck	362	99	4.442788422651934	5.846111714849819	-1.4033232921978858	-2.4440345685349327	-0.3625296157190613	-1.291469698486324	-2.000328939984126	-0.827408052825927	-1.4665917204589825	-2.2621077846618625	-0.7462800153015116	-0.2273282256341381	-0.328065143383995	-0.1306189502981264	small	-0.2837161164634796	23531.0	2.8956466126493206e-06	1483.0	99	0.0005354455654582	0.000999500249875	0.0019990004997501	reference	True	2000	1000	set_D_clean	0.0006646910467757	0.0026653339996668	all 36 secondary set/output/comparator contrasts	True	3.860862150199094e-06	True
