set	tool	original_n	eligible_n	eligible_n_refs	n_scored_eligible	n_unscored_eligible	common_n	common_n_refs	cocopye_stage1_entire_set
set_A_v2	magicc_v5	1000	1000	798	1000	0	1000	798	0
set_A_v2	checkm2	1000	1000	798	1000	0	1000	798	0
set_A_v2	cocopye	1000	1000	798	1000	0	1000	798	0
set_A_v2	deepcheck	1000	1000	798	1000	0	1000	798	0
set_B_v2	magicc_v5	1000	424	391	424	0	424	391	0
set_B_v2	checkm2	1000	424	391	424	0	424	391	0
set_B_v2	cocopye	1000	424	391	424	0	424	391	0
set_B_v2	deepcheck	1000	424	391	424	0	424	391	0
set_C_clean	magicc_v5	1000	388	100	388	0	388	100	0
set_C_clean	checkm2	1000	388	100	388	0	388	100	0
set_C_clean	cocopye	1000	388	100	388	0	388	100	0
set_C_clean	deepcheck	1000	388	100	388	0	388	100	0
set_D_clean	magicc_v5	1000	362	99	362	0	362	99	0
set_D_clean	checkm2	1000	362	99	362	0	362	99	0
set_D_clean	cocopye	1000	362	99	362	0	362	99	0
set_D_clean	deepcheck	1000	362	99	362	0	362	99	0
set_E	magicc_v5	1000	477	427	477	0	477	427	0
set_E	checkm2	1000	477	427	477	0	477	427	0
set_E	cocopye	1000	477	427	477	0	477	427	0
set_E	deepcheck	1000	477	427	477	0	477	427	0
