dataset	tool	n	n_true_clean	n_true_contaminated	false_fail_n	false_pass_n	false_fail_rate	false_pass_rate	balanced_accuracy
set_A_v2	magicc_v5	1000	1000	0	21	0	0.021		
set_A_v2	checkm2	1000	1000	0	0	0	0.0		
set_A_v2	cocopye	1000	1000	0	32	0	0.032		
set_A_v2	deepcheck	1000	1000	0	0	0	0.0		
set_B_v2	magicc_v5	1000	200	800	6	0	0.03	0.0	0.985
set_B_v2	checkm2	1000	200	800	0	59	0.0	0.07375	0.963125
set_B_v2	cocopye	1000	200	800	3	1	0.015	0.00125	0.991875
set_B_v2	deepcheck	1000	200	800	0	132	0.0	0.165	0.9175
set_C_clean	magicc_v5	1000	52	948	23	19	0.4423076923076923	0.020042194092827006	0.7688250567997403
set_C_clean	checkm2	1000	52	948	0	493	0.0	0.520042194092827	0.7399789029535865
set_C_clean	cocopye	1000	52	948	35	122	0.6730769230769231	0.12869198312236288	0.5991155469003571
set_C_clean	deepcheck	1000	52	948	0	663	0.0	0.6993670886075949	0.6503164556962026
set_D_clean	magicc_v5	1000	62	938	9	11	0.14516129032258066	0.011727078891257996	0.9215558153930807
set_D_clean	checkm2	1000	62	938	0	296	0.0	0.31556503198294245	0.8422174840085288
set_D_clean	cocopye	1000	62	938	9	60	0.14516129032258066	0.06396588486140725	0.8954364124080061
set_D_clean	deepcheck	1000	62	938	1	508	0.016129032258064516	0.5415778251599147	0.7211465712910103
set_E	magicc_v5	1000	252	748	9	14	0.03571428571428571	0.01871657754010695	0.9727845683728037
set_E	checkm2	1000	252	748	5	57	0.01984126984126984	0.07620320855614973	0.9519777608012903
set_E	cocopye	1000	252	748	15	11	0.05952380952380952	0.014705882352941176	0.9628851540616247
set_E	deepcheck	1000	252	748	1	104	0.003968253968253968	0.13903743315508021	0.9284971564383329
