cohort	tool	metric	n	n_species	mae	mae_ci_lo	mae_ci_hi	bias_pred_minus_target	bias_ci_lo	bias_ci_hi	target_definition	interval
primary_accession_overlap_screened	MAGICC V5	completeness	913	124	2.2251	1.5748	3.1516	1.7931	1.0863	2.7016	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
primary_accession_overlap_screened	MAGICC V5	contamination_upper_proxy	913	124	1.2694	0.9692	1.736	0.5391	0.095	0.9786	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
primary_accession_overlap_screened	CheckM2 1.0.1	completeness	913	124	2.7279	1.9509	3.924	1.822	0.7733	2.8559	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
primary_accession_overlap_screened	CheckM2 1.0.1	contamination_upper_proxy	913	124	1.4925	1.0867	1.8449	0.7153	0.1863	1.1336	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
primary_accession_overlap_screened	CoCoPyE 0.5.0	completeness	913	124	2.3573	1.6609	3.3263	2.0788	1.36	3.007	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
primary_accession_overlap_screened	CoCoPyE 0.5.0	contamination_upper_proxy	913	124	2.2289	1.2379	3.6906	1.3216	0.2478	2.8588	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
all_valid_pairs_sensitivity	MAGICC V5	completeness	1096	164	2.1028	1.5348	2.8944	1.7258	1.0757	2.5121	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
all_valid_pairs_sensitivity	MAGICC V5	contamination_upper_proxy	1096	164	1.2195	0.942	1.6332	0.4335	-0.0282	0.7935	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
all_valid_pairs_sensitivity	CheckM2 1.0.1	completeness	1096	164	2.5444	1.8303	3.6341	1.7717	0.7926	2.6871	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
all_valid_pairs_sensitivity	CheckM2 1.0.1	contamination_upper_proxy	1096	164	1.4401	1.069	1.7803	0.6073	0.0888	1.0031	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
all_valid_pairs_sensitivity	CoCoPyE 0.5.0	completeness	1096	164	2.2256	1.6126	3.0815	1.9783	1.3225	2.7601	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
all_valid_pairs_sensitivity	CoCoPyE 0.5.0	contamination_upper_proxy	1096	164	2.0738	1.2059	3.4254	1.1206	0.11	2.5255	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
species_absent_sensitivity	MAGICC V5	completeness	106	62	3.4219	2.0093	4.6185	1.7212	-0.4018	3.3164	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
species_absent_sensitivity	MAGICC V5	contamination_upper_proxy	106	62	2.4248	1.2722	4.3166	1.5213	0.0695	3.7815	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
species_absent_sensitivity	CheckM2 1.0.1	completeness	106	62	4.0643	1.9423	5.6495	3.1011	0.5592	4.8798	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
species_absent_sensitivity	CheckM2 1.0.1	contamination_upper_proxy	106	62	1.6497	0.9305	2.1653	0.2135	-0.8131	1.2659	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
species_absent_sensitivity	CoCoPyE 0.5.0	completeness	106	62	3.6137	1.6241	5.1366	3.4117	1.3007	5.0051	Aligned full-reference bp fraction	2000 species-cluster bootstrap resamples;95% percentile interval
species_absent_sensitivity	CoCoPyE 0.5.0	contamination_upper_proxy	106	62	1.5396	0.6408	2.8421	0.1665	-0.8398	1.7809	Unmatched draft bp / full matched reference bp; upper proxy, not verified foreign DNA	2000 species-cluster bootstrap resamples;95% percentile interval
