cohort	tool_a	tool_b	metric	n	n_species	mean_mae_difference_a_minus_b	ci_lo	ci_hi	interval_excludes_zero	interpretation
primary_accession_overlap_screened	MAGICC V5	CheckM2 1.0.1	completeness	913	124	-0.5029	-1.3239	-0.0627	True	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
primary_accession_overlap_screened	MAGICC V5	CheckM2 1.0.1	contamination_upper_proxy	913	124	-0.223	-0.5932	0.3007	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
primary_accession_overlap_screened	MAGICC V5	CoCoPyE 0.5.0	completeness	913	124	-0.1322	-0.4072	0.1009	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
primary_accession_overlap_screened	MAGICC V5	CoCoPyE 0.5.0	contamination_upper_proxy	913	124	-0.9595	-2.3799	0.0759	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
all_valid_pairs_sensitivity	MAGICC V5	CheckM2 1.0.1	completeness	1096	164	-0.4416	-1.1668	-0.0746	True	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
all_valid_pairs_sensitivity	MAGICC V5	CheckM2 1.0.1	contamination_upper_proxy	1096	164	-0.2206	-0.5853	0.2335	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
all_valid_pairs_sensitivity	MAGICC V5	CoCoPyE 0.5.0	completeness	1096	164	-0.1228	-0.3727	0.0585	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
all_valid_pairs_sensitivity	MAGICC V5	CoCoPyE 0.5.0	contamination_upper_proxy	1096	164	-0.8543	-2.1477	0.0665	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
species_absent_sensitivity	MAGICC V5	CheckM2 1.0.1	completeness	106	62	-0.6424	-1.9167	0.7659	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
species_absent_sensitivity	MAGICC V5	CheckM2 1.0.1	contamination_upper_proxy	106	62	0.7751	-0.3553	2.9149	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
species_absent_sensitivity	MAGICC V5	CoCoPyE 0.5.0	completeness	106	62	-0.1918	-1.2526	1.1507	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
species_absent_sensitivity	MAGICC V5	CoCoPyE 0.5.0	contamination_upper_proxy	106	62	0.8851	-0.8199	3.0695	False	Paired difference, resampling the same species clusters for both tools; negative favors tool_a. No winner designation based on a sample-level p-value.
