set	tool	metric	max_sufficient_stat_difference
set_A_v2	magicc_v5	completeness	2.7284841053187847e-12
set_B_v2	magicc_v5	completeness	9.094947017729282e-12
set_C_clean	magicc_v5	completeness	5.4569682106375694e-12
set_D_clean	magicc_v5	completeness	3.637978807091713e-12
set_E	magicc_v5	completeness	9.094947017729282e-12
set_A_v2	magicc_v5	contamination	1.0658141036401503e-14
set_B_v2	magicc_v5	contamination	2.2737367544323206e-12
set_C_clean	magicc_v5	contamination	3.183231456205249e-12
set_D_clean	magicc_v5	contamination	9.094947017729282e-13
set_E	magicc_v5	contamination	1.3642420526593924e-12
set_A_v2	checkm2	completeness	5.4569682106375694e-12
set_B_v2	checkm2	completeness	1.8189894035458565e-12
set_C_clean	checkm2	completeness	2.7284841053187847e-12
set_D_clean	checkm2	completeness	9.094947017729282e-12
set_E	checkm2	completeness	2.7284841053187847e-12
set_A_v2	checkm2	contamination	8.326672684688674e-17
set_B_v2	checkm2	contamination	4.547473508864641e-13
set_C_clean	checkm2	contamination	3.183231456205249e-12
set_D_clean	checkm2	contamination	9.094947017729282e-13
set_E	checkm2	contamination	1.5916157281026244e-12
set_A_v2	cocopye	completeness	4.547473508864641e-12
set_B_v2	cocopye	completeness	1.8189894035458565e-12
set_C_clean	cocopye	completeness	2.7284841053187847e-12
set_D_clean	cocopye	completeness	5.4569682106375694e-12
set_E	cocopye	completeness	5.4569682106375694e-12
set_A_v2	cocopye	contamination	7.105427357601002e-15
set_B_v2	cocopye	contamination	2.2737367544323206e-12
set_C_clean	cocopye	contamination	3.183231456205249e-12
set_D_clean	cocopye	contamination	1.1368683772161603e-12
set_E	cocopye	contamination	1.3642420526593924e-12
set_A_v2	deepcheck	completeness	5.4569682106375694e-12
set_B_v2	deepcheck	completeness	1.6370904631912708e-11
set_C_clean	deepcheck	completeness	1.7280399333685637e-11
set_D_clean	deepcheck	completeness	7.275957614183426e-12
set_E	deepcheck	completeness	1.8189894035458565e-12
set_A_v2	deepcheck	contamination	5.551115123125783e-16
set_B_v2	deepcheck	contamination	6.821210263296962e-13
set_C_clean	deepcheck	contamination	3.183231456205249e-12
set_D_clean	deepcheck	contamination	9.094947017729282e-13
set_E	deepcheck	contamination	1.5916157281026244e-12
