accession	n_sets	n_samples
GB_GCA_000008885.1	1	1
GB_GCA_000017485.1	1	1
GB_GCA_000063505.1	2	3
GB_GCA_000145985.1	3	13
GB_GCA_000184085.1	3	4
GB_GCA_000200715.1	4	14
GB_GCA_000238975.1	1	1
GB_GCA_000283975.1	1	1
GB_GCA_000298535.2	1	1
GB_GCA_000306725.1	1	3
GB_GCA_000427195.1	2	2
GB_GCA_000495675.1	1	10
GB_GCA_000597885.1	2	3
GB_GCA_000953475.1	2	3
GB_GCA_000972765.1	1	1
GB_GCA_001022195.1	2	2
GB_GCA_001029695.1	2	11
GB_GCA_001274575.1	2	3
GB_GCA_001430905.1	1	1
GB_GCA_001512965.1	1	10
GB_GCA_001560915.1	2	2
GB_GCA_001593225.1	2	2
GB_GCA_001777515.1	1	10
GB_GCA_001778095.1	1	10
GB_GCA_001779275.1	1	10
GB_GCA_001781415.1	1	10
GB_GCA_001783805.1	1	10
GB_GCA_001785375.1	1	10
GB_GCA_001786215.1	1	10
GB_GCA_001790385.1	1	10
GB_GCA_001791305.1	1	10
GB_GCA_001794215.1	1	10
GB_GCA_001819715.1	1	10
GB_GCA_001822065.1	1	10
GB_GCA_002073515.2	2	6
GB_GCA_002079245.1	1	1
GB_GCA_002234455.1	1	1
GB_GCA_002368095.1	1	1
GB_GCA_002396685.1	1	10
GB_GCA_002404315.1	1	10
GB_GCA_002434045.1	1	10
GB_GCA_002495365.1	1	10
GB_GCA_002499445.1	1	10
GB_GCA_002503585.1	1	10
GB_GCA_002777535.1	2	2
GB_GCA_002787695.1	1	10
GB_GCA_002838205.1	1	1
GB_GCA_002839645.1	1	10
GB_GCA_002844335.1	3	13
GB_GCA_002848525.1	3	3
GB_GCA_002983725.1	2	3
GB_GCA_003355195.1	1	2
GB_GCA_003484955.1	1	10
GB_GCA_003487225.1	1	10
GB_GCA_003504275.1	1	10
GB_GCA_003551845.1	1	10
GB_GCA_003812285.1	1	2
GB_GCA_003932755.1	2	3
GB_GCA_003990665.2	3	3
GB_GCA_004153345.1	1	1
GB_GCA_005239865.1	1	10
GB_GCA_005518075.1	1	2
GB_GCA_006402875.1	2	2
GB_GCA_007998145.1	2	2
GB_GCA_008026175.1	1	1
GB_GCA_008275065.1	1	1
GB_GCA_008704475.1	2	2
GB_GCA_009177165.1	2	2
GB_GCA_009661105.2	2	2
GB_GCA_009671145.1	2	2
GB_GCA_009738575.1	1	2
GB_GCA_009762495.1	1	2
GB_GCA_009994005.1	1	10
GB_GCA_011302515.1	2	4
GB_GCA_011996705.1	1	1
GB_GCA_013100845.1	2	11
GB_GCA_013306875.1	1	1
GB_GCA_013394345.1	1	1
GB_GCA_013403585.1	2	2
GB_GCA_013538795.1	1	10
GB_GCA_013704765.1	2	3
GB_GCA_014075315.1	2	11
GB_GCA_014169635.1	2	3
GB_GCA_014844795.1	2	2
GB_GCA_014844835.1	1	1
GB_GCA_015476255.1	1	1
GB_GCA_015520735.1	1	10
GB_GCA_015521735.1	1	10
GB_GCA_015663315.1	1	10
GB_GCA_016106165.1	1	10
GB_GCA_016181845.1	1	10
GB_GCA_016181965.1	1	10
GB_GCA_016186485.1	1	10
GB_GCA_016186495.1	1	10
GB_GCA_016195715.1	1	10
GB_GCA_016432465.1	2	11
GB_GCA_016700375.1	3	14
GB_GCA_016766715.1	2	2
GB_GCA_016772455.1	1	1
GB_GCA_016864335.2	1	1
GB_GCA_016872055.1	1	10
GB_GCA_016916535.1	2	3
GB_GCA_017406775.1	1	10
GB_GCA_017795105.1	2	4
GB_GCA_018141785.1	1	1
GB_GCA_018295965.1	2	2
GB_GCA_018399055.1	1	1
GB_GCA_018647845.1	1	10
GB_GCA_018649525.1	1	10
GB_GCA_018657425.1	1	10
GB_GCA_018816885.1	1	10
GB_GCA_019634005.1	1	10
GB_GCA_019670065.1	2	3
GB_GCA_019703815.1	2	3
GB_GCA_019856215.1	2	3
GB_GCA_020724865.1	1	10
GB_GCA_020724905.1	1	10
GB_GCA_020735665.1	3	3
GB_GCA_021383625.1	2	2
GB_GCA_021786945.1	1	10
GB_GCA_021815445.1	1	10
GB_GCA_021833765.1	1	10
GB_GCA_022014675.1	1	1
GB_GCA_022179705.1	2	3
GB_GCA_022227015.1	3	3
GB_GCA_022409555.1	2	5
GB_GCA_022678445.1	1	10
GB_GCA_022763365.1	1	10
GB_GCA_022846095.1	2	4
GB_GCA_023245035.1	1	10
GB_GCA_023267755.1	1	10
GB_GCA_023516295.1	2	2
GB_GCA_023898725.1	1	1
GB_GCA_023898765.1	1	1
GB_GCA_024397275.1	1	1
GB_GCA_025058735.1	1	10
GB_GCA_025561645.1	1	1
GB_GCA_025998875.1	1	1
GB_GCA_025999275.1	1	10
GB_GCA_026396275.1	1	10
GB_GCA_026396515.1	1	10
GB_GCA_026417895.1	1	10
GB_GCA_027064525.1	1	10
GB_GCA_027376345.1	1	10
GB_GCA_027382085.1	1	10
GB_GCA_027422835.1	1	10
GB_GCA_027627685.1	1	1
GB_GCA_028275705.1	1	10
GB_GCA_028710985.1	1	10
GB_GCA_028718865.1	1	10
GB_GCA_028865035.1	1	10
GB_GCA_028870835.1	1	10
GB_GCA_029258915.1	1	10
GB_GCA_029288615.1	1	10
GB_GCA_029448515.1	2	2
GB_GCA_029536975.1	1	1
GB_GCA_029623735.1	1	1
GB_GCA_029775915.1	1	10
GB_GCA_030054695.1	1	10
GB_GCA_030291175.1	1	1
GB_GCA_030316505.1	1	1
GB_GCA_030316565.1	1	1
GB_GCA_030531645.1	1	10
GB_GCA_030572375.1	2	2
GB_GCA_030572755.1	1	1
GB_GCA_030583765.1	1	1
GB_GCA_030583965.1	2	3
GB_GCA_030584065.1	1	2
GB_GCA_030616085.1	1	10
GB_GCA_030908285.1	2	2
GB_GCA_031953825.1	2	3
GB_GCA_031954205.1	3	4
GB_GCA_033576375.1	2	2
GB_GCA_035295325.1	2	2
GB_GCA_035360155.1	1	10
GB_GCA_035390125.1	1	10
GB_GCA_035445505.1	1	10
GB_GCA_035489575.1	1	10
GB_GCA_035690865.1	1	10
GB_GCA_036323135.1	1	1
GB_GCA_036388555.1	1	10
GB_GCA_036525555.1	1	10
GB_GCA_036783885.1	1	10
GB_GCA_037137935.1	1	10
GB_GCA_037142555.1	1	10
GB_GCA_037232885.1	2	2
GB_GCA_037316445.1	1	1
GB_GCA_037898875.1	3	5
GB_GCA_037899175.1	2	3
GB_GCA_038020165.1	1	1
GB_GCA_038064415.1	1	10
GB_GCA_038065715.1	1	10
GB_GCA_038087035.1	2	3
GB_GCA_038316195.1	1	10
GB_GCA_038400315.1	2	2
GB_GCA_038727015.1	1	10
GB_GCA_038827615.1	1	10
GB_GCA_038869635.1	1	10
GB_GCA_038872015.1	1	10
GB_GCA_038878695.1	1	10
GB_GCA_038888075.1	1	10
GB_GCA_038888595.1	1	10
GB_GCA_039516895.1	1	1
GB_GCA_039636865.1	2	2
GB_GCA_040776445.1	1	10
GB_GCA_040900375.1	1	10
GB_GCA_041394965.1	1	10
GB_GCA_041649435.1	1	10
GB_GCA_041650515.1	1	10
GB_GCA_041650715.1	1	10
GB_GCA_041650895.1	1	10
GB_GCA_041651535.1	1	10
GB_GCA_041660785.1	1	10
GB_GCA_041661005.1	1	10
GB_GCA_041661105.1	1	10
GB_GCA_041672285.1	1	10
GB_GCA_041674105.1	1	10
GB_GCA_041742395.1	1	10
GB_GCA_900104375.1	2	2
GB_GCA_900635495.1	1	1
GB_GCA_900635985.1	2	3
GB_GCA_900636155.1	1	1
GB_GCA_900636165.1	2	2
GB_GCA_900636245.1	2	2
GB_GCA_902167295.1	1	3
GB_GCA_902498835.1	1	1
GB_GCA_903829335.1	1	10
GB_GCA_903831805.1	1	10
GB_GCA_903837185.1	1	10
GB_GCA_903852245.1	1	10
GB_GCA_903895745.1	1	10
GB_GCA_904863165.1	3	3
GB_GCA_905142485.1	1	1
GB_GCA_905219325.2	2	2
GB_GCA_905329655.2	2	2
GB_GCA_905335505.2	1	1
GB_GCA_905478415.1	1	10
GB_GCA_937929825.1	1	10
GB_GCA_938030095.1	1	10
GB_GCA_938036615.1	1	10
GB_GCA_943354835.1	1	10
GB_GCA_943356865.1	1	10
GB_GCA_946406315.1	1	10
GB_GCA_947084965.1	1	10
GB_GCA_948772475.1	1	10
GB_GCA_948780445.1	1	10
GB_GCA_951812655.1	2	2
GB_GCA_951812745.1	2	3
GB_GCA_951813605.1	2	3
GB_GCA_958422285.1	1	10
GB_GCA_958427865.1	1	10
GB_GCA_963521755.1	1	10
GB_GCA_963619335.1	1	10
GB_GCA_963623365.1	1	10
GB_GCA_963636795.1	1	10
GB_GCA_963662275.1	1	2
GB_GCA_963662315.1	3	3
GB_GCA_963663615.1	2	3
GB_GCA_963663985.1	2	2
GB_GCA_963664305.1	1	1
GB_GCA_963665795.1	1	2
GB_GCA_963665885.1	2	4
GB_GCA_963669335.1	1	2
GB_GCA_963674695.1	1	2
GB_GCA_963674955.1	2	2
GB_GCA_963676185.1	2	5
GB_GCA_963677495.1	1	1
GB_GCA_963677855.1	1	1
GB_GCA_963678145.1	2	2
GB_GCA_963678375.1	2	2
GB_GCA_963678585.1	2	2
GB_GCA_963678775.1	2	3
GB_GCA_963681965.1	1	1
GB_GCA_963693005.1	1	1
GB_GCA_963693065.1	1	1
GB_GCA_963978955.1	1	10
GB_GCA_963980945.1	1	10
GB_GCA_963997705.1	1	10
RS_GCF_000006965.1	1	1
RS_GCF_000006985.1	2	2
RS_GCF_000007905.1	2	4
RS_GCF_000009665.1	1	2
RS_GCF_000010445.1	1	2
RS_GCF_000010665.1	1	1
RS_GCF_000011725.1	3	4
RS_GCF_000013225.1	2	4
RS_GCF_000014405.1	2	3
RS_GCF_000014585.1	1	2
RS_GCF_000014605.1	1	1
RS_GCF_000015125.1	2	3
RS_GCF_000015345.1	2	2
RS_GCF_000015685.1	2	2
RS_GCF_000017505.1	2	2
RS_GCF_000017885.4	2	3
RS_GCF_000018465.1	1	10
RS_GCF_000018605.1	3	3
RS_GCF_000018905.1	2	2
RS_GCF_000019785.1	2	4
RS_GCF_000021185.1	2	2
RS_GCF_000022385.1	2	11
RS_GCF_000022885.2	2	3
RS_GCF_000023445.1	1	2
RS_GCF_000023625.1	1	1
RS_GCF_000023905.1	2	3
RS_GCF_000023945.1	2	12
RS_GCF_000024305.1	1	10
RS_GCF_000024365.1	1	1
RS_GCF_000024905.1	2	4
RS_GCF_000026005.1	2	2
RS_GCF_000027325.1	2	2
RS_GCF_000046705.1	2	2
RS_GCF_000056065.1	2	3
RS_GCF_000063545.1	2	2
RS_GCF_000085865.1	3	4
RS_GCF_000092525.1	2	2
RS_GCF_000092565.1	3	5
RS_GCF_000092745.1	1	1
RS_GCF_000145235.1	3	4
RS_GCF_000160335.2	1	1
RS_GCF_000164155.2	1	1
RS_GCF_000164395.1	2	2
RS_GCF_000169195.2	1	1
RS_GCF_000179535.2	2	2
RS_GCF_000183345.1	1	2
RS_GCF_000187935.1	2	2
RS_GCF_000190075.1	1	10
RS_GCF_000190135.1	1	10
RS_GCF_000190315.1	3	12
RS_GCF_000190635.1	2	3
RS_GCF_000190735.1	1	1
RS_GCF_000191425.1	2	2
RS_GCF_000192335.1	2	2
RS_GCF_000196675.2	1	1
RS_GCF_000210855.2	1	2
RS_GCF_000211475.1	3	13
RS_GCF_000212395.1	1	1
RS_GCF_000213865.1	2	4
RS_GCF_000219375.1	1	1
RS_GCF_000222975.1	2	4
RS_GCF_000223905.1	1	10
RS_GCF_000224745.1	2	2
RS_GCF_000225265.1	2	2
RS_GCF_000226275.2	2	4
RS_GCF_000233695.2	1	1
RS_GCF_000234745.1	2	3
RS_GCF_000239235.1	1	1
RS_GCF_000242775.1	1	1
RS_GCF_000243255.1	1	10
RS_GCF_000243395.2	2	3
RS_GCF_000245255.1	1	10
RS_GCF_000245275.1	2	11
RS_GCF_000251105.1	2	2
RS_GCF_000262165.1	2	2
RS_GCF_000265525.1	2	13
RS_GCF_000277285.1	2	3
RS_GCF_000280925.3	2	3
RS_GCF_000285655.3	1	1
RS_GCF_000292795.1	1	2
RS_GCF_000292915.1	2	3
RS_GCF_000298475.2	2	2
RS_GCF_000307105.1	2	2
RS_GCF_000307795.1	1	1
RS_GCF_000316575.1	1	1
RS_GCF_000316645.1	2	3
RS_GCF_000317045.1	2	2
RS_GCF_000317495.1	1	1
RS_GCF_000317615.1	2	3
RS_GCF_000318565.1	1	1
RS_GCF_000318765.1	1	2
RS_GCF_000318905.1	1	1
RS_GCF_000318925.1	1	1
RS_GCF_000319005.1	2	2
RS_GCF_000328665.1	2	11
RS_GCF_000337195.1	1	10
RS_GCF_000337875.1	1	10
RS_GCF_000339015.1	3	5
RS_GCF_000340565.2	2	2
RS_GCF_000340705.1	2	2
RS_GCF_000355695.1	2	2
RS_GCF_000400935.1	2	3
RS_GCF_000403665.1	1	1
RS_GCF_000441635.1	1	1
RS_GCF_000445695.1	1	2
RS_GCF_000463015.1	2	2
RS_GCF_000468915.2	1	1
RS_GCF_000470765.1	2	2
RS_GCF_000470885.1	1	1
RS_GCF_000499665.2	1	1
RS_GCF_000504105.1	2	3
RS_GCF_000505685.1	2	3
RS_GCF_000508025.1	3	4
RS_GCF_000582665.1	1	1
RS_GCF_000590735.1	2	4
RS_GCF_000600125.1	1	1
RS_GCF_000600225.1	1	1
RS_GCF_000626195.1	1	1
RS_GCF_000626355.1	2	2
RS_GCF_000626615.2	2	2
RS_GCF_000695855.3	1	1
RS_GCF_000695975.1	1	1
RS_GCF_000730345.1	1	1
RS_GCF_000734035.1	1	10
RS_GCF_000736435.1	1	2
RS_GCF_000737885.1	1	1
RS_GCF_000740335.1	2	3
RS_GCF_000755785.1	1	1
RS_GCF_000772025.1	2	2
RS_GCF_000772145.1	2	2
RS_GCF_000785005.1	3	3
RS_GCF_000789395.1	2	2
RS_GCF_000816185.1	2	3
RS_GCF_000816225.1	2	4
RS_GCF_000827065.1	2	3
RS_GCF_000834495.1	1	1
RS_GCF_000875755.1	2	2
RS_GCF_000935025.1	2	2
RS_GCF_000956315.1	1	1
RS_GCF_000961375.1	1	1
RS_GCF_000969985.1	1	2
RS_GCF_000972245.3	1	2
RS_GCF_000973085.1	2	3
RS_GCF_000973485.1	1	1
RS_GCF_000973545.1	2	3
RS_GCF_000981545.1	1	1
RS_GCF_000982695.1	1	1
RS_GCF_000987875.1	2	4
RS_GCF_000993785.3	1	1
RS_GCF_001014305.1	1	1
RS_GCF_001019495.2	2	2
RS_GCF_001022235.1	2	2
RS_GCF_001025195.1	1	2
RS_GCF_001027025.1	1	2
RS_GCF_001042405.1	2	2
RS_GCF_001173525.2	1	1
RS_GCF_001188715.1	2	2
RS_GCF_001190825.1	3	5
RS_GCF_001191005.1	1	1
RS_GCF_001272915.1	3	5
RS_GCF_001277295.1	2	4
RS_GCF_001278015.1	1	2
RS_GCF_001280425.1	1	10
RS_GCF_001296125.1	1	1
RS_GCF_001305655.1	3	12
RS_GCF_001307155.1	1	3
RS_GCF_001307565.1	1	1
RS_GCF_001307805.1	1	1
RS_GCF_001314975.1	1	1
RS_GCF_001433455.1	2	2
RS_GCF_001433515.1	1	1
RS_GCF_001456295.2	1	1
RS_GCF_001506265.1	1	2
RS_GCF_001507065.1	1	1
RS_GCF_001509195.1	2	2
