dataset	binset	cohort	tool	n_prediction_rows	n_scored	n_unscored	original_common_n	corrected_common_n
marine	gold	all_prediction_rows_microbial_scope	CheckM2	651	651	0	651	651
marine	gold	all_prediction_rows_microbial_scope	CoCoPyE	651	651	0	651	651
marine	gold	all_prediction_rows_microbial_scope	DeepCheck	651	651	0	651	651
marine	gold	all_prediction_rows_microbial_scope	MAGICC_V5	3785	3785	0	651	651
marine	gold	primary_in_domain_scoreable_training_overlap_screened	CheckM2	339	339	0	339	339
marine	gold	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	339	339	0	339	339
marine	gold	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	339	339	0	339	339
marine	gold	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	1571	1571	0	339	339
marine	mixed	all_prediction_rows_microbial_scope	CheckM2	1995	1995	0	1995	1995
marine	mixed	all_prediction_rows_microbial_scope	CoCoPyE	1995	1995	0	1995	1995
marine	mixed	all_prediction_rows_microbial_scope	DeepCheck	1995	1995	0	1995	1995
marine	mixed	all_prediction_rows_microbial_scope	MAGICC_V5	1995	1995	0	1995	1995
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	CheckM2	864	864	0	864	864
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	864	864	0	864	864
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	864	864	0	864	864
marine	mixed	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	864	864	0	864	864
strain_madness	gold	all_prediction_rows_microbial_scope	CheckM2	800	800	0	800	800
strain_madness	gold	all_prediction_rows_microbial_scope	CoCoPyE	800	800	0	800	800
strain_madness	gold	all_prediction_rows_microbial_scope	DeepCheck	800	800	0	800	800
strain_madness	gold	all_prediction_rows_microbial_scope	MAGICC_V5	1564	1564	0	800	800
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	CheckM2	700	700	0	700	700
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	700	700	0	700	700
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	700	700	0	700	700
strain_madness	gold	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	1107	1107	0	700	700
strain_madness	mixed	all_prediction_rows_microbial_scope	CheckM2	2250	2250	0	2250	2250
strain_madness	mixed	all_prediction_rows_microbial_scope	CoCoPyE	2250	2250	0	2250	2250
strain_madness	mixed	all_prediction_rows_microbial_scope	DeepCheck	2250	2250	0	2250	2250
strain_madness	mixed	all_prediction_rows_microbial_scope	MAGICC_V5	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	CheckM2	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	CoCoPyE	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	DeepCheck	2250	2250	0	2250	2250
strain_madness	mixed	primary_in_domain_scoreable_training_overlap_screened	MAGICC_V5	2250	2250	0	2250	2250
