tool	group	group_description	n	n_clusters	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_rmse_ci_lo	comp_rmse_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_rmse_ci_lo	cont_rmse_ci_hi	comp_true_sd	comp_r2_cod	cont_true_sd	cont_r2_cod
magicc_v5	H_pass	references that WOULD HAVE PASSED the CheckM2-based curation filter	2000	200	5.5373	5.1095	5.9545	3.2636	2.7103	3.8487	8.0071	7.3781	8.601	5.6262	5.228	6.0337	-1.7951	-2.4511	-1.0606	8.1149	7.475	8.7421	14.2575	0.6846	24.3886	0.8893
magicc_v5	H_fail	references that WOULD HAVE FAILED it	2000	200	6.3054	5.76	6.871	3.2356	2.4805	4.0152	9.0873	8.3076	9.8426	6.4486	5.8935	7.0732	-1.4064	-2.2797	-0.4819	9.51	8.5511	10.5659	14.2046	0.5907	24.4548	0.8488
magicc_v5	H_fail:mild	"CheckM2-deficit severity stratum ""mild"""	870	87	6.5366	5.7668	7.346	3.9069	2.7369	5.0696	9.1597	8.0137	10.2445	6.295	5.5751	7.1936	-1.5075	-2.7965	-0.1611	9.2393	7.9326	10.7993	14.3134	0.5905	24.3988	0.8566
magicc_v5	H_pass:matched_to_mild	"CheckM2-deficit severity stratum ""mild"""	870	87	5.9841	5.3498	6.68	3.7586	2.8751	4.6069	8.3883	7.4717	9.3564	5.4753	4.8988	6.0897	-1.0991	-2.0299	-0.1335	7.7554	6.9099	8.5939	14.4244	0.6618	24.1556	0.8969
magicc_v5	H_fail:moderate	"CheckM2-deficit severity stratum ""moderate"""	670	67	6.5836	5.5964	7.7145	3.3902	1.9352	4.9086	9.5716	8.2006	11.0066	6.7197	5.7414	7.9077	-0.4783	-1.9333	1.347	9.989	8.4135	11.8332	14.4497	0.5612	24.4857	0.8336
magicc_v5	H_pass:matched_to_moderate	"CheckM2-deficit severity stratum ""moderate"""	670	67	5.597	4.8891	6.4035	2.8695	1.8054	3.9409	8.2334	7.2468	9.3031	6.1731	5.418	7.066	-1.9658	-3.2485	-0.5112	8.9853	7.7166	10.3695	14.4488	0.6753	24.6932	0.8676
magicc_v5	H_fail:severe	"CheckM2-deficit severity stratum ""severe"""	460	46	5.4631	4.4035	6.6603	1.7408	0.2415	3.2611	8.1805	6.5141	9.7857	6.3442	5.1491	7.8249	-2.5672	-4.2434	-0.5974	9.297	7.204	11.3969	13.6067	0.6385	24.4259	0.8551
magicc_v5	H_pass:matched_to_severe	"CheckM2-deficit severity stratum ""severe"""	460	46	4.6055	3.9481	5.3515	2.9012	2.0325	3.8458	6.8515	5.8874	7.9223	5.115	4.538	5.7144	-2.8628	-3.8278	-1.7397	7.4136	6.6039	8.2329	13.5777	0.7454	24.3277	0.9071
checkm2	H_pass	references that WOULD HAVE PASSED the CheckM2-based curation filter	2000	200	13.8873	13.1148	14.6523	12.8071	11.7543	13.788	17.5536	16.7723	18.3311	23.135	21.8169	24.5052	-20.6151	-22.4269	-18.8347	29.5084	27.998	31.0484	14.2575	-0.5158	24.3886	-0.4639
checkm2	H_fail	references that WOULD HAVE FAILED it	2000	200	13.9443	13.2222	14.6952	10.626	9.4174	11.9381	17.4384	16.6864	18.1745	23.3533	21.984	24.7133	-20.4714	-22.3796	-18.5558	29.3976	27.9462	30.7754	14.2046	-0.5072	24.4548	-0.4451
checkm2	H_fail:mild	"CheckM2-deficit severity stratum ""mild"""	870	87	15.1615	13.9534	16.3409	13.3377	11.4251	15.1198	18.665	17.4777	19.7614	22.9014	20.9172	24.9528	-20.0071	-22.7849	-17.2055	29.0561	26.8069	31.1868	14.3134	-0.7005	24.3988	-0.4182
checkm2	H_pass:matched_to_mild	"CheckM2-deficit severity stratum ""mild"""	870	87	15.0125	13.9041	16.1997	13.7338	12.1032	15.3494	18.6808	17.5521	19.8312	22.3659	20.496	24.4005	-19.6129	-22.2832	-16.9015	28.3363	26.2329	30.4668	14.4244	-0.6772	24.1556	-0.3761
checkm2	H_fail:moderate	"CheckM2-deficit severity stratum ""moderate"""	670	67	13.5297	12.2173	14.815	10.5839	8.3768	12.7577	17.0584	15.6637	18.4134	22.7737	20.4395	25.1147	-18.6215	-22.1309	-14.973	29.0425	26.5407	31.4596	14.4497	-0.3937	24.4857	-0.4068
checkm2	H_pass:matched_to_moderate	"CheckM2-deficit severity stratum ""moderate"""	670	67	12.9118	11.6328	14.1565	11.476	9.6543	13.1719	16.6691	15.3569	17.8658	23.1111	20.7935	25.6194	-19.8725	-23.3093	-16.3238	30.6151	27.5513	33.8458	14.4488	-0.3309	24.6932	-0.5371
checkm2	H_fail:severe	"CheckM2-deficit severity stratum ""severe"""	460	46	12.2461	11.0361	13.5012	5.5585	3.2304	7.8945	15.4736	14.0771	16.8465	25.0523	22.621	27.5424	-24.044	-26.855	-21.1494	30.5321	28.2063	32.8336	13.6067	-0.2932	24.4259	-0.5625
checkm2	H_pass:matched_to_severe	"CheckM2-deficit severity stratum ""severe"""	460	46	13.1803	11.7539	14.6079	12.993	11.5106	14.4632	16.5824	15.1889	17.8852	24.6245	22.0597	27.0083	-23.5922	-26.3871	-20.5481	30.0343	27.6188	32.1867	13.5777	-0.4916	24.3277	-0.5242
cocopye	H_pass	references that WOULD HAVE PASSED the CheckM2-based curation filter	2000	200	7.4945	7.019	7.974	5.4045	4.714	6.0573	10.3721	9.7084	11.022	16.0505	15.1251	17.1448	-7.9941	-9.7623	-5.9762	22.2627	20.4075	24.4264	14.2575	0.4708	24.3886	0.1667
cocopye	H_fail	references that WOULD HAVE FAILED it	2000	200	8.3948	7.935	8.8499	5.759	4.883	6.5634	11.1963	10.6122	11.7686	16.9685	15.7631	18.2318	-1.1194	-3.4078	1.2334	24.0842	21.6924	26.5436	14.2046	0.3787	24.4548	0.0301
cocopye	H_fail:mild	"CheckM2-deficit severity stratum ""mild"""	870	87	8.6369	7.9296	9.3351	5.6851	4.3269	6.9336	11.4612	10.6032	12.2653	16.1416	14.7911	17.6771	-5.2732	-7.9636	-2.1941	22.1252	19.9078	24.7323	14.3134	0.3588	24.3988	0.1777
cocopye	H_pass:matched_to_mild	"CheckM2-deficit severity stratum ""mild"""	870	87	8.0829	7.4053	8.8148	5.6108	4.3592	6.6791	10.9128	10.0416	11.8793	16.2362	14.6417	18.0422	-6.3819	-9.3033	-3.1922	22.4524	19.5348	26.0671	14.4244	0.4276	24.1556	0.136
cocopye	H_fail:moderate	"CheckM2-deficit severity stratum ""moderate"""	670	67	8.4479	7.547	9.3628	5.9636	4.4805	7.3731	11.4878	10.3669	12.5856	17.2618	15.0924	19.6372	-0.7819	-4.8276	3.3426	26.1274	21.0741	31.6472	14.4497	0.3679	24.4857	-0.1386
cocopye	H_pass:matched_to_moderate	"CheckM2-deficit severity stratum ""moderate"""	670	67	7.4543	6.5018	8.394	5.2097	3.8579	6.4281	10.6502	9.3599	11.9192	16.5036	14.8741	18.2974	-6.5803	-9.8201	-3.179	23.8479	20.6151	27.7482	14.4488	0.4567	24.6932	0.0673
cocopye	H_fail:severe	"CheckM2-deficit severity stratum ""severe"""	460	46	7.8598	7.1416	8.6002	5.6007	4.2394	6.7756	10.2164	9.1706	11.2594	18.1054	15.1614	21.6135	6.2451	1.3851	11.6784	24.532	19.7958	29.6982	13.6067	0.4362	24.4259	-0.0087
cocopye	H_pass:matched_to_severe	"CheckM2-deficit severity stratum ""severe"""	460	46	6.4404	5.6532	7.2741	5.2979	4.4341	6.2013	8.7921	7.7915	9.7962	15.0397	13.6137	16.474	-13.1023	-15.1978	-10.9318	19.3163	17.8999	20.6858	13.5777	0.5807	24.3277	0.3696
