set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	accuracy	accuracy_ci_lo	accuracy_ci_hi	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	macro_f1_observed	macro_f1_observed_ci_lo	macro_f1_observed_ci_hi	micro_f1	micro_f1_ci_lo	micro_f1_ci_hi	weighted_f1	weighted_f1_ci_lo	weighted_f1_ci_hi	macro_precision	macro_precision_ci_lo	macro_precision_ci_hi	macro_recall	macro_recall_ci_lo	macro_recall_ci_hi	macro_precision_observed	macro_precision_observed_ci_lo	macro_precision_observed_ci_hi	macro_recall_observed	macro_recall_observed_ci_lo	macro_recall_observed_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	cohen_kappa	cohen_kappa_ci_lo	cohen_kappa_ci_hi	class_balance_true	n_classes_observed	classes_absent_in_truth
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	0.955	0.9411156989728225	0.9685070248571869	0.6328182842427168	0.6224768263485305	0.6425996990608662	0.9492274263640752	0.9337152395227957	0.9638995485912993	0.955	0.9411156989728225	0.9685070248571869	0.960184065668759	0.9477336508389631	0.972077612868021	0.637730620955528	0.6266044987499346	0.6475890724114055	0.628012651132997	0.6151408775951578	0.6400193461838244	0.956595931433292	0.9399067481249018	0.9713836086171082	0.9420189766994955	0.9227113163927366	0.9600290192757365	0.9420189766994955	0.9227113163927366	0.9600290192757365	0.8887449440757919	0.8545021839871674	0.9204317533854187	"{""high"": 276, ""medium"": 724, ""low"": 0}"	2	low
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	798	True	0.917	0.8984346079096742	0.934961000371425	0.5995929664604364	0.5843168875443235	0.6142318102940008	0.8993894496906546	0.8764753313164854	0.921347715441001	0.917	0.8984346079096742	0.934961000371425	0.924484597850863	0.9055701420752476	0.9419299752698358	0.6270437103770438	0.6149950005096017	0.6384291657154569	0.5791296340779887	0.5607306941629632	0.5974430006252203	0.9405655655655656	0.9224925007644025	0.9576437485731855	0.868694451116983	0.8410960412444449	0.8961645009378304	0.868694451116983	0.8410960412444449	0.8961645009378304	0.7879320564969443	0.7429420778387265	0.8307065247055473	"{""high"": 276, ""medium"": 724, ""low"": 0}"	2	low
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	798	True	0.965	0.9533723618757849	0.9760962121662603	0.6400979529471149	0.6308481336846676	0.6485878147238854	0.9601469294206724	0.9462722005270015	0.9728817220858282	0.965	0.9533723618757849	0.9760962121662603	0.9681549511940573	0.9570764516419134	0.978430165814859	0.6473420848774155	0.6387384425674241	0.6549886079708591	0.6333640270104358	0.6223547970180395	0.644209136249414	0.9710131273161233	0.9581076638511361	0.9824829119562887	0.9500460405156538	0.9335321955270593	0.966313704374121	0.9500460405156538	0.9335321955270593	0.966313704374121	0.9120594176825897	0.8843711694610465	0.9394302557418844	"{""high"": 276, ""medium"": 724, ""low"": 0}"	2	low
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	0.943	0.9278541752149205	0.9564358398308445	0.6328344024708957	0.6222418172612343	0.6415118729672281	0.9492516037063435	0.9333627258918515	0.9622678094508421	0.943	0.9278541752149205	0.9564358398308445	0.9537858873841767	0.9411073616709787	0.9651418314615772	0.6313911697147914	0.6187060743243139	0.6419798709782786	0.6359396268716471	0.6269799252633019	0.6438876730437144	0.947086754572187	0.9280591114864709	0.9629698064674179	0.9539094403074706	0.940469887894953	0.9658315095655716	0.9539094403074706	0.940469887894953	0.9658315095655716	0.8661594815440968	0.8290040921909637	0.8975861399557459	"{""high"": 276, ""medium"": 724, ""low"": 0}"	2	low
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	0.891	0.8704182671594061	0.9097291875626881	0.6124442588412142	0.5998060014391707	0.6239123493441563	0.9186663882618213	0.8997090021587562	0.9358685240162344	0.891	0.8704182671594061	0.9097291875626881	0.9235453858993199	0.9072286492781566	0.9381402445773186	0.6287430225765375	0.6159619991977364	0.6403753567870406	0.5977993968025196	0.5826168981284572	0.6118470806254354	0.9431145338648061	0.9239429987966046	0.9605630351805609	0.8966990952037793	0.8739253471926858	0.917770620938153	0.8966990952037793	0.8739253471926858	0.917770620938153	0.7581947574848705	0.7162776236004177	0.7982169629648675	"{""high"": 276, ""medium"": 724, ""low"": 0}"	2	low
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	0.936	0.9203266606709016	0.9503479264589445	0.6300099814771594	0.6198400051015385	0.6389723346438645	0.945014972215739	0.9297600076523078	0.9584585019657966	0.936	0.9203266606709016	0.9503479264589445	0.9491095827146638	0.9361513771045945	0.960957544875566	0.6293604651162791	0.6173480175786978	0.6400081494954413	0.6327167907758828	0.623953205682134	0.6408078399526054	0.9440406976744187	0.9260220263680468	0.9600122242431619	0.9490751861638242	0.935929808523201	0.9612117599289081	0.9490751861638242	0.935929808523201	0.9612117599289081	0.8512997332688966	0.8165306755475632	0.884517966693677	"{""high"": 276, ""medium"": 724, ""low"": 0}"	2	low
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	0.989	0.9821419696109059	0.9949494949494949	0.7782894612162905	0.6544876115339425	0.8968269266672735	0.7782894612162905	0.6544876115339425	0.8968269266672735	0.989	0.9821419696109059	0.9949494949494949	0.9911037580305873	0.9854984083978797	0.9958178561964879	0.7390761548064919	0.6641975308641975	0.850186798267604	0.9829156223893065	0.6449087303478045	0.9917900784956772	0.7390761548064919	0.6641975308641975	0.850186798267604	0.9829156223893065	0.6449087303478045	0.9917900784956772	0.9829156223893065	0.9669088635377164	0.9918179959514299	0.9659214830970556	0.9450282196124243	0.9836707818032515	"{""high"": 200, ""medium"": 2, ""low"": 798}"	3	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	803	True	0.95	0.9368718834202554	0.962664916710068	0.6343284198356662	0.6074321604660831	0.6750551295985512	0.6343284198356662	0.6074321604660831	0.6750551295985512	0.95	0.9368718834202554	0.962664916710068	0.9632432057475535	0.9521564765436445	0.9735275262043558	0.669928549238894	0.6584554699312295	0.6907409844759564	0.7516666666666666	0.571423483923484	0.9311635168596606	0.669928549238894	0.6584554699312295	0.6907409844759564	0.7516666666666666	0.571423483923484	0.9311635168596606	0.7516666666666666	0.5734582831978652	0.9311635168596606	0.8445998445998444	0.8078838597231125	0.8801153955950942	"{""high"": 200, ""medium"": 2, ""low"": 798}"	3	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	803	True	0.99	0.9836396631732296	0.9959919839679359	0.761801088894685	0.6568445912191876	0.8700886235152686	0.761801088894685	0.6568445912191876	0.8700886235152686	0.99	0.9836396631732296	0.9959919839679359	0.9930328115234521	0.9890666790005638	0.9970470721828535	0.7268544922246303	0.6658404846893168	0.8177760753603451	0.9858312447786132	0.6481453857380444	0.9942146323576696	0.7268544922246303	0.6658404846893168	0.8177760753603451	0.9858312447786132	0.6481453857380444	0.9942146323576696	0.9858312447786132	0.9714746082883262	0.9942146323576696	0.969284827933606	0.9495143810080876	0.9872179300359666	"{""high"": 200, ""medium"": 2, ""low"": 798}"	3	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	0.852	0.8299147628182769	0.8748799261083744	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.852	0.8299147628182769	0.8748799261083744	0.892140736047545	0.874918270646324	0.9097370620448642	0.5963598939829696	0.5786864931846344	0.6141144142107018	0.7719298245614036	0.5984740531359993	0.9447267766244034	0.5963598939829696	0.5786864931846344	0.6141144142107018	0.7719298245614036	0.5984740531359993	0.9447267766244034	0.7719298245614036	0.5993388031492121	0.9447267766244034	0.6549457005768002	0.609256736010961	0.7011161996843353	"{""high"": 200, ""medium"": 2, ""low"": 798}"	3	
