set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	criterion	threshold	pass_rule	n_true_pass	n_true_fail	n_pred_pass	n_pred_fail	n_false_pass	n_false_fail	npv_pass	accuracy	balanced_accuracy	n_ties_true_at_tau	n_ties_pred_at_tau	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	ppv_fail	ppv_fail_ci_lo	ppv_fail_ci_hi	npv_pass_ci_lo	npv_pass_ci_hi	accuracy_ci_lo	accuracy_ci_hi	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	boot_clustered	boot_n_clusters
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0		0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0			True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0		0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0			True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0		0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0			True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	978	22	0	22	1.0	0.978		0	0				0.022	0.0132248219735503	0.0310636835920837				0.978	0.9689363164079162	0.9867751780264497	0.0	0.0	0.0	1.0	1.0	0.9689363164079162	0.9867751780264497			True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	948	52	0	52	1.0	0.948		0	0				0.052	0.039038063063063	0.0654773905529953				0.948	0.9345226094470046	0.9609619369369368	0.0	0.0	0.0	1.0	1.0	0.9345226094470046	0.9609619369369368			True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	973	27	0	27	1.0	0.973		0	0				0.027	0.0177501701837985	0.0373657178361554				0.973	0.9626342821638444	0.9822498298162016	0.0	0.0	0.0	1.0	1.0	0.9626342821638444	0.9822498298162016			True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	completeness	90.0	completeness >= 90%	276	724	273	727	17	20	0.9377289377289376	0.963	0.9520277844503162	0	0	0.0234806629834254	0.0136607362512021	0.035063728746832	0.072463768115942	0.0431647623078008	0.1060686653771759	0.9765193370165746	0.964936271253168	0.986339263748798	0.927536231884058	0.893931334622824	0.9568352376921992	0.9724896836313618	0.9591836734693876	0.983651226158038	0.9078486190787404	0.9637681159420288	0.950253807106599	0.9746475915340012	0.9344091729056048	0.9680932240834704	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	798	True	completeness	90.0	completeness >= 90%	276	724	256	744	14	34	0.9453125	0.952	0.9287372888141564	0	0	0.0193370165745856	0.0098142770403046	0.0296120224404674	0.1231884057971014	0.0861393016793524	0.1648754951895868	0.9806629834254144	0.9703879775595324	0.9901857229596954	0.8768115942028986	0.8351245048104131	0.9138606983206476	0.9543010752688172	0.9377570871144396	0.969087058887205	0.9166666666666666	0.971547595536684	0.9378039212570588	0.9650927095510184	0.907322298194228	0.9481636518691569	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	798	True	completeness	90.0	completeness >= 90%	276	724	271	729	8	13	0.970479704797048	0.979	0.9709244134838658	0	0	0.011049723756906	0.0040702808995984	0.0195537562995663	0.0471014492753623	0.0240418435415403	0.0724150424787606	0.988950276243094	0.9804462437004337	0.9959297191004016	0.9528985507246376	0.9275849575212394	0.9759581564584596	0.9821673525377228	0.972104046581034	0.99091802302501	0.9488802168498904	0.9891304347826086	0.969848487912399	0.987730374678055	0.95798357117598	0.9830927082301336	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	completeness	90.0	completeness >= 90%	276	724	299	701	29	6	0.903010033444816	0.965	0.9691028104732164	0	0	0.0400552486187845	0.0269867249871233	0.0546247938427707	0.0217391304347826	0.0069686411149825	0.0405417871746284	0.9599447513812156	0.9453752061572293	0.9730132750128766	0.9782608695652174	0.9594582128253716	0.9930313588850174	0.9914407988587732	0.9841034711359092	0.9971911097278472	0.8668828019075226	0.9342116645419778	0.9528466003889784	0.9753214376809562	0.9566469740004088	0.9795933870402528	True	798
