set	set_label	status	tier	stratum_kind	stratum	tool	tool_label	tool_role	metric	n	n_clusters	small_n_flag	mean_signed_error	mean_ci_lo	mean_ci_hi	median_signed_error	median_ci_lo	median_ci_hi	hodges_lehmann_signed_error	sd_signed_error	iqr_signed_error	q05	q25	q75	q95	min	max	mae	frac_within_1pp	frac_within_5pp	frac_within_10pp	frac_overestimated	frac_underestimated	bias_direction	mean_ci_excludes_zero	p_wilcoxon_zero_bias_two_sided	p_cluster_bootstrap_zero_mean_bias	note
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	33	25	False	-3.0560809433723777	-7.506081455461476	0.20939584380481852	-0.11356999999999573	-1.7392960043018424	1.2629900543740007	-0.5060252675238779	8.953402385788953	4.571091322370506	-26.934303999999994	-2.908359071543998	1.662732250826508	3.6588924941439975	-29.974059999999994	5.345142316578304	4.7983952635743865	0.30303030303030304	0.8181818181818182	0.8787878787878788	0.36363636363636365	0.6363636363636364	under	False	0.2347410948398	0.07196401799100449	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	33	25	False	-3.615520064584501	-8.37818869913532	-0.1485650070420565	-0.5788313219986421	-1.553200000000004	0.8637254882143779	-0.7534749548696453	9.811614202283153	3.9094936080402434	-29.84512	-2.584899071544001	1.3245945364962424	3.445462389269606	-33.4447	6.008412316578301	5.240431868920714	0.30303030303030304	0.7878787878787878	0.8484848484848485	0.3939393939393939	0.6060606060606061	under	True	0.20139922255831177	0.04097951024487756	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	33	25	False	0.26679581420337706	-1.4483467920032473	2.195382309170137	-0.055539999999993483	-0.6299296874999988	1.1442731848087249	0.18189888587303926	4.012660661369542	2.705195488214379	-4.502552871151221	-1.2071600000000018	1.4980354882143772	8.098123892686365	-13.020210000000006	9.341422316578303	2.5850214405771004	0.3333333333333333	0.8787878787878788	0.9696969696969697	0.45454545454545453	0.5454545454545454	over	False	0.7778494691010565	0.8415792103948025	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	checkm2	CheckM2 1.0.1	competitor	completeness	33	25	False	1.868352662688227	0.3790323181205414	3.5818977168386086	-0.04999999999999716	-0.14000000000000057	1.6401157602763732	0.815057880138184	5.111018643333209	3.1055662572459113	-4.404293589123476	-0.6586054635037613	2.44696079374215	12.219006453961416	-6.289130331632478	16.349825045130345	3.3152258559226593	0.45454545454545453	0.7272727272727273	0.9090909090909091	0.3939393939393939	0.6060606060606061	over	True	0.43699265556844247	0.010994502748625687	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	cocopye	CoCoPyE 0.5.0	competitor	completeness	33	25	False	1.7714387577272177	-0.8841720952646012	4.5730092587200915	0.0	-0.9788536680236284	0.9205738292713477	0.46028691463567384	8.535853280960232	9.283482618818745	-6.65758172113441	-2.688935388335757	6.594547230482988	15.57979891501793	-23.71974077194885	23.273463524236433	5.592767380616779	0.3333333333333333	0.6363636363636364	0.7575757575757576	0.36363636363636365	0.45454545454545453	over	False	0.47106336173321883	0.223888055972014	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	deepcheck	DeepCheck	competitor	completeness	33	25	False	1.7447174457729808	-0.8194022670664688	4.618024631194243	-0.5384101287314706	-1.4582515160167127	0.6659404553451083	0.22657261014839492	8.144967043310613	6.961253227127749	-5.444135626720177	-2.3954154704642647	4.565837756663484	14.694431789647032	-16.074561687510794	30.3834946776675	5.242530692944391	0.24242424242424243	0.6666666666666666	0.8181818181818182	0.3939393939393939	0.6060606060606061	over	False	0.8600672783795744	0.20189905047476261	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	33	25	False	4.275911076515151	0.873686220985887	9.088077798238967	0.8246988	0.29815286500000004	1.12925172	0.90345442	10.233385005625314	1.1651605299999999	0.118628742	0.28143227	1.4465928	32.446594	0.06442964	41.742214	4.275911076515151	0.6666666666666666	0.8787878787878788	0.9090909090909091	1.0	0.0	over	True	5.385990057983034e-07	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	33	25	False	5.736324242424243	1.474284427083333	11.79337668080357	1.1914	0.6073999999999999	1.6365	1.3795000000000002	12.512266348868176	1.3836000000000002	0.16210000000000002	0.5126	1.8962	43.0174	0.1176	45.8866	5.736324242424243	0.45454545454545453	0.7878787878787878	0.9090909090909091	1.0	0.0	over	True	5.385990057983034e-07	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	33	25	False	0.5536587670303029	0.13575286614062507	1.279739941242857	0.108766556	0.039091706	0.13422668	0.13499856	1.7629636228221943	0.23939609499999998	0.0073170662	0.025725365	0.26512146	1.7484962399999964	0.00487566	9.841689	0.5536587670303029	0.9393939393939394	0.9696969696969697	1.0	1.0	0.0	over	True	2.3283064365386963e-10	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	checkm2	CheckM2 1.0.1	competitor	contamination	33	25	False	0.3109090909090909	0.2307111344537815	0.40363920454545454	0.27	0.125	0.41	0.28500000000000003	0.2767598647334413	0.38	0.0	0.06	0.44	0.9179999999999999	0.0	0.97	0.3109090909090909	1.0	1.0	1.0	0.9090909090909091	0.0	over	True	1.7278603148724103e-06	0.0009995002498750624	
