set	set_label	status	tier	stratum_kind	stratum	tool	tool_label	tool_role	metric	n	n_clusters	small_n_flag	mean_signed_error	mean_ci_lo	mean_ci_hi	median_signed_error	median_ci_lo	median_ci_hi	hodges_lehmann_signed_error	sd_signed_error	iqr_signed_error	q05	q25	q75	q95	min	max	mae	frac_within_1pp	frac_within_5pp	frac_within_10pp	frac_overestimated	frac_underestimated	bias_direction	mean_ci_excludes_zero	p_wilcoxon_zero_bias_two_sided	p_cluster_bootstrap_zero_mean_bias	note
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	False	0.09221869013727485	-0.20183603525416136	0.3895035991676429	-0.05485000000000184	-0.06674749999999818	-0.037170000000003256	0.14814028178147254	4.266596111446213	2.1178977828370744	-4.308242376231137	-0.7438289960935212	1.3740687867435533	4.888913235091427	-30.491429999999994	23.098055971138933	2.1766318366134065	0.477	0.909	0.961	0.443	0.557	over	False	0.03499077789463831	0.5827086456771614	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	798	False	-0.3558517728627252	-0.6706977900680418	-0.05504304862621076	-0.18780000000000285	-0.26949999999999363	-0.08437096845277381	-0.07701261874827026	4.642490987696685	2.7424904200568676	-6.540913442401178	-1.3879257047241929	1.3545647153326748	5.121076723380673	-33.4447	22.47246597113893	2.591358171535378	0.398	0.874	0.954	0.453	0.547	under	True	0.3296779142644294	0.021989005497251374	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	798	False	-0.002137164862725115	-0.2318388675421379	0.2172017075897615	-0.04272500000000434	-0.08467168975594316	-0.013154124999999293	-0.02961104545687121	3.4681505886012785	2.0206665388211427	-4.373358427881742	-0.9783943763646885	1.0422721624564542	4.945920216864822	-26.260261807643943	20.256051292138046	1.9928675263079683	0.503	0.908	0.978	0.408	0.592	under	False	0.39552121104570026	0.9765117441279361	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	False	1.2338306271372748	0.9996812734304044	1.470906799142441	0.029066913689618445	0.0	0.36322622054568043	0.9781535424516736	3.634818713480127	3.37731717525498	-3.9671815650806743	-0.27235735076249057	3.1049598244924894	7.733198083158476	-13.256345601001904	21.353021691742654	2.5423106509718054	0.398	0.833	0.974	0.501	0.364	over	True	1.2029680511062996e-23	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	False	0.13785465350505238	-0.21353773194870881	0.5030084939124997	0.0	0.0	0.0	0.0	5.753306931837263	4.527895835960271	-9.285769761697862	-2.003620125169766	2.524275710790505	9.204694021627754	-28.09968676775587	27.98222423902041	3.6395110323866655	0.353	0.754	0.91	0.402	0.447	over	False	0.398043695263292	0.46776611694152925	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	deepcheck	DeepCheck	competitor	completeness	1000	798	False	1.4648283920298533	1.1013871697473487	1.8476572042105406	-0.2851135003196248	-0.5365169365226687	0.19563084775444622	1.0188873020933613	6.058084522775167	5.801455222354043	-7.126906225009579	-1.3353157043457031	4.46613951800834	12.697996668739137	-22.478719942488034	30.3834946776675	4.255472477276518	0.263	0.688	0.898	0.48	0.52	over	True	1.5992643907864278e-08	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	False	0.8285294344272	0.6309480824069869	1.0621010954571055	0.28097331999999997	0.260093805	0.31290035925	0.35012587500000003	2.897766632042569	0.4719987725	0.0268249209	0.11684671	0.5888454825	2.7388954199999973	0.0006735325	41.742214	0.8285294344272	0.865	0.979	0.989	1.0	0.0	over	True	3.3258460190866374e-165	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	798	False	1.4780225	1.2138632830734353	1.7782087565007816	0.4157	0.3688700000000001	0.46592499999999987	0.6467999999999999	3.9467625720689146	1.0955499999999998	0.02489	0.1347	1.2302499999999998	5.886229999999999	0.0005	49.0122	1.4780225	0.696	0.938	0.978	1.0	0.0	over	True	3.3257842633555386e-165	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	798	False	0.4568896125832999	0.3403185625171861	0.5979891326873962	0.054886936	0.0492620091625	0.06287396	0.09065046874999999	2.0068814225197924	0.161155316	0.003349333965	0.018204004000000003	0.17935932	1.8923441949999977	0.001001358	39.139942	0.4568896125832999	0.917	0.982	0.993	1.0	0.0	over	True	3.325832919291304e-165	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	False	0.27387	0.2501689044939266	0.30162502207973435	0.14	0.12	0.16	0.205	0.34501588232871117	0.34	0.0	0.04	0.38	1.02	0.0	2.25	0.27387	0.948	1.0	1.0	0.905	0.0	over	True	9.743668146155455e-150	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	798	False	0.9766124151233685	0.6844171956800313	1.303020454907931	0.0	0.0	0.0	0.09739881679623	4.696868470148498	0.3159449424901875	-9.799979459968477e-09	0.0	0.3159449424901875	3.159385460950064	-8.189508296193622e-08	57.42574257425742	0.9766124183707465	0.874	0.968	0.981	0.35	0.054	over	True	3.1250545234806386e-63	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	contamination_relatedness	none (uncontaminated)	deepcheck	DeepCheck	competitor	contamination	1000	798	False	0.2865536159723997	0.24826723128593908	0.32381763225260196	0.12912061065435404	0.1086063683032989	0.14977005310356611	0.17803758382797236	0.5630411754645132	0.4593277350068092	-0.3501924127340317	-0.02927295863628385	0.4300547763705253	1.5660132527351374	-1.4433003664016724	2.547562837600708	0.404035914644599	0.868	1.0	1.0	0.72	0.28	over	True	4.0719272515221466e-52	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	800	674	False	-3.48742711875	-3.909724410884608	-3.0800096997533526	-1.0127574999999993	-1.1586400000000054	-0.8177127000000013	-1.8402399999999979	5.513789511427291	3.6567860000000003	-15.834610000000007	-3.963698500000003	-0.3069125000000028	-0.1208932999999953	-36.37422	-0.009185999999999694	3.48742711875	0.49625	0.79625	0.87875	0.0	1.0	under	True	1.3876634698919554e-132	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	800	674	False	-3.0471362500000003	-3.4194252994117424	-2.67257098095519	-0.7873500000000035	-0.9637274999999957	-0.6851000000000056	-1.590724999999999	4.9759819498207705	3.175974999999994	-14.600204999999995	-3.412799999999997	-0.23682500000000317	-0.07858499999999467	-33.9816	-0.01670000000000016	3.0471362500000003	0.545	0.815	0.90125	0.0	1.0	under	True	1.3876476083545609e-132	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	800	674	False	-0.7908686874999998	-1.0639794832116733	-0.5545295537681668	-0.04034250000000128	-0.049632200000002416	-0.033439999999998804	-0.0738449999999986	3.374626176470239	0.14544700000000788	-2.9971749999999977	-0.1581420000000051	-0.012694999999997236	-0.003685500000005963	-37.604675	-0.00029000000000678483	0.7908686874999998	0.91	0.96125	0.97625	0.0	1.0	under	True	1.387636627395459e-132	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	checkm2	CheckM2 1.0.1	competitor	completeness	800	674	False	-0.5390750000000001	-0.727940243983387	-0.3719748532946103	0.0	0.0	0.0	0.0	2.452640710018602	0.0	-2.8715000000000046	0.0	0.0	0.0	-30.22	0.0	0.5390750000000001	0.915	0.96625	0.9875	0.0	0.205	under	True	1.1144712755169035e-28	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	cocopye	CoCoPyE 0.5.0	competitor	completeness	800	674	False	-0.6852691675314141	-0.9417988169379675	-0.45513566330718547	0.0	0.0	0.0	-0.03888024883359975	3.442764860071235	0.13543393502126122	-2.013593207465277	-0.13543393502126122	0.0	0.0	-42.455472290970896	0.0	0.6852691675314141	0.92625	0.96625	0.98375	0.0	0.36625	under	True	8.4968369718789365e-50	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	deepcheck	DeepCheck	competitor	completeness	800	674	False	5.8182126331329345	5.044045344386866	6.592935523996318	1.4084587097167898	0.7143785476684732	2.4635543823242188	4.290122985839844	10.954348993864896	11.674480438232436	-5.998922348022461	-0.7194671630859482	10.955013275146488	29.088983917236305	-32.07209777832031	51.4661865234375	7.947095441818237	0.30375	0.55625	0.71875	0.5825	0.4175	over	True	2.1892968126840639e-32	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	800	674	False	-0.4844928108106447	-0.9991176924391058	0.061054171263422816	-1.1783160521864993	-1.6458923022292822	-0.7513080032439348	-0.8508839456140302	7.3644667672700495	7.4142239532662675	-10.21885541109002	-4.389574718372929	3.0246492348933387	12.003671777645753	-43.19358216570818	38.877534858400296	5.251775036147095	0.13375	0.625	0.8775	0.4175	0.5825	under	False	0.00012861462816578137	0.07396301849075462	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	800	674	False	1.2183471710643552	0.6848684414210252	1.7581550083783883	0.3651211629471369	-0.16506860928129186	0.8864902898737345	0.776732871680788	7.544753230771585	8.120337387596843	-9.191496875486393	-3.050672767594813	5.06966462000203	14.301838590244829	-37.82001216570818	46.62421747650612	5.396156782578746	0.15375	0.585	0.865	0.52625	0.47375	over	True	0.0007135515503139703	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	800	674	False	-0.2713851225606445	-0.609563961521192	0.06437122512808247	-0.14023228278316502	-0.489886688790078	0.2107694241273652	-0.262583917056018	4.643565280428717	4.4539005119759105	-7.905082051670818	-2.6144919308957064	1.839408581080204	7.060768066056525	-19.551621267261638	28.15517500585603	3.2693722327542973	0.24	0.79	0.955	0.4825	0.5175	under	False	0.04977574232350664	0.127936031984008	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	checkm2	CheckM2 1.0.1	competitor	contamination	800	674	False	-17.925430828935646	-19.466254467486117	-16.38866711763955	-14.288626260338027	-17.13086726581259	-13.009984265587445	-17.0699859611734	21.803997948462044	29.795616242440026	-57.947117552009125	-32.877477803744654	-3.081861561304627	14.85600848702385	-78.11	42.01000802435231	21.979078102104257	0.03	0.155	0.32375	0.19625	0.80375	under	True	5.549368000637963e-79	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	cocopye	CoCoPyE 0.5.0	competitor	contamination	800	674	False	-5.5585358613618014	-6.997453685648171	-4.096835981545043	-5.90393542120679	-7.13667032282774	-4.516823508522727	-6.475905402884653	20.421947434182936	17.577121380265325	-35.64559786038714	-15.773693653769637	1.8034277264956886	28.927618918117023	-61.7718208448085	120.51921713760709	15.000207464499367	0.06125	0.3025	0.4775	0.3075	0.6925	under	True	1.5862517130775607e-27	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	cross_phylum	deepcheck	DeepCheck	competitor	contamination	800	674	False	-25.77121752328946	-27.621985072367583	-23.787820254897213	-26.404213232090672	-29.200206756591797	-24.74540138244629	-27.25437211311028	27.926251204908745	29.101655968204483	-66.07853777152253	-41.73687172748183	-12.635215759277344	21.16596605693854	-79.74759113666076	148.3601170903479	32.029960999933714	0.00125	0.0225	0.0825	0.08	0.92	under	True	1.5769201038771014e-93	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	200	200	False	-0.9124245799999998	-1.409505692375	-0.5224058543750003	-0.10804999999999865	-0.12127999999999872	-0.09610025000000137	-0.15463000000000093	3.16254905356943	0.19843500000000702	-3.3966034999999977	-0.27441000000000315	-0.07597499999999613	-0.04155569999999431	-26.463489999999993	-0.013199999999997658	0.9124245799999998	0.905	0.96	0.965	0.0	1.0	under	True	1.4361261857789638e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	200	200	False	-3.430568	-4.140618625000001	-2.8063711750000007	-1.6188000000000002	-2.011865000000003	-1.2472000000000065	-2.0465750000000007	4.827246461459614	3.0211749999999924	-15.641010000000001	-3.666699999999995	-0.6455250000000028	-0.24142000000000513	-25.298699999999997	-0.0724000000000018	3.430568	0.39	0.825	0.895	0.0	1.0	under	True	1.4361464127613523e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	200	200	False	-0.7000979749999999	-1.0730140187499997	-0.3981385515000009	-0.057270500000001334	-0.0893999999999977	-0.03419014999999851	-0.13381000000000043	2.296161625846632	0.29931549999999874	-3.4259525000000024	-0.31052199999999885	-0.01120650000000012	-0.0012652500000051264	-17.720764000000003	-4.5999999997548e-05	0.7000979749999999	0.9	0.955	0.98	0.0	1.0	under	True	1.4361059590739e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	checkm2	CheckM2 1.0.1	competitor	completeness	200	200	False	-0.09930000000000064	-0.14440250000000082	-0.05969250000000067	0.0	0.0	0.0	-0.005000000000002558	0.3022071405160612	0.01999999999999602	-0.7144999999999938	-0.01999999999999602	0.0	0.0	-1.8499999999999943	0.0	0.09930000000000064	0.965	1.0	1.0	0.0	0.415	under	True	1.5838847443999503e-15	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	cocopye	CoCoPyE 0.5.0	competitor	completeness	200	200	False	-0.4615629489609633	-0.7826158797512596	-0.23747174521943878	0.0	0.0	0.0	-0.03128915748440164	2.029800740490571	0.156726469345827	-2.2235705502401366	-0.156726469345827	0.0	0.0	-25.123859352156998	0.0	0.4615629489609633	0.925	0.98	0.995	0.0	0.36	under	True	1.6587518023763977e-13	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	deepcheck	DeepCheck	competitor	completeness	200	200	False	-1.2681074905395517	-1.509352174758912	-1.0800459871292123	-0.9229698181152344	-0.9934158325195312	-0.8681068420410227	-0.9705543518066442	1.5511086398472884	0.5357418060302592	-3.2260345458984516	-1.2518806457519531	-0.7161388397216939	-0.4549407958984378	-18.789962768554688	-0.03745269775390625	1.2681074905395517	0.58	0.99	0.995	0.0	1.0	under	True	1.4361464127613523e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	200	200	False	1.26016065679	0.88337462004225	1.7660061614137497	0.52033068	0.46305805499999997	0.6314465776249999	0.65833181	3.1919780039355663	0.6453491674999999	0.1641465715	0.3643766075	1.009725775	2.8610946349999913	0.007855892	28.77962	1.26016065679	0.745	0.97	0.98	1.0	0.0	over	True	1.4361464127613523e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	200	200	False	3.9636594999999994	3.1038956875	4.995582275000001	1.9085	1.58865	2.2325524999999993	2.4078749999999998	6.915412481773964	2.8571	0.325485	1.04325	3.90035	11.863604999999993	0.0073	49.0122	3.9636594999999994	0.235	0.8	0.935	1.0	0.0	over	True	1.4361261857789638e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	200	200	False	0.8406605136659999	0.5725786019987001	1.199248663721425	0.06326883999999999	0.038707256	0.10053329287499997	0.22694692249999998	2.3447218754348946	0.832934693	0.0025196373450000003	0.010932982	0.843867675	3.356268864999997	0.0008404255	27.949402	0.8406605136659999	0.76	0.98	0.995	1.0	0.0	over	True	1.4361261857789638e-34	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	checkm2	CheckM2 1.0.1	competitor	contamination	200	200	False	0.39315	0.33639250000000004	0.459355	0.24	0.18	0.325	0.30500000000000005	0.43364132818210227	0.455	0.0	0.08	0.535	1.238999999999997	0.0	1.94	0.39315	0.89	1.0	1.0	0.94	0.0	over	True	1.323554605332339e-32	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	cocopye	CoCoPyE 0.5.0	competitor	contamination	200	200	False	0.4744280667535053	0.3159057847493259	0.6502355368785093	0.0	0.0	0.0	0.030688077009765	1.1881476077721638	0.241239007591495	0.0	0.0	0.241239007591495	2.625529402654388	0.0	8.10800932848354	0.4744280667535053	0.85	0.985	1.0	0.295	0.0	over	True	2.3900953516978203e-11	0.0009995002498750624	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	contamination_relatedness	none (uncontaminated)	deepcheck	DeepCheck	competitor	contamination	200	200	False	0.15662497133016587	0.08200436239317062	0.23526864644885062	-0.035663321614265345	-0.08326753973960875	0.0372521579265594	0.08126460760831831	0.5584489236471971	0.6797710433602333	-0.42203668504953373	-0.23028757423162455	0.4494834691286087	1.318011236190795	-0.6969236135482788	2.547562837600708	0.40477548450231554	0.91	1.0	1.0	0.465	0.535	over	True	0.06469821851108751	0.0009995002498750624	
