metric	reference_tool	comparison_tool	n_pairs	n_clusters	mae_reference	mae_comparison	mean_paired_difference	mean_diff_ci_lo	mean_diff_ci_hi	median_paired_difference	median_diff_ci_lo	median_diff_ci_hi	hodges_lehmann_diff	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_delta_ci_lo	cliffs_delta_ci_hi	cliffs_delta_magnitude	rank_biserial_paired	wilcoxon_statistic_naive	p_wilcoxon_two_sided_naive	wilcoxon_statistic_cluster_mean	n_clusters_used_cluster_mean	p_wilcoxon_two_sided_cluster_mean	p_cluster_bootstrap_median	p_cluster_bootstrap_mean	favours	boot_clustered	boot_n_iter	boot_n_iter_slow	set	status	tier	cluster_column
abs_err_completeness	magicc_v5	magicc_v4	1000	31	2.1766318366134065	2.591358171535378	-0.4147263349219718	-0.6939198507109287	-0.25696263491361254	-0.16938150000000007	-0.29352967499999366	-0.12588000000000932	-0.18937999999999988	-0.3329027255573859	-0.11387269783008715	-0.148234	-0.18765793223101854	-0.10455486865726461	small	-0.21340859140859142	196844.5	5.038512087644321e-09	149.0	31	0.052696118131279945	0.0009995002498750624	0.0009995002498750624	reference	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_contamination	magicc_v5	magicc_v4	1000	31	0.8285294344272	1.4780225	-0.6494930655728	-1.0555494974673332	-0.4677040670756674	-0.07702128	-0.27436378000000006	-0.05099134999999999	-0.19767992750000002	-0.424749378625	-0.13652631462499998	-0.16237	-0.22274329083098557	-0.11860849970957481	small	-0.6486353646353646	87929.0	1.2496126796559816e-70	37.0	31	5.317851901054382e-06	0.0009995002498750624	0.0009995002498750624	reference	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_completeness	magicc_v5	checkm2	1000	31	2.1766318366134065	2.5423106509718054	-0.3656788143583991	-0.7796664670189908	0.6074973718943355	-0.04581700000000666	-0.27065428079076526	0.046103824999999696	-0.5009606115103526	-0.7002657943939455	-0.05717007000386108	-0.075286	-0.12653162570372184	0.08119813720321095	negligible	-0.22906293706293707	192927.0	3.502770884017059e-10	228.0	31	0.7062525749206543	0.6656671664167916	0.33683158420789605	reference	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_contamination	magicc_v5	checkm2	1000	31	0.8285294344272	0.27387	0.5546594344272	0.3131403638855977	1.5179971801387648	0.10656701	0.0788096	0.34362761174999995	0.14541659999999998	0.09385918131250003	0.4008552711250001	0.294536	0.21173660839394856	0.52993623403698	small	0.42245354645354644	144531.0	5.696389127492721e-31	20.0	31	3.4552067518234253e-07	0.0009995002498750624	0.0009995002498750624	comparison	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_completeness	magicc_v5	cocopye	1000	31	2.1766318366134065	3.6395110323866655	-1.4628791957732594	-2.6233419863257534	-0.5942487454849195	-0.4024933969090654	-1.397874223390085	-0.06679730140493234	-1.096079785866003	-2.0426287482629544	-0.5091359039870408	-0.18813	-0.30777729399801373	-0.07528827249599461	small	-0.4063576423576424	148559.0	8.829525578077641e-29	147.0	31	0.04789368249475956	0.009995002498750625	0.0029985007496251873	reference	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_contamination	magicc_v5	cocopye	1000	31	0.8285294344272	0.9766124183707465	-0.14808298394354671	-1.2092682989955452	1.1796234970049586	0.160109995	0.12233257	0.32230616	0.17626579123595248	0.12260703544491773	0.40008854871875005	0.517302	0.39506419782824664	0.6220011736756185	large	0.37217182817182815	157114.0	2.0897706108176977e-24	159.0	31	0.0828599464148283	0.0009995002498750624	0.8345827086456772	reference	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_completeness	magicc_v5	deepcheck	1000	31	2.1766318366134065	4.255472477276518	-2.078840640663111	-3.29770077275013	-0.7292330707617616	-1.1046854595947266	-1.8075177460267438	-0.7670713732910144	-1.719625036077293	-2.627116109729628	-0.9804129687858106	-0.403948	-0.4832636080347872	-0.2670142454678357	medium	-0.5975144855144855	100722.0	3.2529492283674386e-60	149.0	31	0.052696118131279945	0.0009995002498750624	0.005997001499250375	reference	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_contamination	magicc_v5	deepcheck	1000	31	0.8285294344272	0.404035914644599	0.4244935197826011	0.1804919665876913	1.3755003439327118	0.048946217509529155	0.011341371389933116	0.2646750906066896	0.06912416037967495	0.010612779743833274	0.3371667059479857	0.118072	0.017569278632736732	0.42177925394383486	negligible	0.16807192807192808	208190.0	4.1447374258073605e-06	42.0	31	1.0450370609760284e-05	0.00399800099950025	0.0009995002498750624	comparison	True	2000	200	set_A_v2	current	primary	dominant_phylum
abs_err_completeness	magicc_v5	magicc_v4	1000	30	2.972426611	3.1238226	-0.15139598900000026	-0.489642502934127	0.01685674236046301	0.002045000000002517	-0.06728562500000217	0.04183999999999344	-0.03964749999999739	-0.16994818750000032	0.028918462500002764	-0.105218	-0.1455092482909619	-0.07446151357604308	negligible	-0.04888311688311688	238017.0	0.18055317163958873	194.0	30	0.4399667661637068	0.8335832083958021	0.06896551724137931	reference	True	2000	200	set_B_v2	current	primary	dominant_phylum
abs_err_contamination	magicc_v5	magicc_v4	1000	30	4.453452160275677	5.109657326062996	-0.6562051657873204	-1.1920379378033514	-0.3852631176084136	-0.3988607149999992	-0.5648000475000003	-0.27468199999999854	-0.45429316192875935	-0.7088349459396405	-0.2933875136249992	-0.097026	-0.11951688838887702	-0.07325782302796656	negligible	-0.20296103896103895	199459.0	2.702299687322574e-08	108.0	30	0.009301122277975082	0.0009995002498750624	0.0009995002498750624	reference	True	2000	200	set_B_v2	current	primary	dominant_phylum
