set	set_label	status	tier	subset	tool	criterion	tau	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	contamination	5.0	1000	798	1000	0	0	21				0.021	0.011212762445735783	0.03235294117647059
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	contamination	10.0	1000	798	1000	0	0	11				0.011	0.004040302112955998	0.01934876191425267
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	completeness	90.0	1000	798	276	724	17	20	0.023480662983425413	0.012745189706210018	0.035063728746832015	0.07246376811594203	0.042140905071939565	0.10507723112128144
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	contamination	5.0	1000	798	1000	0	0	62				0.062	0.0462299953583177	0.07931846433352457
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	contamination	10.0	1000	798	1000	0	0	22				0.022	0.012731682518670422	0.03222735005040322
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	completeness	90.0	1000	798	276	724	14	34	0.019337016574585635	0.009615054869684501	0.029289725579112216	0.12318840579710146	0.08678930817610063	0.16304347826086957
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	contamination	5.0	1000	798	1000	0	0	18				0.018	0.010029088263792377	0.02684030280468582
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	contamination	10.0	1000	798	1000	0	0	7				0.007	0.002024240327816508	0.012258032813965326
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	completeness	90.0	1000	798	276	724	8	13	0.011049723756906077	0.004132089306217105	0.018872416891284792	0.04710144927536232	0.02413585732906743	0.07358414888496709
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	contamination	5.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	contamination	10.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	completeness	50.0	1000	798	1000	0	0	22				0.022	0.013750441275785858	0.03152731910458083
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	completeness	90.0	1000	798	276	724	29	6	0.04005524861878453	0.025916628120077997	0.0538684271269229	0.021739130434782608	0.006993006993006993	0.041386494252873524
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	contamination	5.0	1000	798	1000	0	0	32				0.032	0.02046686558070355	0.04435543519755678
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	contamination	10.0	1000	798	1000	0	0	19				0.019	0.010720088145439998	0.028572158178899746
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	completeness	50.0	1000	798	1000	0	0	52				0.052	0.03834800817981301	0.06693881858712326
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	completeness	90.0	1000	798	276	724	26	14	0.03591160220994475	0.02316061507036755	0.04928735142049997	0.050724637681159424	0.023711755233494367	0.08209088486140724
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	contamination	5.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	contamination	10.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	completeness	50.0	1000	798	1000	0	0	27				0.027	0.01775060569351908	0.037736330381209084
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	completeness	90.0	1000	798	276	724	31	6	0.04281767955801105	0.028767123287671233	0.05807409518883782	0.021739130434782608	0.007168458781362007	0.04067796610169491
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	contamination	5.0	1000	798	1000	0	0	21				0.021	0.01102176826124722	0.03192610659217096
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	contamination	10.0	1000	798	1000	0	0	11				0.011	0.004036225220533186	0.019211810686785406
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	completeness	90.0	1000	798	276	724	17	20	0.023480662983425413	0.013511246145474338	0.03501523330229707	0.07246376811594203	0.041341853704894224	0.10801393728222997
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	contamination	5.0	1000	798	1000	0	0	62				0.062	0.046440894746908074	0.07964994114826277
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	contamination	10.0	1000	798	1000	0	0	22				0.022	0.012922144392828728	0.032321303139128794
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	completeness	90.0	1000	798	276	724	14	34	0.019337016574585635	0.009762900976290097	0.030066119471044227	0.12318840579710146	0.08455752899751451	0.1643878966533726
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	contamination	5.0	1000	798	1000	0	0	18				0.018	0.01008013808658402	0.027372491518601563
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	contamination	10.0	1000	798	1000	0	0	7				0.007	0.00204697835716892	0.012342669895394785
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	completeness	50.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	completeness	90.0	1000	798	276	724	8	13	0.011049723756906077	0.004132231404958678	0.018970833195441857	0.04710144927536232	0.02380022321428573	0.07500213310580203
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	contamination	5.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	contamination	10.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	completeness	50.0	1000	798	1000	0	0	22				0.022	0.013779188829272447	0.03162447845319912
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	completeness	90.0	1000	798	276	724	29	6	0.04005524861878453	0.026027397260273973	0.0554054945446766	0.021739130434782608	0.0070921985815602835	0.040892193308550186
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	contamination	5.0	1000	798	1000	0	0	32				0.032	0.020281417135558776	0.04408891312035836
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	contamination	10.0	1000	798	1000	0	0	19				0.019	0.010029839016046134	0.028827754863851713
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	completeness	50.0	1000	798	1000	0	0	52				0.052	0.038774344891879295	0.06620881109850114
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	completeness	90.0	1000	798	276	724	26	14	0.03591160220994475	0.022725663147051253	0.04931632436192205	0.050724637681159424	0.024190084247866096	0.08118081180811808
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	contamination	5.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	contamination	10.0	1000	798	1000	0	0	0				0.0	0.0	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	completeness	50.0	1000	798	1000	0	0	27				0.027	0.01794616151545364	0.037525354969574036
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	completeness	90.0	1000	798	276	724	31	6	0.04281767955801105	0.028985007496251877	0.05841470074681018	0.021739130434782608	0.006917472871501547	0.040149661773749346
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	contamination	5.0	1000	803	200	800	0	6	0.0	0.0	0.0	0.03	0.009659524304833233	0.05699481865284974
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	contamination	10.0	1000	803	202	798	1	4	0.0012531328320802004	0.0	0.003886136368218382	0.019801980198019802	0.004586632315361737	0.04128856300803344
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	completeness	50.0	1000	803	1000	0	0	0				0.0	0.0	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	completeness	90.0	1000	803	1000	0	0	104				0.104	0.08384442585362831	0.12413326591898016
