scope	size_bin	tool	tool_label	n	n_clusters	median_size_mbp	mae_completeness	mae_completeness_ci_lo	mae_completeness_ci_hi	bias_completeness	bias_completeness_ci_lo	bias_completeness_ci_hi	mae_contamination	mae_contamination_ci_lo	mae_contamination_ci_hi	bias_contamination	bias_contamination_ci_lo	bias_contamination_ci_hi	n_true_pass_cont5	n_false_fail_cont5	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi
POOLED_leakage_free_5_sets	<1 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	789	95	0.810038	6.405330247574092	5.366935608009583	7.606137172878768	-3.288978882397804	-4.899650193945269	-1.8025664976764442	9.124656357294228	8.190869256594135	10.12546573978871	-4.9450009148354255	-6.563976109184389	-3.3174691731801875	62	17	0.27419354838709675	0.13333333333333333	0.423728813559322
POOLED_leakage_free_5_sets	<1 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	789	95	0.810038													20	2	0.1	0.0	0.2727272727272727
POOLED_leakage_free_5_sets	<1 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	789	95	0.810038													20	1	0.05	0.0	0.18181818181818182
POOLED_leakage_free_5_sets	<1 Mbp	checkm2	CheckM2 1.0.1	789	95	0.810038	7.44584867479241	6.964344982961081	7.899669305736032	-4.508276284172203	-5.1728074723552915	-3.810219972355361	39.39126393075431	37.49243079849063	41.11089862084909	-39.37648783189499	-41.10054356896992	-37.476002450395626	62	0	0.0	0.0	0.0
POOLED_leakage_free_5_sets	<1 Mbp	cocopye	CoCoPyE 0.5.0	789	95	0.810038	17.88392886115236	17.017253762538886	18.774008339000563	-17.164241691729696	-18.11265549920963	-16.24884982760534	32.04092831841737	30.248738933694625	33.75685127993901	-30.07171152290209	-32.022813909586155	-27.951747154139696	62	38	0.6129032258064516	0.47619047619047616	0.7397328767123287
POOLED_leakage_free_5_sets	<1 Mbp	deepcheck	DeepCheck	789	95	0.810038	18.136464235577282	17.06880198959697	19.260738353908437	-17.13399178793735	-18.41395467246592	-15.854687137952702	41.38487282616841	39.44418480636403	43.16553349350322	-41.38005325608013	-43.161775358477655	-39.437464506685394	62	0	0.0	0.0	0.0
POOLED_leakage_free_5_sets	1-2 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	1122	259	1.518044	5.335518198346259	4.539843652549691	6.244115416181655	-1.0172076490071118	-2.1492823408365416	0.10732403654663898	6.500717341576669	5.810284839155918	7.279520074751628	-2.3684989780406864	-3.3625709261813883	-1.4007090521855134	228	20	0.08771929824561403	0.04680652217140585	0.13393856609808097
POOLED_leakage_free_5_sets	1-2 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1122	259	1.518044													193	15	0.07772020725388601	0.037628127826349125	0.12766713723908435
POOLED_leakage_free_5_sets	1-2 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	1122	259	1.518044													193	4	0.02072538860103627	0.0048059834123222785	0.043483537357534796
POOLED_leakage_free_5_sets	1-2 Mbp	checkm2	CheckM2 1.0.1	1122	259	1.518044	5.936599206040422	5.458462348750332	6.40533258891043	1.4283984490321031	0.559620721142701	2.2477840449915516	31.422890000737954	29.653688786232934	33.04762698278995	-31.326449161450668	-32.96486454901999	-29.544954464571386	228	0	0.0	0.0	0.0
