cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note	panel	assembly	n_panel_organisms	assembly_median_bin_n50	assembly_contigs	orf_integrity_compromised
balanced_panel_all|pacbio	MAGICC V5	magicc	42	42	accession	1.8037	0.5664	3.8872	-0.8122	-2.9956	0.5414	6.1173	0.382	0.5684	1.9221	1.0134	3.1373	1.9221	1.0134	3.1373	3.9475	-1961.2985	0.0004	97.525	0.0142	7.876	0.0902	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	42	1853991	228	False
balanced_panel_all|pacbio	CheckM2 1.0.1	checkm2	42	42	accession	0.6186	0.24	1.1117	-0.1999	-0.7078	0.231	1.5958	0.9579	0.9632	0.6844	0.3879	1.08	0.6684	0.3719	1.0556	1.2983	-211.2767	0.004	97.525	0.0142	7.876	0.0902	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	42	1853991	228	False
balanced_panel_all|pacbio	CoCoPyE 0.5.0	cocopye	42	42	accession	1.3741	0.7713	2.0958	-0.4951	-1.2798	0.2945	2.5771	0.8903	0.8944	1.061	0.4834	1.7393	1.0326	0.4512	1.7219	2.3675	-704.8323	0.0062	97.525	0.0142	7.876	0.0902	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	42	1853991	228	False
balanced_panel_all|pacbio	DeepCheck	deepcheck	42	42	accession	1.4116	1.0357	1.8581	-1.3027	-1.7629	-0.89	1.9435	0.9376	0.9693	0.4713	0.3439	0.6155	0.2666	0.0899	0.4569	0.6492	-52.0717	0.0074	97.525	0.0142	7.876	0.0902	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	42	1853991	228	False
balanced_panel_all|minion	MAGICC V5	magicc	42	42	accession	5.8285	3.6985	8.4123	-1.4378	-4.403	1.4135	9.7852	0.7423	0.748	1.4933	0.7392	2.4682	1.2776	0.4876	2.2685	3.1256	-8.6661	0.0142	89.294	0.2906	19.51	1.0175	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	42	313692	1062	True
balanced_panel_all|minion	CheckM2 1.0.1	checkm2	42	42	accession	47.5749	41.9733	53.0809	-46.7131	-52.9005	-40.4765	51.1295	-6.0356	0.1099	3.6067	2.9628	4.2763	3.5713	2.9247	4.2687	4.2195	-16.6153	0.036	89.294	0.2906	19.51	1.0175	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	42	313692	1062	True
balanced_panel_all|minion	CoCoPyE 0.5.0	cocopye	42	42	accession	2.01	1.1433	3.1292	-0.4483	-1.5808	0.8149	3.86	0.9599	0.9609	104.2359	93.0576	115.4075	104.2359	93.0576	115.4075	110.5588	-12092.6615	0.001	89.294	0.2906	19.51	1.0175	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	42	313692	1062	True
balanced_panel_all|minion	DeepCheck	deepcheck	42	42	accession	52.7031	46.2922	58.8694	-51.2248	-58.3202	-43.9703	56.6228	-7.6286	0.0	5.0351	3.8052	6.5902	4.9421	3.6767	6.5072	6.8964	-46.0556	0.0007	89.294	0.2906	19.51	1.0175	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	42	313692	1062	True
balanced_panel_all|illumina	MAGICC V5	magicc	42	42	accession	3.6012	2.3074	5.6501	1.4649	-0.8545	3.0444	6.6785	0.4729	0.6125	1.3497	0.7368	2.2869	1.3497	0.7368	2.2869	2.9164	-832.3386	0.0046	94.468	0.0448	9.31	0.1023	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	illumina	42	10696	38519	False
balanced_panel_all|illumina	CheckM2 1.0.1	checkm2	42	42	accession	4.4411	3.0832	6.0428	-1.6484	-3.6501	0.2094	6.6266	0.481	0.8683	1.4676	0.9325	2.0991	1.4676	0.9325	2.0991	2.4088	-567.4664	0.1206	94.468	0.0448	9.31	0.1023	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	illumina	42	10696	38519	False
