panel	tool	metric	slope_per_log10_N50	slope_se	p_two_sided	pearson_r	value_at_best_N50	value_at_worst_N50	degradation	assemblies_used	note
balanced_panel_all	MAGICC V5	comp_mae	-1.4373	0.4045	0.023722559402942153	-0.8715	1.8037	5.8778	4.0741	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	MAGICC V5	cont_mae	0.2146	0.0583	0.021221671734165726	0.8786	1.9221	1.3726	-0.5495	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CheckM2 1.0.1	comp_mae	-2.3888	0.4924	0.00833455364642184	-0.9245	0.6186	7.6642	7.0456	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CheckM2 1.0.1	cont_mae	-0.4267	0.1412	0.03908430604120532	-0.8339	0.6844	1.8035	1.1191	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CoCoPyE 0.5.0	comp_mae	-1.9185	0.4196	0.010239754305154227	-0.9162	1.3741	8.0614	6.6873	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CoCoPyE 0.5.0	cont_mae	-3.609	1.5714	0.08324698455712372	-0.7541	1.061	10.6105	9.5495	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	DeepCheck	comp_mae	-2.5907	0.7734	0.028570711648374547	-0.8586	1.4116	8.5606	7.149	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	DeepCheck	cont_mae	-0.4498	0.1062	0.013322884633492363	-0.9042	0.4713	1.6966	1.2253	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	MAGICC V5	comp_mae	-1.0836	0.2554	0.013234585192026147	-0.9045	1.7348	4.8262	3.0914	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	MAGICC V5	cont_mae	0.2385	0.0631	0.01948083269361793	0.8838	2.0554	1.3596	-0.6958	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CheckM2 1.0.1	comp_mae	-2.4005	0.6837	0.024646017229055017	-0.8689	0.303	7.4545	7.1515	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CheckM2 1.0.1	cont_mae	-0.4721	0.1753	0.05446983028002758	-0.8029	0.4933	1.6479	1.1546	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CoCoPyE 0.5.0	comp_mae	-1.4537	0.3418	0.013124812398206296	-0.9049	1.347	6.4031	5.0561	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CoCoPyE 0.5.0	cont_mae	-3.3557	1.7418	0.1263104238182979	-0.6938	0.9046	9.5627	8.6581	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
