cohort	tool	n_attempted	n_scored	n_unscored	original_common_n	corrected_common_n
primary_leakage_free_comp>=50	magicc	108	108	0	108	108
primary_leakage_free_comp>=50	checkm2	108	108	0	108	108
primary_leakage_free_comp>=50	cocopye	108	108	0	108	108
primary_leakage_free_comp>=50	deepcheck	108	108	0	108	108
primary_leakage_free_comp>=50_ORF_intact	magicc	93	93	0	93	93
primary_leakage_free_comp>=50_ORF_intact	checkm2	93	93	0	93	93
primary_leakage_free_comp>=50_ORF_intact	cocopye	93	93	0	93	93
primary_leakage_free_comp>=50_ORF_intact	deepcheck	93	93	0	93	93
all_MOCK1_comp>=50	magicc	308	308	0	308	308
all_MOCK1_comp>=50	checkm2	308	308	0	308	308
all_MOCK1_comp>=50	cocopye	308	308	0	308	308
all_MOCK1_comp>=50	deepcheck	308	308	0	308	308
all_MOCK1_comp>=50_ORF_intact	magicc	269	269	0	269	269
all_MOCK1_comp>=50_ORF_intact	checkm2	269	269	0	269	269
all_MOCK1_comp>=50_ORF_intact	cocopye	269	269	0	269	269
all_MOCK1_comp>=50_ORF_intact	deepcheck	269	269	0	269	269
ORF_compromised_assembly_only	magicc	39	39	0	39	39
ORF_compromised_assembly_only	checkm2	39	39	0	39	39
ORF_compromised_assembly_only	cocopye	39	39	0	39	39
ORF_compromised_assembly_only	deepcheck	39	39	0	39	39
leakage_free_all_bins	magicc	137	137	0	137	130
leakage_free_all_bins	checkm2	137	137	0	137	130
leakage_free_all_bins	cocopye	137	130	7	137	130
leakage_free_all_bins	deepcheck	137	137	0	137	130
all_MOCK1_all_bins	magicc	394	394	0	394	367
all_MOCK1_all_bins	checkm2	394	394	0	394	367
all_MOCK1_all_bins	cocopye	394	367	27	394	367
all_MOCK1_all_bins	deepcheck	394	394	0	394	367
below_50pct_floor	magicc	86	86	0	86	59
below_50pct_floor	checkm2	86	86	0	86	59
below_50pct_floor	cocopye	86	59	27	86	59
below_50pct_floor	deepcheck	86	86	0	86	59
