cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note	median_draft_contigs	median_draft_n50
draft_contigs (0.999, 35.0]	MAGICC V5	magicc	282	61	species_taxid	0.8507	0.4691	1.3689	0.2099	-0.3472	0.4677	1.9509	-2.9941	0.0432	1.0436	0.6714	2.032	0.7832	0.4101	1.6392	4.0341	-20.311	0.0003	99.259	0.191	0.978	0.8754	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	19	542855
draft_contigs (0.999, 35.0]	CheckM2 1.0.1	checkm2	282	61	species_taxid	2.1444	0.9495	6.3849	-0.8318	-5.1492	0.62	7.7902	-62.6903	0.0015	1.7287	0.6886	2.5041	1.5402	0.4019	2.3455	2.6466	-8.1724	0.0003	99.259	0.191	0.978	0.8754	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	19	542855
draft_contigs (0.999, 35.0]	CoCoPyE 0.5.0	cocopye	282	61	species_taxid	1.1085	0.547	2.4409	0.1884	-1.355	0.7703	2.6145	-6.1741	0.0426	4.8247	2.0395	10.7739	4.6431	1.7972	10.4616	14.1051	-259.528	0.0125	99.259	0.191	0.978	0.8754	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	19	542855
draft_contigs (35.0, 92.5]	MAGICC V5	magicc	266	64	species_taxid	1.4287	1.2281	1.775	1.0235	0.7741	1.269	2.0231	-6.3537	0.003	1.39	0.7542	2.0278	0.13	-0.9641	1.0369	2.5693	-1.0373	0.0073	98.545	0.8229	0.747	1.8035	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	59	216896
draft_contigs (35.0, 92.5]	CheckM2 1.0.1	checkm2	266	64	species_taxid	1.4545	1.2991	1.6842	1.4403	1.2841	1.6649	1.6347	-3.8013	0.005	1.4303	0.9279	1.8803	0.4605	-0.4612	1.2942	2.422	-0.8103	0.0011	98.545	0.8229	0.747	1.8035	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	59	216896
draft_contigs (35.0, 92.5]	CoCoPyE 0.5.0	cocopye	266	64	species_taxid	1.3766	1.2492	1.5688	1.3383	1.2039	1.513	1.5468	-3.2988	0.0543	1.4748	0.7462	2.2044	0.0071	-1.2129	1.0934	2.4366	-0.8322	0.028	98.545	0.8229	0.747	1.8035	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	59	216896
draft_contigs (92.5, 155.0]	MAGICC V5	magicc	277	38	species_taxid	2.8009	1.9422	4.2944	2.4926	1.5186	3.9168	3.6081	-2.9991	0.0049	1.2795	0.7922	2.247	0.688	0.1305	1.4962	3.9442	-6.3137	0.0009	97.18	0.5933	1.808	1.4611	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	124	144912
draft_contigs (92.5, 155.0]	CheckM2 1.0.1	checkm2	277	38	species_taxid	2.8085	2.0163	4.193	2.8049	2.0113	4.184	3.3391	-2.4251	0.0004	1.1687	0.6692	1.7256	0.5905	-0.0174	1.187	2.1908	-1.2564	0.0242	97.18	0.5933	1.808	1.4611	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	124	144912
draft_contigs (92.5, 155.0]	CoCoPyE 0.5.0	cocopye	277	38	species_taxid	2.7563	1.9499	4.1589	2.7513	1.94	4.1519	3.3059	-2.3571	0.0074	0.809	0.518	1.3645	-0.1414	-0.5567	0.2367	2.037	-0.9508	0.005	97.18	0.5933	1.808	1.4611	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	124	144912
draft_contigs (155.0, 2044.0]	MAGICC V5	magicc	271	51	species_taxid	3.3538	2.6444	4.4672	3.2087	2.4295	4.3129	4.0537	-1.3237	0.1681	1.174	0.9386	1.5519	0.1075	-0.5356	0.5115	2.0063	0.1572	0.3106	96.199	1.2137	2.664	2.1894	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	stratified by draft fragmentation	229	72218
