cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note
primary_leakage_free	MAGICC V5	magicc	913	124	species_taxid	2.2251	1.5748	3.1516	1.7931	1.0863	2.7016	3.2076	-1.2865	0.0113	1.2694	0.9692	1.736	0.5391	0.095	0.9786	3.4865	-3.6797	0.0139	97.697	0.6844	2.122	1.6126	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Neither draft nor complete accession appears in MAGICC's TRAIN or VAL split (GCA<->GCF cross-mapped).
primary_leakage_free	CheckM2 1.0.1	checkm2	913	124	species_taxid	2.7279	1.9509	3.924	1.822	0.7733	2.8559	5.2995	-5.2413	0.0074	1.4925	1.0867	1.8449	0.7153	0.1863	1.1336	2.4564	-1.323	0.0013	97.697	0.6844	2.122	1.6126	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Neither draft nor complete accession appears in MAGICC's TRAIN or VAL split (GCA<->GCF cross-mapped).
primary_leakage_free	CoCoPyE 0.5.0	cocopye	913	124	species_taxid	2.3573	1.6609	3.3263	2.0788	1.36	3.007	3.3423	-1.4825	0.0014	2.2289	1.2379	3.6906	1.3216	0.2478	2.8588	8.0283	-23.814	0.0037	97.697	0.6844	2.122	1.6126	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Neither draft nor complete accession appears in MAGICC's TRAIN or VAL split (GCA<->GCF cross-mapped).
all_tier1_pairs	MAGICC V5	magicc	1096	164	species_taxid	2.1028	1.5348	2.8944	1.7258	1.0757	2.5121	3.0538	-1.1365	0.0191	1.2195	0.942	1.6332	0.4335	-0.0282	0.7935	3.2736	-2.7737	0.0152	97.804	0.6989	2.09	1.6859	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All Tier-1 same-BioSample prokaryotic pairs, size ratio 0.80-1.20.
all_tier1_pairs	CheckM2 1.0.1	checkm2	1096	164	species_taxid	2.5444	1.8303	3.6341	1.7717	0.7926	2.6871	4.9285	-4.5647	0.0032	1.4401	1.069	1.7803	0.6073	0.0888	1.0031	2.4461	-1.1069	0.0012	97.804	0.6989	2.09	1.6859	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All Tier-1 same-BioSample prokaryotic pairs, size ratio 0.80-1.20.
all_tier1_pairs	CoCoPyE 0.5.0	cocopye	1096	164	species_taxid	2.2256	1.6126	3.0815	1.9783	1.3225	2.7601	3.1801	-1.3169	0.0002	2.0738	1.2059	3.4254	1.1206	0.11	2.5255	7.4047	-18.3077	0.0054	97.804	0.6989	2.09	1.6859	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All Tier-1 same-BioSample prokaryotic pairs, size ratio 0.80-1.20.
species_absent_from_training	MAGICC V5	magicc	106	62	species_taxid	3.4219	2.0093	4.6185	1.7212	-0.4018	3.3164	4.9252	-0.9946	0.0229	2.4248	1.2722	4.3166	1.5213	0.0695	3.7815	7.6618	-12.0163	0.0045	96.325	0.9546	3.504	2.1338	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Binomial not present as a GTDB species name in TRAIN or VAL.
species_absent_from_training	CheckM2 1.0.1	checkm2	106	62	species_taxid	4.0643	1.9423	5.6495	3.1011	0.5592	4.8798	6.2524	-2.2144	0.0189	1.6497	0.9305	2.1653	0.2135	-0.8131	1.2659	2.7874	-0.7227	0.01	96.325	0.9546	3.504	2.1338	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Binomial not present as a GTDB species name in TRAIN or VAL.
species_absent_from_training	CoCoPyE 0.5.0	cocopye	106	62	species_taxid	3.6137	1.6241	5.1366	3.4117	1.3007	5.0051	5.0082	-1.0623	0.0122	1.5396	0.6408	2.8421	0.1665	-0.8398	1.7809	5.4719	-5.639	0.0541	96.325	0.9546	3.504	2.1338	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Binomial not present as a GTDB species name in TRAIN or VAL.
flagged_contaminated_by_NCBI	MAGICC V5	magicc	7	3	species_taxid	2.3338	1.6538	5.9923	0.6218	-5.9923	2.0756	2.7839	-34.4471	0.5763	2.5317	0.703	10.4848	1.7485	-0.3935	10.4848	4.2702	0.2016	0.4852	98.088	5.7431	0.505	5.162	5.0	False	True	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Drafts carrying NCBI's own `contaminated` exclusion flag — independent, non-circular positive control (binary label).
flagged_contaminated_by_NCBI	CheckM2 1.0.1	checkm2	7	3	species_taxid	1.912	1.0143	2.2705	1.912	1.0143	2.2705	1.9683	-16.72		5.1505	0.6238	6.3871	-3.1502	-5.2339	3.4942	6.449	-0.8209	0.0017	98.088	5.7431	0.505	5.162	5.0	False	True	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Drafts carrying NCBI's own `contaminated` exclusion flag — independent, non-circular positive control (binary label).
flagged_contaminated_by_NCBI	CoCoPyE 0.5.0	cocopye	7	3	species_taxid	1.827	1.0143	2.2705	1.827	1.0143	2.2705	1.8753	-15.0852	0.182	3.8774	1.1062	5.5829	3.5614	-1.1062	5.5829	5.1558	-0.1638	0.9577	98.088	5.7431	0.505	5.162	5.0	False	True	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	Drafts carrying NCBI's own `contaminated` exclusion flag — independent, non-circular positive control (binary label).
