cohort	tool	tool_key	n	true_HQ	pred_HQ	true_MQ	pred_MQ	true_LQ	pred_LQ	class_agreement_pct	n_truly_below_5pct_cont	false_fail_5pct_n	false_fail_5pct_rate	n_truly_below_10pct_cont	false_fail_10pct_rate	true_comp_ge90_n	pred_comp_ge90_n	comp90_recall_pct	denominator
primary_leakage_free	MAGICC V5	magicc	913	869	887	40	14	4	12	93.54	874	19	2.17	909	1.1	908	906	99.34	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free	CheckM2 1.0.1	checkm2	913	869	865	40	42	4	6	90.58	874	39	4.46	909	0.33	908	902	98.79	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free	CoCoPyE 0.5.0	cocopye	913	869	858	40	31	4	24	90.91	874	46	5.26	909	2.31	908	905	99.12	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_tier1_pairs	MAGICC V5	magicc	1096	1042	1068	47	15	7	13	93.7	1048	20	1.91	1089	0.92	1090	1089	99.45	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_tier1_pairs	CheckM2 1.0.1	checkm2	1096	1042	1040	47	50	7	6	90.69	1048	46	4.39	1089	0.28	1090	1084	98.99	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_tier1_pairs	CoCoPyE 0.5.0	cocopye	1096	1042	1036	47	33	7	27	91.51	1048	48	4.58	1089	2.11	1090	1087	99.27	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
species_absent_from_training	MAGICC V5	magicc	106	101	96	2	6	3	4	90.57	103	7	6.8	103	2.91	104	102	97.12	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
species_absent_from_training	CheckM2 1.0.1	checkm2	106	101	100	2	6	3	0	89.62	103	5	4.85	103	0.0	104	105	99.04	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
species_absent_from_training	CoCoPyE 0.5.0	cocopye	106	101	103	2	0	3	3	96.23	103	1	0.97	103	0.97	104	106	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
flagged_contaminated_by_NCBI	MAGICC V5	magicc	7	3	3	2	1	2	3	85.71	3	0	0.0	5	20.0	7	7	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
flagged_contaminated_by_NCBI	CheckM2 1.0.1	checkm2	7	3	6	2	1	2	0	57.14	3	0	0.0	5	0.0	7	7	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
flagged_contaminated_by_NCBI	CoCoPyE 0.5.0	cocopye	7	3	3	2	0	2	4	71.43	3	0	0.0	5	40.0	7	7	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
