competitor	distance	arm	n_reference_pairs	mean_advantage_redundant	mean_advantage_arm	hl_diff_arm_minus_redundant	diff_ci_lo	diff_ci_hi	rank_biserial	p_wilcoxon_paired_by_reference	q_bh	verdict
checkm2	ALL	NON_REDUNDANT(replaced+single)	100	-0.8659	2.73	3.2043	2.0936	4.4415	0.6408	2.6485745381729024e-08	5.0563695728755405e-08	MAGICC advantage LARGER on this non-redundant arm
checkm2	ALL	replaced	100	-0.8659	3.0064	3.545	2.3867	4.8804	0.6737	4.957557153988046e-09	1.0410870023374896e-08	MAGICC advantage LARGER on this non-redundant arm
checkm2	ALL	single	100	-0.8659	2.4537	2.8396	1.8103	3.9979	0.6095	1.2126284110596416e-07	2.182731139907355e-07	MAGICC advantage LARGER on this non-redundant arm
checkm2	species	NON_REDUNDANT(replaced+single)	100	-6.364	-0.0632	6.0226	4.8791	7.2469	0.8966	7.0062856931374904e-15	5.5174499833457734e-14	MAGICC advantage LARGER on this non-redundant arm
checkm2	species	replaced	100	-6.364	-0.2805	5.8946	4.5876	7.0805	0.8851	1.534086101076588e-14	9.664742436782505e-14	MAGICC advantage LARGER on this non-redundant arm
checkm2	species	single	100	-6.364	0.154	6.131	4.8148	7.3701	0.9057	3.7369878171040194e-15	3.363289035393617e-14	MAGICC advantage LARGER on this non-redundant arm
checkm2	genus	NON_REDUNDANT(replaced+single)	100	-5.4139	0.4295	5.545	4.2229	6.954	0.836	3.9197457473169017e-13	1.4526116592997929e-12	MAGICC advantage LARGER on this non-redundant arm
checkm2	genus	replaced	100	-5.4139	0.2836	5.4685	4.0937	6.874	0.8131	1.6784884860821076e-12	5.035465458246323e-12	MAGICC advantage LARGER on this non-redundant arm
checkm2	genus	single	100	-5.4139	0.5755	5.6292	4.3876	6.9371	0.836	3.9197457473169017e-13	1.4526116592997929e-12	MAGICC advantage LARGER on this non-redundant arm
checkm2	family	NON_REDUNDANT(replaced+single)	100	-2.423	1.9376	4.3282	3.0325	5.4464	0.7117	6.464396115495318e-10	1.5083590936155742e-09	MAGICC advantage LARGER on this non-redundant arm
checkm2	family	replaced	100	-2.423	2.2819	4.6492	3.3442	5.95	0.7259	2.929781311502822e-10	7.099085485564531e-10	MAGICC advantage LARGER on this non-redundant arm
checkm2	family	single	100	-2.423	1.5933	3.782	2.5453	5.0518	0.6729	5.166648052934121e-09	1.0499962172091923e-08	MAGICC advantage LARGER on this non-redundant arm
checkm2	order	NON_REDUNDANT(replaced+single)	100	0.9375	3.9611	2.3813	1.1505	3.7541	0.4697	4.5453436621012654e-05	6.225144580703907e-05	MAGICC advantage LARGER on this non-redundant arm
checkm2	order	replaced	100	0.9375	4.479	2.9299	1.5626	4.285	0.5366	3.1785700721120267e-06	4.656974756815295e-06	MAGICC advantage LARGER on this non-redundant arm
checkm2	order	single	100	0.9375	3.4432	1.8444	0.7603	3.0057	0.3945	0.000615769688999271	0.0008081977168115433	MAGICC advantage LARGER on this non-redundant arm
checkm2	class	NON_REDUNDANT(replaced+single)	100	2.7911	5.2096	1.9406	0.9457	3.2907	0.4071	0.0004083960555564732	0.00054742450000123	MAGICC advantage LARGER on this non-redundant arm
checkm2	class	replaced	100	2.7911	5.8581	2.3679	1.2124	3.8244	0.4907	2.0434964969944978e-05	2.8608950957922967e-05	MAGICC advantage LARGER on this non-redundant arm
checkm2	class	single	100	2.7911	4.561	1.4697	0.4185	2.642	0.3184	0.0057025281218700844	0.007185185433556306	MAGICC advantage LARGER on this non-redundant arm
checkm2	phylum	NON_REDUNDANT(replaced+single)	100	5.2769	4.9055	0.1869	-0.7524	1.3881	0.0451	0.695081095368113	0.717870639478543	uniform (no type specificity)
checkm2	phylum	replaced	100	5.2769	5.416	0.596	-0.4239	1.8911	0.1149	0.3187090789328131	0.34031647411469873	uniform (no type specificity)
checkm2	phylum	single	100	5.2769	4.3951	-0.0634	-1.0209	0.9543	-0.0162	0.8878926004885652	0.8878926004885652	uniform (no type specificity)
cocopye	ALL	NON_REDUNDANT(replaced+single)	100	3.0745	3.0351	0.2968	-0.5066	1.1459	0.0899	0.43509678080987746	0.4568516198503713	uniform (no type specificity)
cocopye	ALL	replaced	100	3.0745	4.0553	1.1855	0.3206	2.2751	0.3026	0.008617167118559617	0.01064473585233835	MAGICC advantage LARGER on this non-redundant arm
cocopye	ALL	single	100	3.0745	2.0148	-0.6109	-1.3315	0.0525	-0.2119	0.0658411207762095	0.07681464090557776	uniform (no type specificity)
cocopye	species	NON_REDUNDANT(replaced+single)	100	-3.1906	1.2296	4.6666	3.3724	5.823	0.7489	7.932643922218011e-11	2.0823190295822279e-10	MAGICC advantage LARGER on this non-redundant arm
cocopye	species	replaced	100	-3.1906	0.7381	4.3703	3.152	5.4822	0.7069	8.387779111867955e-10	1.8872503001702898e-09	MAGICC advantage LARGER on this non-redundant arm
cocopye	species	single	100	-3.1906	1.7212	4.9517	3.5685	6.2089	0.7489	7.932643922218011e-11	2.0823190295822279e-10	MAGICC advantage LARGER on this non-redundant arm
cocopye	genus	NON_REDUNDANT(replaced+single)	100	-1.4358	1.3986	3.1268	1.921	4.4033	0.6008	1.8288856923561652e-07	3.1140486113091466e-07	MAGICC advantage LARGER on this non-redundant arm
