stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner	p_wilcoxon_sample_level_historical	q_bh_sample_level_historical	winner_sample_level_historical	p_wilcoxon_reference_mean	n_paired_references	reference_mean_difference	q_bh_reference_mean	supported_reference_test_and_hl_interval	inference_definition	support_decision_changed
type	redundant	magicc_v5	checkm2	600	0.5861	0.0857	1.2615	0.059	-0.012	0.1341	0.007945269782797876	5.4013	4.5355	-4.4415	3.3646	0.010473310168233566	checkm2	0.0081170171266603	0.0105400073137231	checkm2	0.007945269782797876	100	0.8658893008144554	0.010473310168233566	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	redundant	magicc_v5	cocopye	600	-1.3736	-2.3794	-0.629	-0.1627	-0.2392	-0.0901	0.0040917391418793594	5.4013	8.4758	-4.4415	7.9154	0.005562207895992254	magicc_v5	2.3320968698839577e-06	3.757267179257488e-06	magicc_v5	0.0040917391418793594	100	-3.0744605979492876	0.005562207895992254	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	redundant	magicc_v5	deepcheck	600	1.7295	1.0538	2.403	0.2291	0.1549	0.3065	1.0354903615143286e-08	5.4013	3.376	-4.4415	1.7514	1.9984829563259997e-08	deepcheck	6.954395825478488e-17	3.0251621840831424e-16	deepcheck	1.0354903615143286e-08	100	2.025354918103632	1.9984829563259997e-08	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	replaced	magicc_v5	checkm2	600	-1.5302	-2.5888	-0.9566	-0.2964	-0.3546	-0.2361	6.102515231524841e-14	5.4185	8.4248	-4.6254	-8.2905	2.5281848816317203e-13	magicc_v5	4.302267490287791e-33	3.7429727165503776e-32	magicc_v5	6.102515231524841e-14	100	-3.0063518654004637	2.5281848816317203e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	replaced	magicc_v5	cocopye	600	-2.5842	-3.6391	-1.6478	-0.361	-0.4286	-0.3022	6.957422823453746e-14	5.4185	9.4738	-4.6254	-5.5459	2.751344480183981e-13	magicc_v5	2.083902777974263e-40	4.532488542094022e-39	magicc_v5	6.957422823453746e-14	100	-4.055308207379207	2.751344480183981e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	replaced	magicc_v5	deepcheck	600	-1.8256	-2.9293	-1.204	-0.3283	-0.386	-0.2766	1.200308279272379e-15	5.4185	8.6961	-4.6254	-8.6132	1.3053352537087123e-14	magicc_v5	1.0860330524471431e-49	3.1494958520967146e-48	magicc_v5	1.200308279272379e-15	100	-3.2776381624634414	1.3053352537087123e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	single	magicc_v5	checkm2	600	-1.1362	-1.9493	-0.6722	-0.2427	-0.3117	-0.1808	3.7070625821242335e-11	5.2496	7.7032	-4.8639	-7.5896	9.214698418423095e-11	magicc_v5	3.397988074165517e-26	1.8476560153275e-25	magicc_v5	3.7070625821242335e-11	100	-2.45366136865072	9.214698418423095e-11	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	single	magicc_v5	cocopye	600	-0.5653	-1.1592	-0.1349	-0.1371	-0.2132	-0.0653	0.036882423815124916	5.2496	7.2644	-4.8639	-3.0215	0.04650392567994011	magicc_v5	1.2831702193858726e-06	2.106336020501338e-06	magicc_v5	0.036882423815124916	100	-2.0148223336861393	0.04650392567994011	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
type	single	magicc_v5	deepcheck	600	-1.3646	-2.293	-0.8495	-0.2714	-0.341	-0.2081	2.201923197492152e-12	5.2496	8.0682	-4.8639	-8.0215	5.986478693181788e-12	magicc_v5	2.5562493456201267e-36	3.1770527581278715e-35	magicc_v5	2.201923197492152e-12	100	-2.8186688931801456	5.986478693181788e-12	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	species	magicc_v5	checkm2	300	0.7641	0.5037	1.1311	0.2105	0.1601	0.2564	1.5185669321220046e-13	8.0094	5.8459	-7.7579	-5.0604	5.284612923784576e-13	checkm2	2.06887068816346e-12	4.499793746755526e-12	checkm2	1.5185669321220046e-13	100	2.1635031920727528	5.284612923784576e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	species	magicc_v5	cocopye	300	0.6404	0.2177	1.1267	0.1	0.024	0.1703	5.305197767222195e-06	8.0094	7.7656	-7.7579	-2.1868	8.547263069413536e-06	cocopye	0.0003327599217081	0.0004745920194853	cocopye	5.305197767222195e-06	100	0.24378925709448548	8.547263069413536e-06	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
