tool	error_rate_pct	n	true_cont_primary	true_cont_dup_counted	cont_mae_primary	cont_bias_primary	cont_mae_dup_counted	cont_bias_dup_counted
checkm2	5.0	80	6.9103	11.2235	4.9294	0.627	5.1069	-3.6861
checkm2	10.0	80	6.9103	15.5366	6.8569	4.6324	5.4073	-3.9938
checkm2	20.0	80	6.9103	24.1628	12.0168	11.0718	7.364	-6.1807
checkm2	40.0	80	6.9103	41.4153	22.8267	22.7802	12.3292	-11.7248
cocopye	5.0	80	6.9103	11.2235	4.8304	3.7187	3.9934	-0.5945
cocopye	10.0	80	6.9103	15.5366	8.5796	7.8417	5.9669	-0.7846
cocopye	20.0	80	6.9103	24.1628	14.7161	14.6456	8.557	-2.6069
cocopye	40.0	80	6.9103	41.4153	32.5681	32.5681	10.9074	-1.9369
deepcheck	5.0	80	6.9103	11.2235	5.0358	-1.0099	5.9127	-5.323
deepcheck	10.0	80	6.9103	15.5366	6.4018	2.9073	6.5752	-5.719
deepcheck	20.0	80	6.9103	24.1628	11.4797	10.451	7.9297	-6.8015
deepcheck	40.0	80	6.9103	41.4153	27.161	27.161	12.0655	-7.344
magicc_v5	5.0	80	6.9103	11.2235	2.9839	1.5513	4.3704	-2.7619
magicc_v5	10.0	80	6.9103	15.5366	4.2801	2.7128	7.288	-5.9134
magicc_v5	20.0	80	6.9103	24.1628	7.9134	6.6668	13.855	-10.5857
magicc_v5	40.0	80	6.9103	41.4153	19.3299	18.498	19.9332	-16.007
