set	reference_tool	comparison_tool	n	n_clusters	cluster_definition	bootstrap_iterations	seed	classes_absent_in_truth	macro_f1_reference	macro_f1_comparison	statistic	paired_difference	paired_diff_ci_lo	paired_diff_ci_hi	paired_diff_ci_width	ci_excludes_zero	p_cluster_bootstrap_two_sided	p_jackknife_wilcoxon_two_sided	p_jackknife_ttest_two_sided	jackknife_mean_pseudo_value	boot_n_valid	informative_set	q_bh_cluster_bootstrap	q_bh_jackknife_ttest	q_bh_jackknife_wilcoxon	significant_bh_primary	bh_family
set_A_v2	magicc_v5	checkm2	1000	798	dominant reference genome	2000	20268166	low	0.6328182842427168	0.6328344024708957	macro_f1	-1.6118228178929606e-05	-0.012390636344766637	0.01377289105838098	0.02616352740314762	False	0.9545227386306847	0.7623031599185865	0.9983626489772864	-1.363203288538905e-05	2000	False	0.9545227386306847	0.9983626489772864	0.7623031599185865	False	set x comparator cells within one statistic
set_A_v2	magicc_v5	checkm2	1000	798	dominant reference genome	2000	20268166	low	0.9492274263640752	0.9492516037063435	macro_f1_observed_classes_only	-2.4177342268338897e-05	-0.0185859545171499	0.020659336587571468	0.03924529110472137	False	0.9545227386306847				2000	False	0.9545227386306847			False	set x comparator cells within one statistic
set_A_v2	magicc_v5	cocopye	1000	798	dominant reference genome	2000	20268166	low	0.6328182842427168	0.6124442588412142	macro_f1	0.02037402540150257	0.006260846155286548	0.034812379908655045	0.028551533753368497	True	0.005997001499250375	1.9475590199064346e-15	0.00551495115048974	0.020358728892396812	2000	False	0.008995502248875561	0.009191585250816234	4.8688975497660865e-15	True	set x comparator cells within one statistic
set_A_v2	magicc_v5	cocopye	1000	798	dominant reference genome	2000	20268166	low	0.9492274263640752	0.9186663882618213	macro_f1_observed_classes_only	0.030561038102253857	0.009391269232929877	0.05221856986298257	0.04282730063005269	True	0.005997001499250375				2000	False	0.008995502248875561			True	set x comparator cells within one statistic
set_A_v2	magicc_v5	deepcheck	1000	798	dominant reference genome	2000	20268166	low	0.6328182842427168	0.6300099814771594	macro_f1	0.0028083027655574355	-0.00964173851460505	0.01570995022924004	0.02535168874384509	False	0.7106446776611695	0.3206077724283589	0.670853980536665	0.002809144584814541	2000	False	0.7614050117798243	0.7187721220035697	0.34350832760181316	False	set x comparator cells within one statistic
set_A_v2	magicc_v5	deepcheck	1000	798	dominant reference genome	2000	20268166	low	0.9492274263640752	0.945014972215739	macro_f1_observed_classes_only	0.004212454148336153	-0.014462607771907632	0.023564925343860062	0.038027533115767696	False	0.7106446776611695				2000	False	0.7614050117798243			False	set x comparator cells within one statistic
set_B_v2	magicc_v5	checkm2	1000	803	dominant reference genome	2000	20358292		0.7782894612162905	0.5983669477860973	macro_f1	0.17992251343019317	0.057466800294905834	0.2914088111471169	0.23394201085221109	True	0.0009995002498750624	1.1695799020655796e-123	0.008170056609907099	0.18921427667306684	2000	False	0.0016658337497917708	0.012255084914860648	8.771849265491847e-123	True	set x comparator cells within one statistic
set_B_v2	magicc_v5	checkm2	1000	803	dominant reference genome	2000	20358292		0.7782894612162905	0.5983669477860973	macro_f1_observed_classes_only	0.17992251343019317	0.057466800294905834	0.2914088111471169	0.23394201085221109	True	0.0009995002498750624				2000	False	0.0016658337497917708			True	set x comparator cells within one statistic
set_B_v2	magicc_v5	cocopye	1000	803	dominant reference genome	2000	20358292		0.7782894612162905	0.7348654044633944	macro_f1	0.04342405675289607	-0.017343367319991476	0.13160687681222427	0.14895024413221575	False	0.3818090954522739	9.960178744874809e-127	0.24786537192932206	0.049043319547333805	2000	False	0.4405489562910852	0.2888806245504043	1.4940268117312214e-125	False	set x comparator cells within one statistic
set_B_v2	magicc_v5	cocopye	1000	803	dominant reference genome	2000	20358292		0.7782894612162905	0.7348654044633944	macro_f1_observed_classes_only	0.04342405675289607	-0.017343367319991476	0.13160687681222427	0.14895024413221575	False	0.3818090954522739				2000	False	0.4405489562910852			False	set x comparator cells within one statistic
set_B_v2	magicc_v5	deepcheck	1000	803	dominant reference genome	2000	20358292		0.7782894612162905	0.4990316551340173	macro_f1	0.2792578060822732	0.14808140316834756	0.39945586095100094	0.2513744577826534	True	0.0009995002498750624	1.7724268138072218e-120	0.0001555539001240421	0.2885499122987865	2000	False	0.0016658337497917708	0.0002916635627325789	8.862134069036109e-120	True	set x comparator cells within one statistic
set_B_v2	magicc_v5	deepcheck	1000	803	dominant reference genome	2000	20358292		0.7782894612162905	0.4990316551340173	macro_f1_observed_classes_only	0.2792578060822732	0.14808140316834756	0.39945586095100094	0.2513744577826534	True	0.0009995002498750624				2000	False	0.0016658337497917708			True	set x comparator cells within one statistic
set_C_clean	magicc_v5	checkm2	1000	100	dominant reference genome	2000	20329249		0.6921733720000319	0.263456491102284	macro_f1	0.42871688089774795	0.35270719592181854	0.5068214466983718	0.15411425077655327	True	0.0009995002498750624	1.596532962148787e-13	5.027957996154601e-19	0.4303035642772637	2000	True	0.0016658337497917708	1.8854842485579754e-18	2.6608882702479784e-13	True	set x comparator cells within one statistic
set_C_clean	magicc_v5	checkm2	1000	100	dominant reference genome	2000	20329249		0.6921733720000319	0.263456491102284	macro_f1_observed_classes_only	0.42871688089774795	0.35270719592181854	0.5068214466983718	0.15411425077655327	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
set_C_clean	magicc_v5	cocopye	1000	100	dominant reference genome	2000	20329249		0.6921733720000319	0.37949239562142784	macro_f1	0.3126809763786041	0.24187019001080745	0.3796162243908903	0.13774603438008287	True	0.0009995002498750624	2.2395795968183323e-11	8.414617186693631e-14	0.3145637804508099	2000	True	0.0016658337497917708	2.1036542966734078e-13	3.3593693952274984e-11	True	set x comparator cells within one statistic
set_C_clean	magicc_v5	cocopye	1000	100	dominant reference genome	2000	20329249		0.6921733720000319	0.37949239562142784	macro_f1_observed_classes_only	0.3126809763786041	0.24187019001080745	0.3796162243908903	0.13774603438008287	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
set_C_clean	magicc_v5	deepcheck	1000	100	dominant reference genome	2000	20329249		0.6921733720000319	0.24307819995475768	macro_f1	0.44909517204527427	0.37033614252291047	0.5183857655292102	0.14804962300629976	True	0.0009995002498750624	5.161542241793306e-14	3.8182587568523524e-20	0.45055512249300206	2000	True	0.0016658337497917708	1.9091293784261764e-19	9.677891703362449e-14	True	set x comparator cells within one statistic
set_C_clean	magicc_v5	deepcheck	1000	100	dominant reference genome	2000	20329249		0.6921733720000319	0.24307819995475768	macro_f1_observed_classes_only	0.44909517204527427	0.37033614252291047	0.5183857655292102	0.14804962300629976	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
set_D_clean	magicc_v5	checkm2	1000	100	dominant reference genome	2000	20308827		0.7881086301581437	0.38240339829634906	macro_f1	0.40570523186179464	0.31648719028319955	0.48548628562289114	0.1689990953396916	True	0.0009995002498750624	4.244758911436865e-11	1.9622189195563832e-15	0.4085383290389434	2000	True	0.0016658337497917708	5.886656758669149e-15	5.788307606504816e-11	True	set x comparator cells within one statistic
set_D_clean	magicc_v5	checkm2	1000	100	dominant reference genome	2000	20308827		0.7881086301581437	0.38240339829634906	macro_f1_observed_classes_only	0.40570523186179464	0.31648719028319955	0.48548628562289114	0.1689990953396916	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
set_D_clean	magicc_v5	cocopye	1000	100	dominant reference genome	2000	20308827		0.7881086301581437	0.7263498646618851	macro_f1	0.06175876549625858	-0.04721857304718517	0.16149542883194137	0.20871400187912653	False	0.2698650674662669	0.00019192450788507712	0.2503632079436837	0.06332885346245723	2000	True	0.33733133433283363	0.2888806245504043	0.0002399056348563464	False	set x comparator cells within one statistic
set_D_clean	magicc_v5	cocopye	1000	100	dominant reference genome	2000	20308827		0.7881086301581437	0.7263498646618851	macro_f1_observed_classes_only	0.06175876549625858	-0.04721857304718517	0.16149542883194137	0.20871400187912653	False	0.2698650674662669				2000	True	0.33733133433283363			False	set x comparator cells within one statistic
set_D_clean	magicc_v5	deepcheck	1000	100	dominant reference genome	2000	20308827		0.7881086301581437	0.2206705817033967	macro_f1	0.567438048454747	0.47362449482907293	0.6466340490768011	0.17300955424772818	True	0.0009995002498750624	5.4678775458610295e-15	2.5316601682475182e-23	0.5705940347154594	2000	True	0.0016658337497917708	1.8987451261856387e-22	1.1716880455416492e-14	True	set x comparator cells within one statistic
set_D_clean	magicc_v5	deepcheck	1000	100	dominant reference genome	2000	20308827		0.7881086301581437	0.2206705817033967	macro_f1_observed_classes_only	0.567438048454747	0.47362449482907293	0.6466340490768011	0.17300955424772818	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
set_E	magicc_v5	checkm2	1000	785	dominant reference genome	2000	20357489		0.9031822643838714	0.8139948630335995	macro_f1	0.08918740135027192	0.05323147344786664	0.12540332780783148	0.07217185435996484	True	0.0009995002498750624	2.5129093184167153e-29	3.2523873908979983e-06	0.08911992385445582	2000	True	0.0016658337497917708	6.9694015519242814e-06	7.538727955250146e-29	True	set x comparator cells within one statistic
set_E	magicc_v5	checkm2	1000	785	dominant reference genome	2000	20357489		0.9031822643838714	0.8139948630335995	macro_f1_observed_classes_only	0.08918740135027192	0.05323147344786664	0.12540332780783148	0.07217185435996484	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
set_E	magicc_v5	cocopye	1000	785	dominant reference genome	2000	20357489		0.9031822643838714	0.8781401095971031	macro_f1	0.0250421547867683	-0.011078589535758854	0.06377651021067297	0.07485509974643183	False	0.18190904547726136	0.3204607379995851	0.19866547971537793	0.025006194384057507	2000	True	0.2480577892871746	0.27090747233915174	0.34350832760181316	False	set x comparator cells within one statistic
set_E	magicc_v5	cocopye	1000	785	dominant reference genome	2000	20357489		0.9031822643838714	0.8781401095971031	macro_f1_observed_classes_only	0.0250421547867683	-0.011078589535758854	0.06377651021067297	0.07485509974643183	False	0.18190904547726136				2000	True	0.2480577892871746			False	set x comparator cells within one statistic
set_E	magicc_v5	deepcheck	1000	785	dominant reference genome	2000	20357489		0.9031822643838714	0.694831742140854	macro_f1	0.20835052224301742	0.17040943485441323	0.24720305065530682	0.07679361580089358	True	0.0009995002498750624	1.66207533107479e-54	1.228212675657806e-24	0.20826705214611324	2000	True	0.0016658337497917708	1.842319013486709e-23	6.232782491530462e-54	True	set x comparator cells within one statistic
set_E	magicc_v5	deepcheck	1000	785	dominant reference genome	2000	20357489		0.9031822643838714	0.694831742140854	macro_f1_observed_classes_only	0.20835052224301742	0.17040943485441323	0.24720305065530682	0.07679361580089358	True	0.0009995002498750624				2000	True	0.0016658337497917708			True	set x comparator cells within one statistic
