set	tool	recomputed	definitive_ws5	abs_diff
set_A_v2	magicc_v5	0.6328182842427168	0.6328182842427168	0.0
set_A_v2	checkm2	0.6328344024708957	0.6328344024708957	0.0
set_A_v2	cocopye	0.6124442588412142	0.6124442588412142	0.0
set_A_v2	deepcheck	0.6300099814771594	0.6300099814771594	0.0
set_B_v2	magicc_v5	0.7782894612162905	0.7782894612162905	0.0
set_B_v2	checkm2	0.5983669477860973	0.5983669477860973	0.0
set_B_v2	cocopye	0.7348654044633944	0.7348654044633944	0.0
set_B_v2	deepcheck	0.4990316551340173	0.4990316551340173	0.0
set_C_clean	magicc_v5	0.6921733720000319	0.6921733720000319	0.0
set_C_clean	checkm2	0.263456491102284	0.263456491102284	0.0
set_C_clean	cocopye	0.37949239562142784	0.3794923956214278	5.551115123125783e-17
set_C_clean	deepcheck	0.24307819995475768	0.2430781999547576	8.326672684688674e-17
set_D_clean	magicc_v5	0.7881086301581437	0.7881086301581437	0.0
set_D_clean	checkm2	0.38240339829634906	0.382403398296349	5.551115123125783e-17
set_D_clean	cocopye	0.7263498646618851	0.7263498646618851	0.0
set_D_clean	deepcheck	0.2206705817033967	0.2206705817033967	0.0
set_E	magicc_v5	0.9031822643838714	0.9031822643838714	0.0
set_E	checkm2	0.8139948630335995	0.8139948630335995	0.0
set_E	cocopye	0.8781401095971031	0.8781401095971031	0.0
set_E	deepcheck	0.694831742140854	0.694831742140854	0.0
