set	reference_tool	comparison_tool	n	n_clusters	cluster_definition	bootstrap_iterations	seed	classes_absent_in_truth	macro_f1_reference	macro_f1_comparison	statistic	paired_difference	paired_diff_ci_lo	paired_diff_ci_hi	paired_diff_ci_width	ci_excludes_zero	p_cluster_bootstrap_two_sided	p_jackknife_wilcoxon_two_sided	p_jackknife_ttest_two_sided	jackknife_mean_pseudo_value	boot_n_valid	informative_set	q_bh_cluster_bootstrap	q_bh_jackknife_ttest	q_bh_jackknife_wilcoxon	significant_bh_primary	bh_family
set_A_v2	magicc_v5	checkm2	1000	798	dominant reference genome	2000	20268166	low	0.9247706422018348	0.9391304347826087	f1__high	-0.014359792580773911	-0.04284525749920767	0.01520800361983847	0.05805326111904614	False	0.32283858070964516	0.7703363227613025	0.32487213402434745	-0.014336147156897641	2000	False	0.40354822588705647	0.4060901675304343	0.7703363227613025	False	set x comparator cells within one statistic
set_A_v2	magicc_v5	checkm2	1000	798	dominant reference genome	2000	20268166	low	0.9736842105263157	0.9593727726300784	f1__medium	0.014311437896237345	0.0020630044425579254	0.02787064307048239	0.025807638627924467	True	0.01999000499750125	5.375177096338417e-06	0.03025184586963714	0.014295251058454042	2000	False	0.024987506246876564	0.037814807337046424	6.7189713704230215e-06	True	set x comparator cells within one statistic
set_A_v2	magicc_v5	checkm2	1000	798	dominant reference genome	2000	20268166	low	0.0	0.0	f1__low	0.0	0.0	0.0	0.0	False	1.0			0.0	2000	False	1.0			False	set x comparator cells within one statistic
set_A_v2	magicc_v5	cocopye	1000	798	dominant reference genome	2000	20268166	low	0.9247706422018348	0.9077757685352622	f1__high	0.016994873666572596	-0.014107409077945322	0.05043392698733335	0.06454133606527868	False	0.30684657671164417	0.6811076478968512	0.3006120878251784	0.016981945962949087	2000	False	0.40354822588705647	0.4060901675304343	0.7297581941751977	False	set x comparator cells within one statistic
set_A_v2	magicc_v5	cocopye	1000	798	dominant reference genome	2000	20268166	low	0.9736842105263157	0.9295570079883805	f1__medium	0.04412720253793523	0.02842959617058917	0.06036574308930788	0.03193614691871871	True	0.0009995002498750624	0.10763310593926916	9.21644173610916e-08	0.044094240714343966	2000	False	0.0016658337497917708	1.97495180059482e-07	0.10763310593926916	True	set x comparator cells within one statistic
set_A_v2	magicc_v5	cocopye	1000	798	dominant reference genome	2000	20268166	low	0.0	0.0	f1__low	0.0	0.0	0.0	0.0	False	1.0			0.0	2000	False	1.0			False	set x comparator cells within one statistic
set_A_v2	magicc_v5	deepcheck	1000	798	dominant reference genome	2000	20268166	low	0.9247706422018348	0.9358752166377816	f1__high	-0.011104574435946812	-0.03777481623354222	0.016632817348917663	0.05440763358245988	False	0.447776111944028	0.5707153701294924	0.4399511788118019	-0.011085747058667491	2000	False	0.5166647445508015	0.5076359755520792	0.6585177347647988	False	set x comparator cells within one statistic
set_A_v2	magicc_v5	deepcheck	1000	798	dominant reference genome	2000	20268166	low	0.9736842105263157	0.9541547277936964	f1__medium	0.01952948273261934	0.006668464885151943	0.033084109478161636	0.026415644593009692	True	0.0029985007496251873	5.795470700470076e-05	0.004380555311608678	0.019513180813278578	2000	False	0.004497751124437781	0.006570832967413016	6.209432893360795e-05	True	set x comparator cells within one statistic
set_A_v2	magicc_v5	deepcheck	1000	798	dominant reference genome	2000	20268166	low	0.0	0.0	f1__low	0.0	0.0	0.0	0.0	False	1.0			0.0	2000	False	1.0			False	set x comparator cells within one statistic
set_B_v2	magicc_v5	checkm2	1000	803	dominant reference genome	2000	20358292		0.9743589743589743	0.8752735229759301	f1__high	0.09908545138304425	0.06588310979898244	0.1336782874615292	0.06779517766254677	True	0.0009995002498750624	1.2331242271199967e-08	2.8028048583638076e-08	0.09897491916104767	2000	False	0.0037481259370314842	1.4014024291819037e-07	3.082810567799992e-08	True	set x comparator cells within one statistic
set_B_v2	magicc_v5	checkm2	1000	803	dominant reference genome	2000	20358292		0.3636363636363636	0.021276595744680847	f1__medium	0.34235976789168276	0.0	0.6666666666666666	0.6666666666666666	False	0.25287356321839083	2.08388905229658e-149	0.07679622673257572	0.37040884657056417	2000	False	0.27093596059113306	0.08316404896040168	1.04194452614829e-148	False	set x comparator cells within one statistic
set_B_v2	magicc_v5	checkm2	1000	803	dominant reference genome	2000	20358292		0.9968730456535334	0.898550724637681	f1__low	0.09832232101585237	0.08129152906505305	0.11488497870704988	0.03359344964199683	True	0.0009995002498750624	0.293799321722655	2.6878904758404477e-27	0.09825906428737527	2000	False	0.0014992503748125937	4.60781224429791e-27	0.293799321722655	True	set x comparator cells within one statistic
set_B_v2	magicc_v5	cocopye	1000	803	dominant reference genome	2000	20358292		0.9743589743589743	0.9899497487437187	f1__high	-0.015590774384744321	-0.03556731879815196	0.0025324902735331545	0.038099809071685115	False	0.08695652173913043	6.2228300384226956e-06	0.10784871853616239	-0.01555145489384428	2000	False	0.14492753623188406	0.17974786422693734	1.0371383397371159e-05	False	set x comparator cells within one statistic
set_B_v2	magicc_v5	cocopye	1000	803	dominant reference genome	2000	20358292		0.3636363636363636	0.2222222222222222	f1__medium	0.14141414141414138	-0.02569444444444446	0.39754914972306266	0.4232435941675071	False	0.37181409295352325	1.4787873002545248e-160	0.19048375896101694	0.15823808371607417	2000	False	0.37181409295352325	0.19048375896101694	1.1090904751908936e-159	False	set x comparator cells within one statistic
