figure	dataset	tool	quantity	n	minimum	maximum	old_axis_min	old_axis_max	old_offscale_n	final_axis_min	final_axis_max	final_offscale_n
Figure2d	motivating_v2/set_B	checkm2	predicted_contamination	1000	0.0	133.61	-5.0	105.0	3	-5.0	350.0	0
Figure2d	motivating_v2/set_B	cocopye	predicted_contamination	1000	0.0	176.40051200564972	-5.0	105.0	30	-5.0	350.0	0
Figure2d	motivating_v2/set_B	deepcheck	predicted_contamination	1000	-1.4637775421142578	314.5854797363281	-5.0	105.0	25	-5.0	350.0	0
Figure2e	motivating_v2/set_C	checkm2	predicted_contamination	1000	0.0	213.31	-5.0	105.0	4	-5.0	350.0	0
Figure2e	motivating_v2/set_C	cocopye	predicted_contamination	1000	-9.42221512352198e-08	199.4496855345912	-5.0	105.0	32	-5.0	350.0	0
Figure2e	motivating_v2/set_C	deepcheck	predicted_contamination	1000	-1.2397422790527344	317.63092041015625	-5.0	105.0	32	-5.0	350.0	0
FigureS1	set_A_v2	magicc_v5	predicted_completeness	1000	50.92222	99.98264	-5.0	105.0	0	-5.0	125.0	0
FigureS1	set_A_v2	checkm2	predicted_completeness	1000	41.14	100.0	-5.0	105.0	0	-5.0	125.0	0
FigureS1	set_A_v2	cocopye	predicted_completeness	1000	30.16304347826087	100.0	-5.0	105.0	0	-5.0	125.0	0
FigureS1	set_A_v2	deepcheck	predicted_completeness	1000	33.99748611450195	113.01619720458984	-5.0	105.0	7	-5.0	125.0	0
FigureS1	set_A_v2	magicc_v5	predicted_contamination	1000	0.0006735325	41.742214	-5.0	105.0	0	-25.0	105.0	0
FigureS1	set_A_v2	checkm2	predicted_contamination	1000	0.0	2.25	-5.0	105.0	0	-25.0	105.0	0
FigureS1	set_A_v2	cocopye	predicted_contamination	1000	-8.189508296193622e-08	57.42574257425742	-5.0	105.0	0	-25.0	105.0	0
FigureS1	set_A_v2	deepcheck	predicted_contamination	1000	-1.4433003664016724	2.547562837600708	-5.0	105.0	0	-25.0	105.0	0
FigureS2	set_B_v2	magicc_v5	predicted_completeness	1000	63.62578	99.990814	-5.0	105.0	0	-5.0	175.0	0
FigureS2	set_B_v2	checkm2	predicted_completeness	1000	69.78	100.0	-5.0	105.0	0	-5.0	175.0	0
FigureS2	set_B_v2	cocopye	predicted_completeness	1000	57.544527709029104	100.0	-5.0	105.0	0	-5.0	175.0	0
FigureS2	set_B_v2	deepcheck	predicted_completeness	1000	67.92790222167969	151.4661865234375	-5.0	105.0	306	-5.0	175.0	0
FigureS2	set_B_v2	magicc_v5	predicted_contamination	1000	0.007855892	91.61307	-5.0	105.0	0	-25.0	250.0	0
FigureS2	set_B_v2	checkm2	predicted_contamination	1000	0.0	102.12	-5.0	105.0	0	-25.0	250.0	0
FigureS2	set_B_v2	cocopye	predicted_contamination	1000	0.0	200.5192171376071	-5.0	105.0	34	-25.0	250.0	0
FigureS2	set_B_v2	deepcheck	predicted_contamination	1000	-0.8126951456069946	228.360107421875	-5.0	105.0	27	-25.0	250.0	0
FigureS3	set_C_clean	magicc_v5	predicted_completeness	1000	51.4498	99.953384	-5.0	105.0	0	-5.0	125.0	0
