cohort	target	evidence	spearman_rho	spearman_p	n	partial_rho_novelty_controlled	partial_p	partial_n	controls
disagreement_141	v5_contamination	orig_phylum_contam_pct	0.2009	0.016901020295144793	141	0.1099	0.19938468926464362	141	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	v5_contamination	divergent_dup_families_per_100_profiles	0.0136	0.8724789623506424	141	0.0759	0.3764958633030078	141	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	v5_contamination	n_dup_pairs_diff_contig	-0.024	0.7777484000646794	141	0.0514	0.5491802491977559	141	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	v5_contamination	gunc_pg21_css	-0.1557	0.7127617079991629	8	-0.7559	0.1393400625772478	8	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	checkm2_contamination	orig_phylum_contam_pct	-0.0919	0.27868074256305786	141	0.0341	0.6915535533034665	141	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	checkm2_contamination	divergent_dup_families_per_100_profiles	0.4119	3.8961028881374963e-07	141	0.3925	1.9230032510709755e-06	141	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	checkm2_contamination	n_dup_pairs_diff_contig	0.4573	1.193773023866023e-08	141	0.4297	1.4487183478583498e-07	141	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	checkm2_contamination	gunc_pg21_css	0.3713	0.36520205801977806	8	0.4778	0.4157037509665969	8	informative_kmer_density;mean_contig_confidence_bpw;frac_profiles_detected
disagreement_141	v5_contamination	informative_kmer_density	-0.251	0.002675996202404449	141				NONE (novelty association test)
disagreement_141	v5_contamination	mean_contig_confidence_bpw	-0.3705	6.10704666421535e-06	141				NONE (novelty association test)
disagreement_141	v5_contamination	frac_profiles_detected	0.1186	0.16130684609133503	141				NONE (novelty association test)
disagreement_141	v5_contamination	unclassified_pct	-0.0144	0.8658811867987664	141				NONE (novelty association test)
disagreement_141	checkm2_contamination	informative_kmer_density	0.2326	0.005515156220483914	141				NONE (novelty association test)
disagreement_141	checkm2_contamination	mean_contig_confidence_bpw	0.3002	0.00029839091620295833	141				NONE (novelty association test)
disagreement_141	checkm2_contamination	frac_profiles_detected	-0.0857	0.3121903148358365	141				NONE (novelty association test)
disagreement_141	checkm2_contamination	unclassified_pct	0.1463	0.08350122731596557	141				NONE (novelty association test)
disagreement_141	orig_phylum_contam_pct	informative_kmer_density	-0.6046	2.0432023077200055e-15	141				NONE (novelty association test)
disagreement_141	orig_phylum_contam_pct	mean_contig_confidence_bpw	-0.202	0.016291537215121256	141				NONE (novelty association test)
disagreement_141	orig_phylum_contam_pct	frac_profiles_detected	-0.188	0.025590078178048942	141				NONE (novelty association test)
disagreement_141	orig_phylum_contam_pct	unclassified_pct	0.4921	5.760703676624489e-10	141				NONE (novelty association test)
