set	db	db_label	power_stratum	score	n	n_clusters	spearman_rho_vs_true_contamination	spearman_ci_lo	spearman_ci_hi	p_naive_genome_level	p_cluster_level	auroc_ge5pct	auroc_ge5pct_ci_lo	auroc_ge5pct_ci_hi	auroc_ge10pct	auroc_ge10pct_ci_lo	auroc_ge10pct_ci_hi	p_cluster_level_bh
set_B_v2	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 CSS	1000	803	0.5717	0.5166	0.6199	7.579581455767638e-88	7.188366416430037e-71	0.9994	0.9986	0.9999	0.996	0.989	0.9997	2.464582771347441e-70
set_B_v2	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 contamination_portion	1000	803	0.9246	0.9058	0.9407	0.0	0.0	0.9837	0.9673	0.9964	0.9839	0.969	0.9961	0.0
set_B_v2	progenomes_2.1	proGenomes 2.1	all	MAGICC V5 predicted contamination	1000	803	0.9586	0.952	0.9634	0.0	0.0	0.997	0.9929	1.0	0.9971	0.9931	1.0	0.0
set_B_v2	progenomes_2.1	proGenomes 2.1	all	CheckM2 predicted contamination	1000	803	0.7941	0.7614	0.8215	5.077560003538025e-218	2.2408792288463357e-175	0.996	0.9927	0.9987	0.9959	0.9921	0.9986	9.490782616290363e-175
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 CSS	993	798	0.5665	0.5137	0.6201	2.3627151351899396e-85	6.413463964106215e-69	0.9995	0.9987	0.9999	0.9961	0.9891	0.9997	2.0989518427983978e-68
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 contamination_portion	993	798	0.9318	0.9138	0.946	0.0	0.0	0.9878	0.9744	0.9974	0.9879	0.9737	0.9974	0.0
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	MAGICC V5 predicted contamination	993	798	0.9601	0.954	0.9645	0.0	0.0	0.9982	0.9947	1.0	0.9983	0.9952	1.0	0.0
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	CheckM2 predicted contamination	993	798	0.7933	0.7625	0.8208	8.645872922663632e-216	1.0189086635712416e-173	0.996	0.9926	0.9986	0.9959	0.9921	0.9987	4.075634654284966e-173
set_C_clean	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 CSS	1000	100	0.3209	0.2381	0.4147	2.1803273600219735e-25	0.0011324010718408335	0.889	0.8107	0.9565	0.8144	0.7552	0.8704	0.0014304013539042108
set_C_clean	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 contamination_portion	1000	100	0.366	0.2468	0.4843	4.62634173249578e-33	0.00018040634686481452	0.7104	0.5943	0.834	0.7247	0.6462	0.8027	0.00023195101739761868
set_C_clean	progenomes_2.1	proGenomes 2.1	all	MAGICC V5 predicted contamination	1000	100	0.8915	0.8596	0.9191	0.0	1.758251117468879e-35	0.9574	0.9375	0.9758	0.9651	0.9498	0.9785	4.2198026819253094e-35
set_C_clean	progenomes_2.1	proGenomes 2.1	all	CheckM2 predicted contamination	1000	100	0.6103	0.5658	0.6536	4.4576555370270804e-103	1.577870807043248e-11	0.9082	0.8776	0.9356	0.8976	0.8726	0.9201	2.4697108284155188e-11
set_C_clean	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 CSS	681	99	0.0588	-0.0449	0.1711	0.125523654595901	0.5634245857121928	0.7764	0.5719	0.9428	0.6347	0.4886	0.7718	0.5634245857121928
set_C_clean	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 contamination_portion	681	99	0.4671	0.3505	0.5696	3.318160459052974e-38	1.0932926182866534e-06	0.9779	0.9505	0.9993	0.9243	0.8399	0.9919	1.5137897791661355e-06
set_C_clean	progenomes_2.1	proGenomes 2.1	powered	MAGICC V5 predicted contamination	681	99	0.881	0.8509	0.9074	6.228587773019136e-223	2.6668593575879932e-33	0.9912	0.9812	0.9983	0.9796	0.9587	0.9952	6.000433554572985e-33
set_C_clean	progenomes_2.1	proGenomes 2.1	powered	CheckM2 predicted contamination	681	99	0.5442	0.4821	0.6003	9.393983860722343e-54	5.824831819001031e-09	0.9266	0.8807	0.9665	0.9084	0.8655	0.945	8.387757819361485e-09
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	GUNC 1.1.1 CSS	319	67	0.4989	0.3718	0.6199	1.7583665937473384e-21	1.7288922573842592e-05	0.9078	0.8255	0.9695	0.856	0.7976	0.908	2.3051896765123456e-05
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	GUNC 1.1.1 contamination_portion	319	67	0.3242	0.153	0.502	3.055912225084312e-09	0.007440367158855949	0.6344	0.5057	0.7891	0.6596	0.5693	0.7579	0.008928440590627139
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	MAGICC V5 predicted contamination	319	67	0.8522	0.7861	0.9024	3.611471780255896e-91	6.003131956414392e-20	0.8975	0.8515	0.9438	0.9295	0.8956	0.9606	1.1082705150303494e-19
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	CheckM2 predicted contamination	319	67	0.6961	0.618	0.7572	1.5312604070420887e-47	6.163613562883757e-11	0.8671	0.8106	0.9104	0.8642	0.8214	0.9048	9.4421314154815e-11
set_C_clean	gtdb_95	GTDB r95	all	GUNC 1.1.1 CSS	1000	100	0.2002	0.1337	0.2689	1.6693117029429386e-10	0.0457704551138126	0.8319	0.7551	0.9037	0.7107	0.6498	0.7708	0.052309091558642974
set_C_clean	gtdb_95	GTDB r95	all	GUNC 1.1.1 contamination_portion	1000	100	0.8466	0.817	0.872	1.4842574038933842e-275	1.3756200229134002e-28	0.9876	0.98	0.9942	0.9855	0.9777	0.9921	2.8298469042789947e-28
set_C_clean	gtdb_95	GTDB r95	all	MAGICC V5 predicted contamination	1000	100	0.8915	0.8582	0.919	0.0	1.758251117468879e-35	0.9574	0.9373	0.9766	0.9651	0.9507	0.9782	4.2198026819253094e-35
