set	power_stratum	n_paired	metric	unit	progenomes_2.1	gtdb_95	delta_gtdb95_minus_progenomes	delta_ci_lo	delta_ci_hi
set_C_clean	all_paired	1000	fraction powered	proportion	0.681	0.88	0.199	0.156	0.248
set_C_clean	all_paired	1000	fraction hard-unpowered (CSS forcibly zeroed)	proportion	0.001	0.0	-0.001	-0.003	0.0
set_C_clean	all_paired	1000	median reference_representation_score	score	0.56	0.64	0.08	0.06	0.1001
set_C_clean	all_paired	1000	median genes_retained_index	index	0.74	0.83	0.09	0.07	0.11
set_C_clean	all_paired	1000	median mean AA hit identity	identity	0.77	0.8	0.03	0.02	0.05
set_C_clean	all_paired	1000	median n_genes_mapped	genes	992.5	1021.5	29.0	15.5	37.5
set_C_clean	all_paired	1000	overall GUNC fail rate	proportion	0.862	0.969	0.107	0.072	0.145
set_C_clean	all_paired	1000	median CSS	score	0.8	1.0	0.2	0.14	0.25
set_C_clean	all_paired	1000	Spearman CSS vs true contamination	rho	0.3209	0.2002	-0.1207	-0.2055	-0.0411
set_C_clean	all_paired	1000	detection sensitivity at >=5 % contamination	proportion	0.8998	0.9989	0.0992	0.0667	0.1354
set_C_clean	all_paired	1000	detection specificity at >=5 % contamination	proportion	0.8269	0.5769	-0.25	-0.3833	-0.1064
set_C_clean	all_paired	1000	detection sensitivity at >=10 % contamination	proportion	0.9233	1.0	0.0767	0.0457	0.1099
set_C_clean	all_paired	1000	detection specificity at >=10 % contamination	proportion	0.69	0.31	-0.38	-0.4952	-0.2735
set_C_clean	powered_both_dbs	663	fraction powered	proportion	1.0	1.0	0.0	0.0	0.0
set_C_clean	powered_both_dbs	663	fraction hard-unpowered (CSS forcibly zeroed)	proportion	0.0	0.0	0.0	0.0	0.0
set_C_clean	powered_both_dbs	663	median reference_representation_score	score	0.62	0.69	0.07	0.05	0.09
set_C_clean	powered_both_dbs	663	median genes_retained_index	index	0.79	0.86	0.07	0.06	0.1
set_C_clean	powered_both_dbs	663	median mean AA hit identity	identity	0.81	0.83	0.02	0.01	0.03
set_C_clean	powered_both_dbs	663	median n_genes_mapped	genes	1063.0	1079.0	16.0	10.0	34.0
set_C_clean	powered_both_dbs	663	overall GUNC fail rate	proportion	0.9563	0.9864	0.0302	0.0138	0.0478
set_C_clean	powered_both_dbs	663	median CSS	score	0.88	1.0	0.12	0.03	0.165
set_C_clean	powered_both_dbs	663	Spearman CSS vs true contamination	rho	0.0554	-0.0086	-0.064	-0.1723	0.0288
set_C_clean	powered_both_dbs	663	detection sensitivity at >=5 % contamination	proportion	0.9707	0.9985	0.0277	0.013	0.0462
set_C_clean	powered_both_dbs	663	detection specificity at >=5 % contamination	proportion	0.7143	0.5714	-0.1429	-0.375	0.0
set_C_clean	powered_both_dbs	663	detection sensitivity at >=10 % contamination	proportion	0.9763	1.0	0.0237	0.0096	0.0402
set_C_clean	powered_both_dbs	663	detection specificity at >=10 % contamination	proportion	0.4516	0.2903	-0.1613	-0.3636	0.0294
set_D_clean	all_paired	1000	fraction powered	proportion	0.945	0.974	0.029	0.01	0.054
