set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	balanced_accuracy	cohen_kappa	class_balance_true
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	high	276	0.276	269	0.9368029739776952	0.9063612947714276	0.9632386608489548	0.9130434782608696	0.876247050893158	0.946503628310244	0.9247706422018348	0.8997979876860857	0.9467685840862315	0.6328182842427168	0.6224768263485305	0.6425996990608662	0.955	0.9420189766994956	0.8887449440757919	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	low	0	0.0	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6328182842427168	0.6224768263485305	0.6425996990608662	0.955	0.9420189766994956	0.8887449440757919	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	medium	724	0.724	720	0.9763888888888888	0.9645283141355576	0.9872168144797836	0.9709944751381216	0.9574168965189273	0.9826678191489362	0.9736842105263156	0.9645086815656478	0.9820692127054752	0.6328182842427168	0.6224768263485305	0.6425996990608662	0.955	0.9420189766994956	0.8887449440757919	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	high	276	0.276	299	0.903010033444816	0.8668828019075226	0.9342116645419778	0.9782608695652174	0.9594582128253716	0.9930313588850174	0.9391304347826088	0.916057697665348	0.9577476220962136	0.6328344024708957	0.6222418172612343	0.6415118729672281	0.943	0.9539094403074706	0.8661594815440968	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	low	0	0.0	22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6328344024708957	0.6222418172612343	0.6415118729672281	0.943	0.9539094403074706	0.8661594815440968	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	medium	724	0.724	679	0.9911634756995582	0.9836059456814288	0.9971056439942112	0.9295580110497238	0.9100654362416108	0.9470016315717664	0.9593727726300784	0.9481165600568586	0.969264856767784	0.6328344024708957	0.6222418172612343	0.6415118729672281	0.943	0.9539094403074706	0.8661594815440968	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	high	276	0.276	277	0.9061371841155236	0.8709561383151544	0.9391665535035308	0.9094202898550724	0.8710743536006789	0.9440298507462688	0.9077757685352622	0.8786721756459593	0.9326290480663209	0.6254284052337041	0.6135644846812917	0.6361775620659892	0.943	0.932610697413724	0.8620282333804534	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	low	0	0.0	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6254284052337041	0.6135644846812917	0.6361775620659892	0.943	0.932610697413724	0.8620282333804534	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	medium	724	0.724	705	0.9815602836879432	0.9696092619392184	0.9915495929161466	0.9558011049723756	0.94019324837028	0.9700434267858355	0.9685094471658502	0.9586305278174038	0.9774353813727198	0.6254284052337041	0.6135644846812917	0.6361775620659892	0.943	0.932610697413724	0.8620282333804534	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	high	276	0.276	301	0.8970099667774086	0.860757534192891	0.928577207582062	0.9782608695652174	0.9601413043478262	0.9929595867890268	0.9358752166377816	0.914930861863754	0.9543729571075978	0.6300099814771594	0.6198400051015385	0.6389723346438645	0.936	0.9490751861638242	0.8512997332688966	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	low	0	0.0	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6300099814771594	0.6198400051015385	0.6389723346438645	0.936	0.9490751861638242	0.8512997332688966	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	medium	724	0.724	672	0.9910714285714286	0.98328203864855	0.997093023255814	0.919889502762431	0.8991596638655462	0.9389251157122648	0.9541547277936964	0.9427284125801768	0.9647394590042332	0.6300099814771594	0.6198400051015385	0.6389723346438645	0.936	0.9490751861638242	0.8512997332688966	"{""high"": 276, ""medium"": 724, ""low"": 0}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	high	200	0.2	190	1.0	1.0	1.0	0.95	0.917865680561781	0.9767441860465116	0.9743589743589745	0.9571741014598736	0.988235294117647	0.7782894612162905	0.6544876115339425	0.8968269266672735	0.989	0.9829156223893064	0.9659214830970556	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	low	798	0.798	801	0.9950062421972534	0.9898212338370465	0.9987700254766676	0.9987468671679198	0.9960884014622798	1.0	0.9968730456535334	0.9937260797171784	0.9993667078059236	0.7782894612162905	0.6544876115339425	0.8968269266672735	0.989	0.9829156223893064	0.9659214830970556	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	medium	2	0.002	9	0.2222222222222222	0.0	0.5555555555555556	1.0	0.0	1.0	0.3636363636363636	0.0	0.7142857142857143	0.7782894612162905	0.6544876115339425	0.8968269266672735	0.989	0.9829156223893064	0.9659214830970556	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	high	200	0.2	257	0.7782101167315175	0.7297297297297297	0.8269266917293232	1.0	1.0	1.0	0.8752735229759301	0.8437499999999999	0.9052653238033356	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.852	0.7719298245614036	0.6549457005768002	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	low	798	0.798	651	1.0	1.0	1.0	0.8157894736842105	0.7890615472560976	0.8435603322975743	0.898550724637681	0.8820954745299053	0.9151426369088028	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.852	0.7719298245614036	0.6549457005768002	"{""high"": 200, ""medium"": 2, ""low"": 798}"
