dataset	arm	true_class	predicted_class	n
set_A_v2	released_baseline	high	high	252
set_A_v2	released_baseline	high	medium	17
set_A_v2	released_baseline	high	low	7
set_A_v2	released_baseline	medium	high	17
set_A_v2	released_baseline	medium	medium	703
set_A_v2	released_baseline	medium	low	4
set_A_v2	released_baseline	low	high	0
set_A_v2	released_baseline	low	medium	0
set_A_v2	released_baseline	low	low	0
set_A_v2	kmer_minmax_training_only	high	high	252
set_A_v2	kmer_minmax_training_only	high	medium	17
set_A_v2	kmer_minmax_training_only	high	low	7
set_A_v2	kmer_minmax_training_only	medium	high	17
set_A_v2	kmer_minmax_training_only	medium	medium	703
set_A_v2	kmer_minmax_training_only	medium	low	4
set_A_v2	kmer_minmax_training_only	low	high	0
set_A_v2	kmer_minmax_training_only	low	medium	0
set_A_v2	kmer_minmax_training_only	low	low	0
set_A_v2	all_summary_exact_training	high	high	252
set_A_v2	all_summary_exact_training	high	medium	17
set_A_v2	all_summary_exact_training	high	low	7
set_A_v2	all_summary_exact_training	medium	high	17
set_A_v2	all_summary_exact_training	medium	medium	703
set_A_v2	all_summary_exact_training	medium	low	4
set_A_v2	all_summary_exact_training	low	high	0
set_A_v2	all_summary_exact_training	low	medium	0
set_A_v2	all_summary_exact_training	low	low	0
set_B_v2	released_baseline	high	high	190
set_B_v2	released_baseline	high	medium	6
set_B_v2	released_baseline	high	low	4
set_B_v2	released_baseline	medium	high	0
set_B_v2	released_baseline	medium	medium	2
set_B_v2	released_baseline	medium	low	0
set_B_v2	released_baseline	low	high	0
set_B_v2	released_baseline	low	medium	1
set_B_v2	released_baseline	low	low	797
set_B_v2	kmer_minmax_training_only	high	high	190
set_B_v2	kmer_minmax_training_only	high	medium	6
set_B_v2	kmer_minmax_training_only	high	low	4
set_B_v2	kmer_minmax_training_only	medium	high	0
set_B_v2	kmer_minmax_training_only	medium	medium	2
set_B_v2	kmer_minmax_training_only	medium	low	0
set_B_v2	kmer_minmax_training_only	low	high	0
set_B_v2	kmer_minmax_training_only	low	medium	1
set_B_v2	kmer_minmax_training_only	low	low	797
set_B_v2	all_summary_exact_training	high	high	190
set_B_v2	all_summary_exact_training	high	medium	6
set_B_v2	all_summary_exact_training	high	low	4
set_B_v2	all_summary_exact_training	medium	high	0
set_B_v2	all_summary_exact_training	medium	medium	2
set_B_v2	all_summary_exact_training	medium	low	0
set_B_v2	all_summary_exact_training	low	high	0
set_B_v2	all_summary_exact_training	low	medium	1
set_B_v2	all_summary_exact_training	low	low	797
set_C_clean	released_baseline	high	high	15
set_C_clean	released_baseline	high	medium	6
set_C_clean	released_baseline	high	low	9
set_C_clean	released_baseline	medium	high	8
set_C_clean	released_baseline	medium	medium	36
set_C_clean	released_baseline	medium	low	26
set_C_clean	released_baseline	low	high	0
set_C_clean	released_baseline	low	medium	21
set_C_clean	released_baseline	low	low	879
set_C_clean	kmer_minmax_training_only	high	high	15
set_C_clean	kmer_minmax_training_only	high	medium	6
set_C_clean	kmer_minmax_training_only	high	low	9
set_C_clean	kmer_minmax_training_only	medium	high	8
set_C_clean	kmer_minmax_training_only	medium	medium	36
set_C_clean	kmer_minmax_training_only	medium	low	26
set_C_clean	kmer_minmax_training_only	low	high	0
set_C_clean	kmer_minmax_training_only	low	medium	21
set_C_clean	kmer_minmax_training_only	low	low	879
set_C_clean	all_summary_exact_training	high	high	15
set_C_clean	all_summary_exact_training	high	medium	6
set_C_clean	all_summary_exact_training	high	low	9
set_C_clean	all_summary_exact_training	medium	high	8
set_C_clean	all_summary_exact_training	medium	medium	36
set_C_clean	all_summary_exact_training	medium	low	26
set_C_clean	all_summary_exact_training	low	high	0
set_C_clean	all_summary_exact_training	low	medium	21
set_C_clean	all_summary_exact_training	low	low	879
set_D_clean	released_baseline	high	high	8
set_D_clean	released_baseline	high	medium	3
set_D_clean	released_baseline	high	low	2
set_D_clean	released_baseline	medium	high	6
set_D_clean	released_baseline	medium	medium	84
set_D_clean	released_baseline	medium	low	10
set_D_clean	released_baseline	low	high	1
set_D_clean	released_baseline	low	medium	20
set_D_clean	released_baseline	low	low	866
set_D_clean	kmer_minmax_training_only	high	high	8
set_D_clean	kmer_minmax_training_only	high	medium	3
set_D_clean	kmer_minmax_training_only	high	low	2
set_D_clean	kmer_minmax_training_only	medium	high	6
set_D_clean	kmer_minmax_training_only	medium	medium	84
set_D_clean	kmer_minmax_training_only	medium	low	10
set_D_clean	kmer_minmax_training_only	low	high	1
set_D_clean	kmer_minmax_training_only	low	medium	20
set_D_clean	kmer_minmax_training_only	low	low	866
set_D_clean	all_summary_exact_training	high	high	8
set_D_clean	all_summary_exact_training	high	medium	3
set_D_clean	all_summary_exact_training	high	low	2
set_D_clean	all_summary_exact_training	medium	high	6
set_D_clean	all_summary_exact_training	medium	medium	84
