dataset	arm	n	n_refs	macro_f1	macro_f1_change	n_changed_quality_classes	n_changed_contamination_threshold_calls	n_true_clean	n_true_contaminated	false_fail_n	false_pass_n	false_fail_rate	false_pass_rate	balanced_accuracy_5pct	balanced_accuracy_change
set_A_v2	released_baseline	1000	798	0.6328182842427169	0.0	0	0	1000	0	21	0	0.021			
set_A_v2	kmer_minmax_training_only	1000	798	0.6328182842427169	0.0	0	0	1000	0	21	0	0.021			
set_A_v2	all_summary_exact_training	1000	798	0.6328182842427169	0.0	0	0	1000	0	21	0	0.021			
set_B_v2	released_baseline	1000	803	0.7782894612162905	0.0	0	0	200	800	6	0	0.03	0.0	0.985	0.0
set_B_v2	kmer_minmax_training_only	1000	803	0.7782894612162905	0.0	0	0	200	800	6	0	0.03	0.0	0.985	0.0
set_B_v2	all_summary_exact_training	1000	803	0.7782894612162905	0.0	0	0	200	800	6	0	0.03	0.0	0.985	0.0
set_C_clean	released_baseline	1000	100	0.6921733720000319	0.0	0	0	52	948	23	19	0.4423076923076923	0.020042194092827006	0.7688250567997403	0.0
set_C_clean	kmer_minmax_training_only	1000	100	0.6921733720000319	0.0	0	0	52	948	23	19	0.4423076923076923	0.020042194092827006	0.7688250567997403	0.0
set_C_clean	all_summary_exact_training	1000	100	0.6921733720000319	0.0	0	0	52	948	23	19	0.4423076923076923	0.020042194092827006	0.7688250567997403	0.0
set_D_clean	released_baseline	1000	100	0.7881086301581437	0.0	0	0	62	938	9	11	0.14516129032258066	0.011727078891257996	0.9215558153930807	0.0
set_D_clean	kmer_minmax_training_only	1000	100	0.7881086301581437	0.0	0	2	62	938	7	11	0.11290322580645161	0.011727078891257996	0.9376848476511452	0.016129032258064502
set_D_clean	all_summary_exact_training	1000	100	0.7881086301581437	0.0	0	1	62	938	8	11	0.12903225806451613	0.011727078891257996	0.929620331522113	0.008064516129032251
set_E	released_baseline	1000	785	0.9031822643838714	0.0	0	0	252	748	9	14	0.03571428571428571	0.01871657754010695	0.9727845683728037	0.0
set_E	kmer_minmax_training_only	1000	785	0.9076054664289958	0.004423202045124364	3	2	252	748	8	15	0.031746031746031744	0.020053475935828877	0.9741002461590696	0.0013156777862659563
set_E	all_summary_exact_training	1000	785	0.9076054664289958	0.004423202045124364	3	1	252	748	9	15	0.03571428571428571	0.020053475935828877	0.9721161191749427	-0.0006684491978610207
