dataset	arm	metric	n	n_refs	mae	signed_bias	paired_mae_change	paired_mae_change_ci_lo	paired_mae_change_ci_hi	prediction_shift_mean	prediction_abs_shift_median	prediction_abs_shift_max	baseline_max_difference_saved_predictions
set_A_v2	released_baseline	completeness	1000	798	2.176631821209842	0.09221866989240184	0.0	0.0	0.0	0.0	0.0	0.0	3.7988281320622264e-06
set_A_v2	released_baseline	contamination	1000	798	0.8285294364690781	0.8285294364690781	0.0	0.0	0.0	0.0	0.0	0.0	3.7988281320622264e-06
set_A_v2	kmer_minmax_training_only	completeness	1000	798	2.183869291640999	0.16147135543927685	0.007237470431157505	0.001187112171254151	0.013534786744518433	0.06925268471240997	0.06964111328125	0.5483779907226562	3.7988281320622264e-06
set_A_v2	kmer_minmax_training_only	contamination	1000	798	0.8230506219863891	0.8230506219863891	-0.005478814482688904	-0.006829813702262584	-0.00420963127918962	-0.005478814709931612	0.004343688488006592	0.18202590942382812	3.7988281320622264e-06
set_A_v2	all_summary_exact_training	completeness	1000	798	2.1797085232066	0.1605829963694526	0.0030767019967580895	-0.00388370016502816	0.009676072562643473	0.06836432963609695	0.06703758239746094	0.6522674560546875	3.7988281320622264e-06
set_A_v2	all_summary_exact_training	contamination	1000	798	0.817442253112793	0.817442253112793	-0.011087183356285096	-0.014284361101009387	-0.00835018282480819	-0.01108718290925026	0.005279481410980225	0.9986042976379395	3.7988281320622264e-06
set_B_v2	released_baseline	completeness	1000	803	2.9724266052246096	-2.9724266052246096	0.0	0.0	0.0	0.0	0.0	0.0	3.8012695284805886e-06
set_B_v2	released_baseline	contamination	1000	803	4.45345216672875	-0.13556211620389752	0.0	0.0	0.0	0.0	0.0	0.0	3.8012695284805886e-06
set_B_v2	kmer_minmax_training_only	completeness	1000	803	2.9547644920349123	-2.9547644920349123	-0.017662113189697265	-0.023129290977197632	-0.012562816839875748	0.017662113532423973	0.012298583984375	0.513885498046875	3.8012695284805886e-06
set_B_v2	kmer_minmax_training_only	contamination	1000	803	4.452294392291537	-0.0725669022184544	-0.0011577744372121045	-0.008275153851877694	0.006433896959126134	0.06299521028995514	0.05565834045410156	0.6399879455566406	3.8012695284805886e-06
set_B_v2	all_summary_exact_training	completeness	1000	803	2.9534479637145994	-2.9534479637145994	-0.018978641510009765	-0.02431782588603183	-0.013606643472553956	0.01897864229977131	0.013790130615234375	0.5019607543945312	3.8012695284805886e-06
set_B_v2	all_summary_exact_training	contamination	1000	803	4.449905948940746	-0.07336134475290111	-0.0035462177880040357	-0.011092747207979124	0.0041458402258191555	0.062200769782066345	0.05769824981689453	0.6397476196289062	3.8012695284805886e-06
set_C_clean	released_baseline	completeness	1000	100	6.821597674506103	-2.3196743808195808	0.0	0.0	0.0	0.0	0.0	0.0	3.813476567415819e-06
set_C_clean	released_baseline	contamination	1000	100	9.080090136647117	-3.553604166264351	0.0	0.0	0.0	0.0	0.0	0.0	3.813476567415819e-06
set_C_clean	kmer_minmax_training_only	completeness	1000	100	6.804864323936036	-2.2496871409819343	-0.016733350570068355	-0.0308972046491394	-0.0032662223724060106	0.06998724490404129	0.05101585388183594	0.5475921630859375	3.813476567415819e-06
set_C_clean	kmer_minmax_training_only	contamination	1000	100	9.080169770175514	-3.5682073504875262	7.963352839661298e-05	-0.00638818005882625	0.006653792047772787	-0.01460318360477686	0.03967475891113281	0.3806877136230469	3.813476567415819e-06
set_C_clean	all_summary_exact_training	completeness	1000	100	6.802823758445313	-2.242416602651856	-0.01877391606079101	-0.033119342994689945	-0.0037397637599487213	0.07725778222084045	0.056285858154296875	0.566650390625	3.813476567415819e-06
set_C_clean	all_summary_exact_training	contamination	1000	100	9.077623690182266	-3.5609909156511383	-0.002466446464851373	-0.008615897307941427	0.00350094777047634	-0.0073867496103048325	0.03691291809082031	0.35285186767578125	3.813476567415819e-06
set_D_clean	released_baseline	completeness	1000	100	5.633003488179687	-0.26235052418505844	0.0	0.0	0.0	0.0	0.0	0.0	3.813476567415819e-06
set_D_clean	released_baseline	contamination	1000	100	6.5229045608163	-3.8341157517503053	0.0	0.0	0.0	0.0	0.0	0.0	3.813476567415819e-06
set_D_clean	kmer_minmax_training_only	completeness	1000	100	5.640994123296143	-0.18143833470141585	0.007990635116455081	-0.004009978473846438	0.018699873089007602	0.08091218769550323	0.0823822021484375	0.5858154296875	3.813476567415819e-06
set_D_clean	kmer_minmax_training_only	contamination	1000	100	6.518681583653389	-3.820320508367851	-0.004222977162910464	-0.009233933178907399	0.0005463342943967754	0.013795244507491589	0.04100322723388672	0.377960205078125	3.813476567415819e-06
set_D_clean	all_summary_exact_training	completeness	1000	100	5.640441236333253	-0.17911705326831037	0.007437748153564456	-0.004024959338256833	0.018728809622479272	0.08323347568511963	0.08408546447753906	0.5885391235351562	3.813476567415819e-06
set_D_clean	all_summary_exact_training	contamination	1000	100	6.519053767865257	-3.8225293916533736	-0.003850792951042177	-0.008426699787045482	0.0009550656995002735	0.011586359702050686	0.0422511100769043	0.3792877197265625	3.813476567415819e-06
set_E	released_baseline	completeness	1000	785	5.485888194934023	1.1276842653977024	0.0	0.0	0.0	0.0	0.0	0.0	3.813476567415819e-06
set_E	released_baseline	contamination	1000	785	5.657874700439988	-3.1182451644422158	0.0	0.0	0.0	0.0	0.0	0.0	3.813476567415819e-06
set_E	kmer_minmax_training_only	completeness	1000	785	5.499082616912429	1.1951189234482396	0.013194421978406524	0.005630058419649112	0.02073140410401012	0.06743466109037399	0.06939697265625	0.7491378784179688	3.813476567415819e-06
set_E	kmer_minmax_training_only	contamination	1000	785	5.650036625770163	-3.083905543494378	-0.007838074669826754	-0.013291342206698534	-0.002054110842254695	0.03433962166309357	0.03347015380859375	0.8031578063964844	3.813476567415819e-06
set_E	all_summary_exact_training	completeness	1000	785	5.497430913905498	1.1991172259079563	0.011542718971476263	0.003266951031186634	0.019889999859275847	0.07143296301364899	0.06911468505859375	1.406951904296875	3.813476567415819e-06
set_E	all_summary_exact_training	contamination	1000	785	5.647977681306433	-3.08831598632351	-0.009897019133556612	-0.016330869954834088	-0.003483014684476261	0.029929177835583687	0.0350794792175293	1.460174560546875	3.813476567415819e-06
