set	role	accession_source	n_samples	n_unique_dominants_strict	n_unique_dominants_canonical	n_unmapped_accessions	samples_in_train_raw	samples_in_train_strict	samples_in_train_canonical	samples_in_val_raw	samples_in_val_strict	samples_in_val_canonical	samples_in_test_raw	samples_in_test_strict	samples_in_test_canonical	samples_in_kmer_selection_canonical	unique_dominants_in_train_canonical	unique_dominants_in_val_canonical	unique_dominants_in_test_canonical	unique_dominants_in_kmer_selection_canonical	n_samples_in_no_split	leakage_pct_train_plus_val	label_violations_cont_gt_comp	label_violations_max_excess_pp	label_violations_cont_gt_100	label_violations_comp_lt_50
set_C_clean	clean replacement — Patescibacteriota, test-split dominants	generation_metadata.tsv	1000	100	100	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	100	0	0	0.0	0	0.0	0	0
set_D_clean	clean replacement — Archaea, test-split dominants	generation_metadata.tsv	1000	100	100	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	100	0	0	0.0	0	0.0	0	0
set_C	SUPERSEDED — Patescibacteriota, dominants from train+val+test	metadata.tsv	1000	1000	1000	0	1000	1000	1000	0	0	0	0	0	0	23	1000	0	0	23	0	100.0	141	43.791	0	0
set_D	SUPERSEDED — Archaea, dominants from train+val+test	metadata.tsv	1000	1000	1000	0	796	796	796	107	107	107	97	97	97	511	796	107	97	511	0	90.3	213	43.904	0	0
set_A_v2	retained — completeness gradient, finished test-split dominants	metadata.tsv	1000	798	798	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	798	0	0	0.0	0	0.0	0	0
set_B_v2	retained — contamination gradient, finished test-split dominants	metadata.tsv	1000	803	803	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	803	0	0	0.0	0	0.0	0	0
set_E	retained — mixed, finished test-split dominants	metadata.tsv	1000	785	785	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	785	0	0	0.0	132	46.328	0	0
set_A	legacy — completeness gradient	metadata.tsv	600	582	582	0	0	0	0	0	0	0	600	600	600	0	0	0	582	0	0	0.0	0	0.0	0	0
set_B	legacy — contamination gradient	metadata.tsv	600	588	588	0	0	0	0	0	0	0	600	600	600	0	0	0	588	0	0	0.0	0	0.0	0	0
motivating_v2/set_A	motivating — completeness gradient	metadata.tsv	1000	806	806	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	806	0	0	0.0	0	0.0	0	0
motivating_v2/set_B	motivating — contamination gradient	metadata.tsv	1000	798	798	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	798	0	0	0.0	0	0.0	0	0
motivating_v2/set_C	motivating — realistic	metadata.tsv	1000	773	773	0	0	0	0	0	0	0	1000	1000	1000	0	0	0	773	0	0	0.0	122	46.385	0	0
motivating/set_A	motivating v1 — completeness gradient	metadata.tsv	600	585	585	0	0	0	0	0	0	0	600	600	600	0	0	0	585	0	0	0.0	0	0.0	0	0
motivating/set_B	motivating v1 — contamination gradient	metadata.tsv	1100	1031	1031	0	0	0	0	0	0	0	1100	1100	1100	0	0	0	1031	0	0	0.0	0	0.0	0	0
