analysis	pool	target	n	n_clusters	intercept	slope_per_log10Mbp	slope_ci95	slope_p	R2_coefficient_of_determination	predictor	std_beta_pp_per_SD	ci95	p	partial_R2_increment	full_model_R2	model	predictors	bin	rho_n_scg_detected	p_n_scg	rho_genome_size	p_size	tool	group	observed_size_median	implied_by_MAGICC_median	implied_by_CheckM2_median	lineage_phylum_median	implied_by_MAGICC_IQR	implied_by_CheckM2_IQR	n_reference_clusters	rho_assembly_size	rho_n_contigs	p_contigs	std_beta_pp_per_SD_log10size
dose_response_log10size	size_stratified_MAGs	delta_completeness	750	361	-101.034	15.311	[12.313, 18.309]	4.34e-21	0.1826																										
dose_response_log10size	size_stratified_MAGs	delta_contamination	750	361	-23.356	4.084	[0.548, 7.62]	0.0237	0.0188																										
dose_response_log10size	non_reduced_control_genera	delta_completeness	320	6	35.435	-5.293	[-14.559, 3.974]	0.202	0.0145																										
dose_response_log10size	non_reduced_control_genera	delta_contamination	320	6	-108.933	17.022	[-25.308, 59.353]	0.349	0.0941																										
dose_response_log10size	size_stratified+controls	delta_completeness	1070	361	-93.391	14.284	[11.14, 17.428]	2.17e-17	0.1477																										
dose_response_log10size	size_stratified+controls	delta_contamination	1070	361	-28.291	4.756	[-0.773, 10.285]	0.0916	0.021																										
dose_response_log10size	all_cohorts	delta_completeness	1368	361	-132.252	20.16	[13.104, 27.216]	3.86e-08	0.1872																										
dose_response_log10size	all_cohorts	delta_contamination	1368	361	30.417	-4.029	[-12.233, 4.175]	0.335	0.0102																										
standardised_multiple_regression	size_stratified_MAGs	delta_completeness	745	356						log10_genome_size	5.821	[4.503, 7.14]	1.41e-16	0.132	0.2714																				
standardised_multiple_regression	size_stratified_MAGs	delta_completeness	745	356						n_scg_detected	-3.521	[-4.437, -2.605]	3.44e-13	0.0834	0.2714																				
standardised_multiple_regression	size_stratified_MAGs	delta_completeness	745	356						log2_size_vs_phylum	-0.162	[-1.316, 0.993]	0.783	0.0001	0.2714																				
standardised_multiple_regression	size_stratified_MAGs	delta_completeness	745	356						log10_contig_count	-0.371	[-1.143, 0.401]	0.345	0.0009	0.2714																				
standardised_multiple_regression	size_stratified_MAGs	delta_contamination	745	356						log10_genome_size	-0.08	[-1.128, 0.968]	0.88	0.0	0.0436																				
standardised_multiple_regression	size_stratified_MAGs	delta_contamination	745	356						n_scg_detected	0.587	[-0.047, 1.22]	0.0696	0.0033	0.0436																				
