group	n	pct_HQ_by_CheckM2	pct_HQ_by_MAGICC	false_fail_rate_cont5_vs_CheckM2	false_fail_ci95	HQ_downgrade_rate_vs_CheckM2	HQ_downgrade_ci95	n_at_magicc_completeness_floor_50
reviewer_genera(all 5)	298	60.7	8.1	0.7617	[0.7355, 0.7797]	0.5537	[0.4859, 0.6529]	1
CAG-557	60	73.3	18.3	0.6333	[0.6333, 0.6333]	0.5833	[0.5833, 0.5833]	0
UMGS1491	61	72.1	0.0	0.8361	[0.8361, 0.8361]	0.7213	[0.7213, 0.7213]	1
Caccenecus	101	59.4	2.0	0.8812	[0.8812, 0.8812]	0.5743	[0.5743, 0.5743]	0
HGM10766	15	26.7	0.0	0.7333	[0.7333, 0.7333]	0.2667	[0.2667, 0.2667]	0
Faecimonas	61	47.5	18.0	0.623	[0.623, 0.623]	0.3934	[0.3934, 0.3934]	0
size_stratified:<1Mb	150	40.7	14.7	0.2267	[0.156, 0.3]	0.2733	[0.1928, 0.3657]	3
size_stratified:1-2Mb	150	42.0	28.0	0.0667	[0.0274, 0.1126]	0.1933	[0.1274, 0.2628]	0
size_stratified:2-3Mb	150	52.7	53.3	0.0867	[0.0435, 0.1429]	0.1067	[0.0593, 0.1742]	0
size_stratified:3-5Mb	150	64.0	56.7	0.1267	[0.0759, 0.1875]	0.2067	[0.1491, 0.2845]	0
size_stratified:>5Mb	150	78.7	63.3	0.2333	[0.1548, 0.32]	0.24	[0.1617, 0.3248]	0
control_genera(all 8)	320	65.6	67.5	0.0406	[0.0071, 0.0964]	0.0906	[0.0464, 0.1306]	0
