variant	scale_s	log10_s	n	n_reference_clusters	mean_delta_pred_completeness_pp	delta_ci95	phi_attribution_to_completeness	phi_ci95	mean_pred_completeness	mean_pred_contamination
coherent	0.5	-0.301	3996	2604	-28.1397	[-28.641, -27.642]	0.5955	[0.586, 0.604]	52.359	15.357
assembly_only	0.5	-0.301	3996	2604	-2.7605	[-2.876, -2.648]	0.0522	[0.050, 0.054]	77.739	29.275
kmer_only	0.5	-0.301	3996	2604	-27.0167	[-27.521, -26.516]	0.5665	[0.558, 0.576]	53.482	16.149
coherent	0.71	-0.1487	3996	2604	-19.1876	[-19.473, -18.898]	0.7721	[0.762, 0.782]	61.311	22.014
assembly_only	0.71	-0.1487	3996	2604	-1.4206	[-1.480, -1.363]	0.0548	[0.053, 0.057]	79.078	30.328
kmer_only	0.71	-0.1487	3996	2604	-17.8436	[-18.115, -17.560]	0.7119	[0.703, 0.721]	62.655	22.673
coherent	0.85	-0.0706	3996	2604	-10.1744	[-10.349, -10.008]	0.8222	[0.810, 0.834]	70.325	26.589
assembly_only	0.85	-0.0706	3996	2604	-0.7025	[-0.737, -0.670]	0.0571	[0.055, 0.060]	79.797	30.957
kmer_only	0.85	-0.0706	3996	2604	-9.3446	[-9.512, -9.182]	0.7518	[0.740, 0.763]	71.154	26.992
coherent	1.0	0.0	3996	2604	0.0	[0.000, 0.000]			80.499	31.531
assembly_only	1.0	0.0	3996	2604	0.0	[0.000, 0.000]			80.499	31.531
kmer_only	1.0	0.0	3996	2604	0.0	[0.000, 0.000]			80.499	31.531
coherent	1.18	0.0719	3996	2604	7.4195	[7.190, 7.662]	0.578	[0.561, 0.596]	87.918	39.791
assembly_only	1.18	0.0719	3996	2604	0.6981	[0.668, 0.730]	0.056	[0.054, 0.058]	81.197	32.121
kmer_only	1.18	0.0719	3996	2604	6.9103	[6.685, 7.145]	0.5391	[0.521, 0.555]	87.409	38.854
coherent	1.41	0.1492	3996	2604	12.1306	[11.701, 12.567]	0.4484	[0.433, 0.465]	92.63	52.063
assembly_only	1.41	0.1492	3996	2604	1.502	[1.441, 1.567]	0.0579	[0.055, 0.060]	82.001	32.738
kmer_only	1.41	0.1492	3996	2604	11.4768	[11.067, 11.905]	0.4255	[0.410, 0.441]	91.976	49.734
coherent	2.0	0.301	3996	2604	14.6272	[14.058, 15.170]	0.2648	[0.254, 0.275]	95.126	75.423
assembly_only	2.0	0.301	3996	2604	2.7815	[2.618, 2.924]	0.0535	[0.051, 0.056]	83.28	34.47
kmer_only	2.0	0.301	3996	2604	14.2805	[13.697, 14.862]	0.2588	[0.248, 0.270]	94.78	70.807
