label	n	genome_size_median_bp	magicc_completeness_median	checkm2_completeness_median	magicc_contamination_median	checkm2_contamination_median	delta_completeness_MAGICC_minus_CheckM2_median	delta_completeness_ci95	delta_contamination_MAGICC_minus_CheckM2_median	delta_contamination_ci95	pct_magicc_cont_gt_5	pct_checkm2_cont_gt_5	pct_magicc_comp_ge_90	pct_checkm2_comp_ge_90	n_scg_detected_median	contig_count_median	log2_size_vs_phylum_median
size_stratified:<1Mb	150	813894	66.69	87.62	1.09	0.36	-12.6	[-14.96, -9.81]	0.61	[0.44, 1.19]	23.3	0.7	16.7	41.3	65	55	-0.34
size_stratified:1-2Mb	150	1643827	79.31	87.0	0.3	0.66	-2.42	[-4.85, -0.35]	-0.07	[-0.34, 0.02]	7.3	0.7	28.7	42.0	76	127	-0.594
size_stratified:2-3Mb	150	2413585	94.33	91.1	0.26	0.76	0.28	[-0.02, 1.83]	-0.2	[-0.43, -0.04]	9.3	2.7	54.7	52.7	78	152	-0.187
size_stratified:3-5Mb	150	3591790	98.42	94.97	0.47	1.46	0.65	[-0.02, 1.46]	-0.12	[-0.29, 0.02]	16.0	8.7	66.7	70.0	79	147	0.131
size_stratified:>5Mb	150	5798017	99.37	96.38	1.28	2.08	0.64	[-0.05, 1.7]	0.31	[-0.08, 0.59]	31.3	14.0	84.0	91.3	81	206	0.719
Alistipes	40	1974073	99.91	97.88	0.17	0.59	1.05	[0.24, 6.04]	-0.31	[-1.02, -0.03]	0.0	0.0	80.0	70.0	84	49	-0.508
Bacteroides	40	4177212	98.79	93.55	0.32	0.58	-0.06	[-0.3, 1.38]	-0.32	[-0.76, 0.02]	7.5	2.5	52.5	62.5	64	158	0.613
Bifidobacterium	40	2136639	99.91	99.91	0.36	0.38	-0.04	[-0.06, -0.01]	0.02	[-0.21, 0.15]	0.0	2.5	90.0	92.5	83	45	-0.967
Blautia	40	3084835	99.19	94.33	0.28	0.91	0.11	[-0.09, 3.56]	-0.19	[-0.62, 0.06]	22.5	2.5	65.0	70.0	78	139	0.275
Escherichia	40	4660476	99.86	100.0	0.46	0.17	-0.12	[-0.14, -0.11]	0.27	[-0.1, 0.39]	0.0	0.0	90.0	92.5	85	119	-0.074
Faecalibacterium	40	2331023	98.27	87.91	0.09	0.96	2.99	[0.88, 5.68]	-0.77	[-1.66, -0.39]	0.0	2.5	62.5	37.5	55	117	-0.098
Prevotella	40	2718795	90.36	88.84	0.15	0.17	2.08	[-0.1, 4.53]	0.02	[-0.08, 0.1]	2.5	2.5	55.0	47.5	66	136	0.019
Ruminococcus	40	2445747	98.26	92.09	0.08	0.91	1.51	[-0.11, 4.35]	-0.61	[-1.05, -0.33]	7.5	7.5	60.0	62.5	82	158	-0.046
ALL non-reduced control genera	320	2582071	99.66	94.98	0.23	0.55	0.15	[0.01, 0.72]	-0.2	[-0.34, -0.11]	5.0	2.5	69.4	66.9	80	113	-0.063
