error_type	error_rate_pct	n	observed_kmer_corruption	total_count_ratio	l1_relative	cosine	kmers_lost	normalised_l2_per_dim	summary_l2_per_dim	d_log10_total_kmer_count	d_total_kmer_sum	d_unique_kmer_count	d_duplicate_kmer_count	d_kmer_entropy	d_unique_kmer_ratio	d_duplicate_kmer_ratio	predicted_kmer_position_corruption
chimera	5.0	80	0.0	1.000003	3e-06	1.0	0.0	0.000232	1e-06	1e-06	1e-06	0.0	0.0	0.0	0.0	0.0	
chimera	10.0	80	0.0	1.000007	7e-06	1.0	0.0	0.000671	0.000291	2e-06	3e-06	0.000543	0.000441	2e-06	3e-06	1e-05	
chimera	20.0	80	0.0	1.000013	1.3e-05	1.0	0.0	0.000648	0.000114	6e-06	6e-06	0.0	0.000294	1e-06	0.0	1e-05	
chimera	40.0	80	0.0	1.000026	2.6e-05	1.0	0.0	0.001144	0.000831	1e-05	1.1e-05	0.002174	0.000147	2e-06	1.3e-05	-1.2e-05	
indel	0.1	80	0.006004	0.997972	0.009979	0.999887	1.3	0.032964	0.024565	-0.000882	-0.000882	0.036413	0.01603	0.000413	0.000214	0.00022	
indel	0.5	80	0.020772	0.989941	0.031485	0.999426	4.7625	0.073673	0.108251	-0.004393	-0.004393	0.243478	0.078235	0.002034	0.001434	0.000533	
indel	1.0	80	0.034749	0.980205	0.049703	0.998806	10.15	0.10536	0.174851	-0.00869	-0.00869	0.355978	0.167352	0.003975	0.002097	0.002435	
indel	2.0	80	0.058938	0.960809	0.078685	0.997446	17.0375	0.151263	0.293957	-0.017391	-0.017391	0.639131	0.291029	0.007938	0.003764	0.004074	
indel	5.0	80	0.118777	0.908721	0.146276	0.992513	26.5375	0.24516	0.543328	-0.041725	-0.041725	1.248369	0.598235	0.018731	0.007353	0.008864	
substitution	0.1	80	0.006593	0.99813	0.011315	0.99987	1.1375	0.036047	0.041532	-0.000813	-0.000813	0.085326	0.033088	0.000723	0.000502	0.000357	0.008964
substitution	0.5	80	0.022081	0.990592	0.034754	0.99932	5.9375	0.080849	0.145813	-0.004106	-0.004105	0.326087	0.148235	0.003549	0.001921	0.002067	0.04411
substitution	1.0	80	0.036232	0.981301	0.053766	0.998606	10.55	0.114653	0.256021	-0.008199	-0.008199	0.58913	0.262206	0.006825	0.00347	0.003543	0.086483
substitution	2.0	80	0.060586	0.96313	0.084302	0.996985	16.325	0.163288	0.443284	-0.016321	-0.016321	1.036957	0.479412	0.013423	0.006108	0.006823	0.166252
substitution	5.0	80	0.122627	0.911057	0.156311	0.990964	21.9125	0.260202	0.869348	-0.040494	-0.040494	2.013587	1.017646	0.031961	0.01186	0.015877	0.369751
substitution_titv	0.1	80	0.006478	0.998316	0.011272	0.99987	1.475	0.036296	0.03582	-0.000732	-0.000732	0.064674	0.032059	0.000714	0.000381	0.0005	0.008964
substitution_titv	0.5	80	0.021835	0.991161	0.034831	0.999316	6.15	0.081742	0.155413	-0.003856	-0.003856	0.341848	0.166029	0.003606	0.002013	0.002524	0.04411
substitution_titv	1.0	80	0.035961	0.982275	0.054197	0.998573	10.325	0.1171	0.288004	-0.007769	-0.007769	0.671739	0.295882	0.007149	0.003956	0.003977	0.086483
substitution_titv	2.0	80	0.059283	0.965696	0.084262	0.996929	16.45	0.165676	0.496561	-0.015168	-0.015168	1.151087	0.559999	0.014139	0.00678	0.00846	0.166252
substitution_titv	5.0	80	0.119823	0.916475	0.156121	0.990699	21.9875	0.265052	0.923976	-0.037928	-0.037928	2.108696	1.118382	0.033132	0.01242	0.018314	0.369751
uneven_coverage	5.0	80	0.0	1.050705	0.050705	0.99949	0.0	0.069007	0.039746	0.021477	0.021477	0.0	0.086912	-0.000736	0.0	0.002798	
uneven_coverage	10.0	80	0.0	1.101005	0.101005	0.998818	0.0	0.118954	0.069432	0.041775	0.041775	0.0	0.148235	-0.000634	0.0	0.004732	
uneven_coverage	20.0	80	0.0	1.199686	0.199686	0.998028	0.0	0.208115	0.138966	0.079041	0.079041	0.0	0.301323	-0.001149	0.0	0.009643	
uneven_coverage	40.0	80	0.0	1.399497	0.399497	0.996911	0.0	0.354038	0.236293	0.14595	0.14595	0.0	0.50647	-0.004618	0.0	0.0162	
