tool	tool_label	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	major_faults	minor_faults	loadavg_1min_before	loadavg_1min_after	sum_pcpu_all_processes_before	t_start_utc	t_end_utc	return_code	cell_file
checkm2	CheckM2 1.0.1	32	1	set_E_100	cold	100	100	543.97	10.6629	11180900	2239.0	11988.1	195.31	1	55823140	0.94	24.85	1.6	2026-07-31T07:48:58Z	2026-07-31T07:58:02Z	0	checkm2__t32__set_E_100__cold__r1.json
cocopye	CoCoPyE 0.5.0	32	1	set_E_100	cold	100	100	357.59000000000003	15.8875	16659244	1980.0	6983.41	99.51	0	8863876	0.79	59.97	1.7	2026-07-31T07:35:24Z	2026-07-31T07:41:21Z	0	cocopye__t32__set_E_100__cold__r1.json
deepcheck	DeepCheck (inference only)	1	1	set_E_100	cold	100	100	55.49	0.669	701460	100.0	54.8	0.7	0	287949	0.85	0.94	1.6	2026-07-31T07:45:37Z	2026-07-31T07:46:32Z	0	deepcheck__t1__set_E_100__cold__r1.json
deepcheck	DeepCheck (inference only)	1	2	set_E_100	cold	100	100	55.31	0.6691	701640	100.0	54.61	0.72	0	287955	0.89	0.96	101.6	2026-07-31T08:01:32Z	2026-07-31T08:02:27Z	0	deepcheck__t1__set_E_100__cold__r2.json
deepcheck	DeepCheck (inference only)	1	3	set_E_100	cold	100	100	55.66	0.6691	701608	100.0	54.86	0.83	0	349434	0.93	0.98	1.6	2026-07-31T08:05:59Z	2026-07-31T08:06:55Z	0	deepcheck__t1__set_E_100__cold__r3.json
checkm2	CheckM2 1.0.1	1	1	set_E_100	warm	100	100	7907.0	10.6074	11122624	100.0	7818.59	124.24	0	87799099	0.9	1.63	1.6	2026-07-31T08:13:15Z	2026-07-31T10:25:02Z	0	checkm2__t1__set_E_100__warm__r1.json
checkm2	CheckM2 1.0.1	1	2	set_E_100	warm	100	100	7900.0	10.6077	11123004	100.0	7813.54	121.96	0	84916351	0.78	1.0	1.6	2026-07-31T10:49:25Z	2026-07-31T13:01:06Z	0	checkm2__t1__set_E_100__warm__r2.json
checkm2	CheckM2 1.0.1	1	3	set_E_100	warm	100	100	7915.0	10.6071	11122372	100.0	7827.67	121.81	0	86706158	0.78	1.13	1.5	2026-07-31T13:52:23Z	2026-07-31T16:04:19Z	0	checkm2__t1__set_E_100__warm__r3.json
checkm2	CheckM2 1.0.1	8	1	set_E_100	warm	100	100	1233.47	10.5424	11054472	713.0	8634.66	167.67	494	70209822	0.91	6.53	102.8	2026-07-31T01:41:23Z	2026-07-31T02:01:57Z	0	checkm2__t8__set_E_100__warm__r1.json
checkm2	CheckM2 1.0.1	8	2	set_E_100	warm	100	100	1195.24	10.4767	10985600	740.0	8678.5	176.49	0	75514266	0.97	6.44	102.0	2026-07-31T03:29:27Z	2026-07-31T03:49:22Z	0	checkm2__t8__set_E_100__warm__r2.json
checkm2	CheckM2 1.0.1	8	3	set_E_100	warm	100	100	1208.65	10.3675	10871136	738.0	8751.72	173.89	0	74592625	0.93	6.88	1.9	2026-07-31T04:30:57Z	2026-07-31T04:51:06Z	0	checkm2__t8__set_E_100__warm__r3.json
checkm2	CheckM2 1.0.1	16	1	set_E_100	warm	100	100	679.71	10.5348	11046576	1368.0	9134.14	165.96	1	57838765	0.88	12.77	2.5	2026-07-31T02:03:57Z	2026-07-31T02:15:16Z	0	checkm2__t16__set_E_100__warm__r1.json
checkm2	CheckM2 1.0.1	16	2	set_E_100	warm	100	100	687.94	10.5331	11044800	1358.0	9166.92	175.86	0	57147779	0.89	12.58	2.2	2026-07-31T02:57:36Z	2026-07-31T03:09:03Z	0	checkm2__t16__set_E_100__warm__r2.json
checkm2	CheckM2 1.0.1	16	3	set_E_100	warm	100	100	723.83	10.4338	10940636	1323.0	9398.14	180.51	0	62318806	0.98	14.1	101.8	2026-07-31T05:09:58Z	2026-07-31T05:22:02Z	0	checkm2__t16__set_E_100__warm__r3.json
checkm2	CheckM2 1.0.1	32	1	set_E_100	warm	100	100	559.66	10.6102	11125616	2181.0	12032.27	178.65	2	49264865	0.85	24.42	2.3	2026-07-31T02:37:05Z	2026-07-31T02:46:25Z	0	checkm2__t32__set_E_100__warm__r1.json
checkm2	CheckM2 1.0.1	32	2	set_E_100	warm	100	100	563.61	10.5826	11096692	2205.0	12196.54	233.6	0	55397028	0.88	24.81	102.0	2026-07-31T03:58:44Z	2026-07-31T04:08:08Z	0	checkm2__t32__set_E_100__warm__r2.json
checkm2	CheckM2 1.0.1	32	3	set_E_100	warm	100	100	553.03	10.6593	11177056	2198.0	11968.26	192.59	0	52731216	0.84	24.27	1.9	2026-07-31T04:18:29Z	2026-07-31T04:27:42Z	0	checkm2__t32__set_E_100__warm__r3.json
checkm2_vectors	CheckM2 1.0.1 (+feature dump)	32	1	set_E_100	warm	100	100	547.44	10.5575	11070360	2239.0	12051.74	205.61	0	47168755	0.83	24.54	104.0	2026-07-29T19:37:41Z	2026-07-29T19:46:48Z	0	checkm2_vectors__t32__set_E_100__warm__r1.json
cocopye	CoCoPyE 0.5.0	1	1	set_E_100	warm	100	100	1417.3	15.8404	16609836	103.0	1457.45	15.33	0	8196581	0.99	1.0	1.6	2026-07-31T10:25:32Z	2026-07-31T10:49:10Z	0	cocopye__t1__set_E_100__warm__r1.json
