campaign	tool	tool_label	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_file
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	1	1	set_E_100	warm	100	100	6.64	0.454	476064	97.0	5.71	0.76	0	488	0	325184	1.17	2.36	1.54	1.21	3.4	48	910635404	910526044	1 0 0 254846772 3409708 657776096 0 0 0 0 591 774 0 0 100 0 0 0	0 0 0 254736296 3409736 657776124 0 0 0 0 587 670 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:33:12Z	2026-08-28T15:33:18Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t1__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	1	2	set_E_100	warm	100	100	6.55	0.4529	474924	97.0	5.66	0.72	0	488	0	316974	1.11	2.08	1.7	1.11	3.4	48	910546332	910373572	0 0 0 254737500 3410688 657791572 0 0 0 0 543 726 0 0 100 0 0 0	0 0 0 254566476 3410732 657791596 0 0 0 0 519 804 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:39:39Z	2026-08-28T15:39:46Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t1__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	1	3	set_E_100	warm	100	100	6.65	0.4543	476420	97.0	5.77	0.71	0	488	0	324320	1.07	1.89	1.73	1.14	3.4	48	910477504	910297816	0 0 0 254678480 3411620 657793876 0 0 0 0 620 881 0 0 100 0 0 0	2 0 0 254464352 3411664 657794032 0 0 0 0 1899 1328 2 0 98 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:45:07Z	2026-08-28T15:45:14Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t1__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	1	1	set_E_100	warm	100	100	6.16	0.4543	476400	96.0	5.21	0.74	0	488	0	324759	1.21	2.33	1.54	1.2	3.4	48	910528164	910385168	1 0 0 254737632 3409736 657776144 0 0 0 0 585 795 0 0 100 0 0 0	0 0 0 254596712 3409776 657776168 0 0 0 0 515 702 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:33:20Z	2026-08-28T15:33:27Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t1__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	1	2	set_E_100	warm	100	100	6.19	0.4538	475860	97.0	5.32	0.7	0	488	0	323801	1.11	2.06	1.7	1.16	3.4	48	910373816	910265940	0 0 0 254572136 3410732 657791600 0 0 0 0 585 742 0 0 100 0 0 0	0 0 0 254459476 3410756 657791656 0 0 0 0 575 790 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:39:48Z	2026-08-28T15:39:54Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t1__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	1	3	set_E_100	warm	100	100	6.21	0.4543	476344	96.0	5.3	0.73	0	488	0	324867	1.14	1.87	1.73	1.13	103.4	48	910234176	910191948	1 0 0 254416340 3411664 657794388 0 0 0 0 1719 977 2 0 98 0 0 0	0 0 0 254381492 3411708 657794808 0 0 0 0 1215 1032 1 0 99 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:45:16Z	2026-08-28T15:45:22Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t1__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	8	1	set_E_100	warm	100	100	2.7	0.42	440364	371.0	8.6	1.43	0	488	4	407071	1.2	2.31	1.53	1.1	3.4	48	910402600	909653752	0 0 0 254612208 3409776 657776176 0 0 0 0 629 709 0 0 100 0 0 0	0 0 0 253890380 3409800 657776216 0 0 0 0 508 728 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:33:29Z	2026-08-28T15:33:31Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t8__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	8	2	set_E_100	warm	100	100	2.73	0.4206	441044	372.0	8.73	1.45	8	488	17	416936	1.16	2.04	1.7	1.71	103.4	48	910278300	909920628	1 0 0 254480304 3410756 657791660 0 0 0 0 724 930 0 0 100 0 0 0	0 0 0 254169924 3410792 657791684 0 0 0 0 752 1935 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:39:56Z	2026-08-28T15:39:59Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t8__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	8	3	set_E_100	warm	100	100	2.73	0.4202	440644	369.0	8.67	1.42	0	488	0	411204	1.13	1.86	1.72	1.04	3.4	48	910200784	909684036	0 0 0 254396900 3411708 657794816 0 0 0 0 537 770 0 0 100 0 0 0	0 0 0 253889300 3411752 657794840 0 0 0 0 558 706 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:45:24Z	2026-08-28T15:45:27Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t8__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	8	1	set_E_100	warm	100	100	2.29	0.4202	440608	421.0	8.31	1.37	0	488	3	416223	1.1	2.27	1.53	1.01	3.4	48	909700240	909457108	0 0 0 253949780 3409800 657776220 0 0 0 68 770 968 0 0 100 0 0 0	0 0 0 253689268 3409840 657776248 0 0 0 68 589 896 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:33:34Z	2026-08-28T15:33:36Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t8__set_E_100__warm__r1.json
