tool	tool_label	input_set_canon	cache	threads	n	wall_median_s	wall_min_s	wall_max_s	wall_mean_s	rss_median_gb	rss_min_gb	rss_max_gb	pct_cpu_median	load1_before_max	fs_inputs_max	busy_pct_before_max	rc_max	n_genomes	n_out_min	campaigns	wall_range_pct
checkm2	CheckM2 1.0.1	set_E_100	warm	1	3	7907.0	7900.0	7915.0	7907.3333	10.6074	10.6071	10.6077	100.0	0.9	4584	1.6	0	100	100	WS8	0.1897
cocopye	CoCoPyE 0.5.0	set_E_100	warm	1	3	1439.1	1417.3	1592.51	1482.97	15.841	15.8404	15.841	103.0	0.99	2920	1.6	0	100	100	WS8	12.175
deepcheck	DeepCheck (inference only)	set_E_100	cold	1	3	55.49	55.31	55.66	55.4867	0.6691	0.669	0.6691	100.0	0.93	0	101.6	0	100	100	WS8	0.6307
deepcheck	DeepCheck (inference only)	set_E_100	warm	1	3	55.54	55.26	55.6	55.4667	0.6687	0.6682	0.6687	100.0	0.98	0	103.8	0	100	100	WS8	0.6122
magicc	MAGICC v0.3.0 (V5)	set_E_100	warm	1	3	5.9	5.88	5.95	5.91	0.3852	0.3851	0.3852	99.0	0.98	8	102.8	0	100	100	WS8	1.1864
checkm2	CheckM2 1.0.1	set_E_100	warm	8	3	1208.65	1195.24	1233.47	1212.4533	10.4767	10.3675	10.5424	738.0	0.97	8321120	102.8	0	100	100	WS8	3.163
cocopye	CoCoPyE 0.5.0	set_E_100	warm	8	3	299.09	296.98	325.1	307.0567	15.8577	15.8577	15.8577	1094.0	0.94	0	2.2	0	100	100	WS8	9.4019
deepcheck	DeepCheck (inference only)	set_E_100	warm	8	3	9.78	9.71	9.82	9.77	0.6672	0.6667	0.6673	640.0	0.88	0	9.7	0	100	100	WS8	1.1247
magicc	MAGICC v0.3.0 (V5)	set_E_100	warm	8	3	2.21	2.14	2.24	2.1967	0.3605	0.3601	0.361	470.0	0.98	0	5.7	0	100	100	WS8	4.5249
checkm2	CheckM2 1.0.1	set_E_100	warm	16	3	687.94	679.71	723.83	697.16	10.5331	10.4338	10.5348	1358.0	0.98	0	101.8	0	100	100	WS8	6.4134
